(New) Chromatin State	(Old) Chromatin State
Heterochromatin	Quiescent_Low
Strong_transcription	Heterochromatin
Repressed_PolyComb	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
ZNF_genes_and_repeats	Bivalent_Poised_TSS
Genic_enhancers	Repressed_PolyComb
Enhancers	Transcr_at_gene_5_and_3
Weak_Repressed_PolyComb	Flanking_Bivalent_TSS_Enh
Active_TSS	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Active_TSS
Flanking_Active_TSS	Enhancers
Bivalent_Poised_TSS	Weak_transcription
Bivalent_Enhancer	Genic_enhancers
Flanking_Bivalent_TSS_Enh	Flanking_Active_TSS
Quiescent_Low	Strong_transcription
