(New) Chromatin State	(Old) Chromatin State
Quiescent_Low	Heterochromatin
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Weak_transcription	Quiescent_Low
Strong_transcription	Weak_transcription
Heterochromatin	Enhancers
ZNF_genes_and_repeats	Strong_transcription
Repressed_PolyComb	Repressed_PolyComb
Enhancers	Active_TSS
Genic_enhancers	Bivalent_Enhancer
Transcr_at_gene_5_and_3	ZNF_genes_and_repeats
Active_TSS	Genic_enhancers
Flanking_Active_TSS	Flanking_Active_TSS
Bivalent_Enhancer	Transcr_at_gene_5_and_3
Bivalent_Poised_TSS	Bivalent_Poised_TSS
Flanking_Bivalent_TSS_Enh	Flanking_Bivalent_TSS_Enh
