(New) Cell Type	(Old) Cell Type
4star	4star
Fetal_Adrenal_Gland	Placenta_Amnion
Adipose_Nuclei	iPS_15b_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Right_Ventricle
Brain_Hippocampus_Middle	Stomach_Mucosa
IMR90_Cell_Line	H1_Cell_Line
Fetal_Placenta	iPS_DF_6.9_Cell_Line
Brain_Cingulate_Gyrus	Osteoblasts
NHLF_Lung_Fibroblasts	iPS_18_Cell_Line
Fetal_Thymus	Colonic_Mucosa
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Brain_Mid_Frontal_Lobe
Mobilized_CD34_Primary_Cells_Male	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Intestine_Large	Fetal_Placenta
Neurosphere_Cultured_Cells_Cortex_Derived	Muscle_Satellite_Cultured_Cells
CD56_Primary_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Colon_Smooth_Muscle	Rectal_Smooth_Muscle
Breast_Myoepithelial_Cells	H9_Cell_Line
Fetal_Intestine_Small	HUES48_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Rectal_Mucosa.Donor_29
Thymus	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Monocytes_CD14pp_RO01746	Small_Intestine
CD3_Primary_Cells_Peripheral_UW	Brain_Cingulate_Gyrus
NHEK_Epidermal_Keratinocytes	Brain_Angular_Gyrus
HMEC_Mammary_Epithelial	NHLF_Lung_Fibroblasts
CD4_Memory_Primary_Cells	iPS_20b_Cell_Line
H1_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Stomach	NH_A_Astrocytes
iPS_DF_19.11_Cell_Line	Colon_Smooth_Muscle
CD15_Primary_Cells	CD8_Memory_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	HeLa_S3_Cervical_Carcinoma
Skeletal_Muscle_Female	HUVEC_Umbilical_Vein_Endothelial_Cells
GM12878_Lymphoblastoid	Skeletal_Muscle_Male
Stomach_Mucosa	HUES64_Cell_Line
CD14_Primary_Cells	CD4_Memory_Primary_Cells
Skeletal_Muscle_Male	Fetal_Muscle_Trunk
Fetal_Muscle_Leg	CD4_Naive_Primary_Cells
CD4_Naive_Primary_Cells	Skeletal_Muscle_Female
Dnd41_TCell_Leukemia	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Duodenum_Mucosa	Gastric
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Breast_Myoepithelial_Cells
HUES6_Cell_Line	Rectal_Mucosa.Donor_31
Fetal_Brain_Male	Stomach_Smooth_Muscle
CD19_Primary_Cells_Cord_BI	Brain_Substantia_Nigra
Muscle_Satellite_Cultured_Cells	Brain_Inferior_Temporal_Lobe
CD34_Cultured_Cells	Pancreas
iPS_15b_Cell_Line	CD8_Naive_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	HUES6_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Ovary
Stomach_Smooth_Muscle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD8_Naive_Primary_Cells	Duodenum_Mucosa
HepG2_Hepatocellular_Carcinoma	HMEC_Mammary_Epithelial
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
Brain_Germinal_Matrix	Brain_Hippocampus_Middle
H9_Derived_Neuron_Cultured_Cells	Brain_Anterior_Caudate
K562_Leukemia	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD8_Memory_Primary_Cells	CD56_Primary_Cells
Rectal_Mucosa.Donor_31	Psoas_Muscle
CD19_Primary_Cells_Peripheral_UW	Sigmoid_Colon
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Left_Ventricle
Adult_Liver	CD3_Primary_Cells_Peripheral_UW
Peripheral_Blood_Mononuclear_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Brain_Inferior_Temporal_Lobe	NHEK_Epidermal_Keratinocytes
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD34_Primary_Cells	Fetal_Thymus
HSMM_Skeletal_Muscle_Myoblasts	Thymus
Brain_Anterior_Caudate	ES_I3_Cell_Line
Rectal_Smooth_Muscle	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Placenta_Amnion	Neurosphere_Cultured_Cells_Cortex_Derived
CD4pp_CD25__Th_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Right_Atrium
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Kidney
Rectal_Mucosa.Donor_29	Fetal_Heart
A549_EtOH_0.02pct_Lung_Carcinoma	Fetal_Stomach
Pancreatic_Islets	CD15_Primary_Cells
HeLa_S3_Cervical_Carcinoma	Breast_vHMEC
Colonic_Mucosa	Fetal_Muscle_Leg
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Adipose_Nuclei
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Fetal_Adrenal_Gland
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
Brain_Angular_Gyrus	Brain_Germinal_Matrix
Brain_Substantia_Nigra	H1_Derived_Mesenchymal_Stem_Cells
Fetal_Muscle_Trunk	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
NH_A_Astrocytes	Lung
Osteoblasts	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Left_Ventricle	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD3_Primary_Cells_Cord_BI	Fetal_Lung
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
Brain_Mid_Frontal_Lobe	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Dnd41_TCell_Leukemia
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Ovary	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
