(New) Cell Type	(Old) Cell Type
A549_EtOH_0.02pct_Lung_Carcinoma	A549_EtOH_0.02pct_Lung_Carcinoma
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	HMEC_Mammary_Epithelial
Osteoblasts	Adult_Liver
CD19_Primary_Cells_Cord_BI	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	Colon_Smooth_Muscle
HUES48_Cell_Line	CD4_Memory_Primary_Cells
Fetal_Brain_Female	Duodenum_Smooth_Muscle
Stomach_Mucosa	CD4pp_CD25__Th_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Angular_Gyrus
K562_Leukemia	Brain_Anterior_Caudate
Gastric	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Lung	CD4_Naive_Primary_Cells
HUES64_Cell_Line	Brain_Substantia_Nigra
Fetal_Heart	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
iPS_15b_Cell_Line	Rectal_Smooth_Muscle
CD3_Primary_Cells_Cord_BI	CD8_Memory_Primary_Cells
Fetal_Brain_Male	Esophagus
iPS_20b_Cell_Line	HSMM_Skeletal_Muscle_Myoblasts
NHDF_Ad_Adult_Dermal_Fibroblasts	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Brain_Mid_Frontal_Lobe
Adult_Liver	Brain_Hippocampus_Middle
Dnd41_TCell_Leukemia	Right_Ventricle
Right_Atrium	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Psoas_Muscle	Spleen
HeLa_S3_Cervical_Carcinoma	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Rectal_Mucosa.Donor_31
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NHEK_Epidermal_Keratinocytes
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Cingulate_Gyrus
Rectal_Smooth_Muscle	Duodenum_Mucosa
4star	iPS_DF_19.11_Cell_Line
H9_Cell_Line	H9_Cell_Line
NHLF_Lung_Fibroblasts	H1_Derived_Neuronal_Progenitor_Cultured_Cells
H1_Cell_Line	Psoas_Muscle
CD34_Primary_Cells	Rectal_Mucosa.Donor_29
Brain_Substantia_Nigra	Ovary
Ovary	CD8_Naive_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Placenta_Amnion
iPS_DF_6.9_Cell_Line	Brain_Inferior_Temporal_Lobe
Brain_Angular_Gyrus	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
GM12878_Lymphoblastoid	iPS_DF_6.9_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	NH_A_Astrocytes
ES_WA7_Cell_Line	CD34_Primary_Cells
