(New) Cell Type	(Old) Cell Type
A549_EtOH_0.02pct_Lung_Carcinoma	A549_EtOH_0.02pct_Lung_Carcinoma
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HeLa_S3_Cervical_Carcinoma
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Fetal_Brain_Male	NH_A_Astrocytes
Fetal_Kidney	IMR90_Cell_Line
Muscle_Satellite_Cultured_Cells	Breast_vHMEC
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Fetal_Intestine_Large
Pancreatic_Islets	Fetal_Intestine_Small
Fetal_Heart	NHLF_Lung_Fibroblasts
Aorta	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Osteoblasts	HMEC_Mammary_Epithelial
iPS_18_Cell_Line	HSMM_Skeletal_Muscle_Myoblasts
CD34_Primary_Cells	Fetal_Stomach
ES_I3_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
K562_Leukemia	Fetal_Kidney
HeLa_S3_Cervical_Carcinoma	NHEK_Epidermal_Keratinocytes
Small_Intestine	NHDF_Ad_Adult_Dermal_Fibroblasts
H9_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
CD8_Memory_Primary_Cells	Osteoblasts
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Psoas_Muscle	Stomach_Mucosa
GM12878_Lymphoblastoid	H1_Cell_Line
HUES48_Cell_Line	H9_Cell_Line
HUES64_Cell_Line	Duodenum_Smooth_Muscle
Peripheral_Blood_Mononuclear_Primary_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
NH_A_Astrocytes	Fetal_Adrenal_Gland
CD4_Naive_Primary_Cells	HUES64_Cell_Line
Fetal_Brain_Female	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Rectal_Mucosa.Donor_29	HUVEC_Umbilical_Vein_Endothelial_Cells
NHEK_Epidermal_Keratinocytes	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
iPS_20b_Cell_Line	Psoas_Muscle
Fetal_Lung	ES_I3_Cell_Line
HUES6_Cell_Line	Breast_Myoepithelial_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HUES48_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Small_Intestine
iPS_15b_Cell_Line	Fetal_Muscle_Leg
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Rectal_Mucosa.Donor_31
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Hippocampus_Middle	iPS_DF_6.9_Cell_Line
ES_WA7_Cell_Line	Rectal_Smooth_Muscle
CD3_Primary_Cells_Cord_BI	Colon_Smooth_Muscle
H9_Derived_Neuronal_Progenitor_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Duodenum_Smooth_Muscle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD4_Memory_Primary_Cells	Rectal_Mucosa.Donor_29
Pancreas	HUES6_Cell_Line
Brain_Inferior_Temporal_Lobe	iPS_15b_Cell_Line
Brain_Angular_Gyrus	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	Sigmoid_Colon
Duodenum_Mucosa	Fetal_Lung
Rectal_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Stomach_Smooth_Muscle	H1_Derived_Neuronal_Progenitor_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	HepG2_Hepatocellular_Carcinoma
Brain_Germinal_Matrix	Left_Ventricle
Brain_Anterior_Caudate	Duodenum_Mucosa
NHDF_Ad_Adult_Dermal_Fibroblasts	Colonic_Mucosa
Brain_Substantia_Nigra	iPS_18_Cell_Line
iPS_DF_6.9_Cell_Line	Brain_Mid_Frontal_Lobe
Rectal_Mucosa.Donor_31	iPS_20b_Cell_Line
Adult_Liver	Thymus
Brain_Cingulate_Gyrus	H9_Derived_Neuron_Cultured_Cells
Gastric	Pancreatic_Islets
Placenta_Amnion	Fetal_Thymus
Brain_Mid_Frontal_Lobe	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Angular_Gyrus
Left_Ventricle	Fetal_Muscle_Trunk
Ovary	Esophagus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Right_Atrium
Fetal_Adrenal_Gland	Neurosphere_Cultured_Cells_Cortex_Derived
Colon_Smooth_Muscle	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
H9_Derived_Neuron_Cultured_Cells	4star
Thymus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Placenta_Amnion
Sigmoid_Colon	Fetal_Placenta
Right_Atrium	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Right_Ventricle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	ES_WA7_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Cingulate_Gyrus
CD8_Naive_Primary_Cells	K562_Leukemia
NHLF_Lung_Fibroblasts	Dnd41_TCell_Leukemia
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Fetal_Brain_Female
Breast_vHMEC	CD8_Memory_Primary_Cells
H1_Cell_Line	Aorta
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Anterior_Caudate
Skeletal_Muscle_Female	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
4star	Brain_Substantia_Nigra
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Brain_Male
HMEC_Mammary_Epithelial	Brain_Inferior_Temporal_Lobe
HUVEC_Umbilical_Vein_Endothelial_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD14_Primary_Cells
Fetal_Muscle_Leg	Brain_Germinal_Matrix
Skeletal_Muscle_Male	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD14_Primary_Cells	CD34_Cultured_Cells
Adipose_Nuclei	Brain_Hippocampus_Middle
CD19_Primary_Cells_Cord_BI	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Esophagus	Adipose_Nuclei
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Ovary
Fetal_Thymus	iPS_DF_19.11_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD19_Primary_Cells_Cord_BI
Mobilized_CD34_Primary_Cells_Female	CD19_Primary_Cells_Peripheral_UW
