(New) Cell Type	(Old) Cell Type
A549_EtOH_0.02pct_Lung_Carcinoma	A549_EtOH_0.02pct_Lung_Carcinoma
Right_Atrium	HSMM_Skeletal_Muscle_Myoblasts
Left_Ventricle	HUES6_Cell_Line
Placenta_Amnion	HMEC_Mammary_Epithelial
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Psoas_Muscle	HUES64_Cell_Line
Rectal_Smooth_Muscle	CD4_Memory_Primary_Cells
CD4_Naive_Primary_Cells	NHEK_Epidermal_Keratinocytes
CD8_Memory_Primary_Cells	iPS_20b_Cell_Line
CD34_Primary_Cells	NHLF_Lung_Fibroblasts
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NH_A_Astrocytes
Brain_Angular_Gyrus	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HUES48_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Gastric	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Colon_Smooth_Muscle	Duodenum_Smooth_Muscle
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD4_Naive_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Adult_Liver	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Osteoblasts	ES_I3_Cell_Line
Brain_Substantia_Nigra	HUVEC_Umbilical_Vein_Endothelial_Cells
4star	Breast_vHMEC
Fetal_Lung	CD8_Memory_Primary_Cells
Ovary	Mobilized_CD34_Primary_Cells_Female
Brain_Anterior_Caudate	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Brain_Female	Colon_Smooth_Muscle
CD19_Primary_Cells_Cord_BI	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4_Memory_Primary_Cells	Rectal_Mucosa.Donor_31
Small_Intestine	Muscle_Satellite_Cultured_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Mobilized_CD34_Primary_Cells_Male
Sigmoid_Colon	CD8_Naive_Primary_Cells
NHLF_Lung_Fibroblasts	Duodenum_Mucosa
Thymus	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Brain_Male	iPS_18_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
iPS_DF_6.9_Cell_Line	Brain_Angular_Gyrus
Peripheral_Blood_Mononuclear_Primary_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
GM12878_Lymphoblastoid	CD34_Primary_Cells
Brain_Cingulate_Gyrus	Psoas_Muscle
Brain_Inferior_Temporal_Lobe	CD34_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Osteoblasts
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Rectal_Mucosa.Donor_29
HeLa_S3_Cervical_Carcinoma	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
NH_A_Astrocytes	Esophagus
Brain_Mid_Frontal_Lobe	Rectal_Smooth_Muscle
Stomach_Mucosa	Adipose_Nuclei
Brain_Germinal_Matrix	Brain_Hippocampus_Middle
Rectal_Mucosa.Donor_29	Brain_Substantia_Nigra
Aorta	Adult_Liver
Duodenum_Smooth_Muscle	Placenta_Amnion
Rectal_Mucosa.Donor_31	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD3_Primary_Cells_Cord_BI	Brain_Mid_Frontal_Lobe
Fetal_Heart	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD8_Naive_Primary_Cells	Stomach_Mucosa
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Heart
Pancreas	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Adrenal_Gland
iPS_DF_19.11_Cell_Line	H9_Derived_Neuron_Cultured_Cells
H1_Derived_Mesenchymal_Stem_Cells	Skeletal_Muscle_Female
Stomach_Smooth_Muscle	Brain_Anterior_Caudate
NHEK_Epidermal_Keratinocytes	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	ES_WA7_Cell_Line
