(New) Cell Type	(Old) Cell Type
Adipose_Nuclei	Adipose_Nuclei
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
Dnd41_TCell_Leukemia	Mobilized_CD34_Primary_Cells_Male
Brain_Angular_Gyrus	CD34_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD19_Primary_Cells_Cord_BI
CD34_Cultured_Cells	Small_Intestine
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD14_Primary_Cells
Monocytes_CD14pp_RO01746	CD4pp_CD25__Th_Primary_Cells
Brain_Cingulate_Gyrus	CD19_Primary_Cells_Peripheral_UW
CD19_Primary_Cells_Peripheral_UW	Dnd41_TCell_Leukemia
Esophagus	Fetal_Adrenal_Gland
Peripheral_Blood_Mononuclear_Primary_Cells	CD15_Primary_Cells
ES_WA7_Cell_Line	Sigmoid_Colon
Spleen	CD56_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	Right_Atrium
Fetal_Placenta	Placenta_Amnion
CD19_Primary_Cells_Cord_BI	HUVEC_Umbilical_Vein_Endothelial_Cells
CD56_Primary_Cells	Fetal_Muscle_Leg
Colonic_Mucosa	Peripheral_Blood_Mononuclear_Primary_Cells
Brain_Anterior_Caudate	Lung
CD3_Primary_Cells_Cord_BI	Fetal_Stomach
Brain_Mid_Frontal_Lobe	Left_Ventricle
Fetal_Muscle_Trunk	CD8_Naive_Primary_Cells
iPS_DF_19.11_Cell_Line	Stomach_Mucosa
CD3_Primary_Cells_Peripheral_UW	Fetal_Thymus
Lung	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD4_Memory_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Fetal_Brain_Female	Breast_vHMEC
Skeletal_Muscle_Female	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Adrenal_Gland	Fetal_Placenta
Mobilized_CD34_Primary_Cells_Female	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Muscle_Leg	CD34_Cultured_Cells
Duodenum_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Stomach	Fetal_Lung
Brain_Germinal_Matrix	CD3_Primary_Cells_Peripheral_UW
A549_EtOH_0.02pct_Lung_Carcinoma	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Fetal_Intestine_Small	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Right_Ventricle	Fetal_Muscle_Trunk
Skeletal_Muscle_Male	CD4pp_CD25pp_CD127__Treg_Primary_Cells
HepG2_Hepatocellular_Carcinoma	Fetal_Intestine_Small
Rectal_Mucosa.Donor_31	Psoas_Muscle
Rectal_Smooth_Muscle	Esophagus
Adult_Liver	Monocytes_CD14pp_RO01746
Pancreatic_Islets	CD4_Naive_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Brain_Male	Colon_Smooth_Muscle
Brain_Inferior_Temporal_Lobe	Pancreas
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Fetal_Intestine_Large
Thymus	Muscle_Satellite_Cultured_Cells
CD34_Primary_Cells	CD8_Memory_Primary_Cells
Fetal_Intestine_Large	IMR90_Cell_Line
H1_Cell_Line	Skeletal_Muscle_Female
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Adult_Liver
Breast_Myoepithelial_Cells	HMEC_Mammary_Epithelial
Brain_Hippocampus_Middle	Skeletal_Muscle_Male
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Spleen
NHLF_Lung_Fibroblasts	Ovary
Stomach_Smooth_Muscle	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Rectal_Mucosa.Donor_29	NHDF_Ad_Adult_Dermal_Fibroblasts
H1_Derived_Mesenchymal_Stem_Cells	Duodenum_Smooth_Muscle
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	H1_Derived_Mesenchymal_Stem_Cells
Fetal_Thymus	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Rectal_Mucosa.Donor_31
CD4pp_CD25__Th_Primary_Cells	NHEK_Epidermal_Keratinocytes
Duodenum_Mucosa	Thymus
Stomach_Mucosa	Fetal_Kidney
Osteoblasts	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Pancreas	Fetal_Heart
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD3_Primary_Cells_Cord_BI
Neurosphere_Cultured_Cells_Cortex_Derived	iPS_DF_19.11_Cell_Line
4star	H9_Derived_Neuron_Cultured_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Colonic_Mucosa
Gastric	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	NH_A_Astrocytes
iPS_DF_6.9_Cell_Line	NHLF_Lung_Fibroblasts
Right_Atrium	Fetal_Brain_Male
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Gastric
Placenta_Amnion	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Psoas_Muscle	iPS_DF_6.9_Cell_Line
HUES6_Cell_Line	Osteoblasts
Colon_Smooth_Muscle	Brain_Germinal_Matrix
