(New) Cell Type	(Old) Cell Type
Adult_Liver	Adult_Liver
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
HUES64_Cell_Line	CD14_Primary_Cells
Adipose_Nuclei	Mobilized_CD34_Primary_Cells_Male
HMEC_Mammary_Epithelial	Breast_Myoepithelial_Cells
Aorta	HUES6_Cell_Line
Breast_vHMEC	HUES64_Cell_Line
Fetal_Adrenal_Gland	IMR90_Cell_Line
Fetal_Placenta	HUES48_Cell_Line
H9_Derived_Neuron_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	iPS_20b_Cell_Line
Mobilized_CD34_Primary_Cells_Female	Fetal_Placenta
Fetal_Muscle_Leg	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
NHEK_Epidermal_Keratinocytes	Fetal_Intestine_Small
Lung	Adipose_Nuclei
Fetal_Intestine_Small	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD56_Primary_Cells
ES_I3_Cell_Line	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Monocytes_CD14pp_RO01746
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	4star
HepG2_Hepatocellular_Carcinoma	Fetal_Muscle_Leg
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
GM12878_Lymphoblastoid	CD15_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Breast_Myoepithelial_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Dnd41_TCell_Leukemia	Fetal_Brain_Female
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Breast_vHMEC
Muscle_Satellite_Cultured_Cells	iPS_18_Cell_Line
H1_Derived_Mesenchymal_Stem_Cells	H1_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Brain_Anterior_Caudate
HUES48_Cell_Line	Aorta
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Fetal_Adrenal_Gland
iPS_18_Cell_Line	Duodenum_Mucosa
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Stomach
iPS_20b_Cell_Line	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Left_Ventricle	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	ES_I3_Cell_Line
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD19_Primary_Cells_Peripheral_UW
4star	Dnd41_TCell_Leukemia
Pancreatic_Islets	Brain_Hippocampus_Middle
CD34_Cultured_Cells	Mobilized_CD34_Primary_Cells_Female
Fetal_Intestine_Large	Pancreatic_Islets
CD14_Primary_Cells	CD3_Primary_Cells_Cord_BI
CD56_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Duodenum_Mucosa	CD34_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Brain_Germinal_Matrix
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	NHEK_Epidermal_Keratinocytes
HUVEC_Umbilical_Vein_Endothelial_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD34_Primary_Cells	Fetal_Intestine_Large
HUES6_Cell_Line	Fetal_Muscle_Trunk
Monocytes_CD14pp_RO01746	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
HSMM_Skeletal_Muscle_Myoblasts	Psoas_Muscle
Sigmoid_Colon	CD34_Primary_Cells
Osteoblasts	Fetal_Thymus
Small_Intestine	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
A549_EtOH_0.02pct_Lung_Carcinoma	H9_Derived_Neuronal_Progenitor_Cultured_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Pancreas
Brain_Hippocampus_Middle	iPS_15b_Cell_Line
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Lung
CD3_Primary_Cells_Cord_BI	Brain_Inferior_Temporal_Lobe
Fetal_Lung	CD19_Primary_Cells_Cord_BI
CD4pp_CD25pp_CD127__Treg_Primary_Cells	H9_Cell_Line
K562_Leukemia	Duodenum_Smooth_Muscle
Brain_Anterior_Caudate	Brain_Cingulate_Gyrus
Fetal_Stomach	CD3_Primary_Cells_Peripheral_UW
CD4pp_CD25__Th_Primary_Cells	K562_Leukemia
CD19_Primary_Cells_Peripheral_UW	Neurosphere_Cultured_Cells_Cortex_Derived
NHLF_Lung_Fibroblasts	A549_EtOH_0.02pct_Lung_Carcinoma
CD15_Primary_Cells	HMEC_Mammary_Epithelial
Fetal_Brain_Female	Esophagus
CD19_Primary_Cells_Cord_BI	H1_Derived_Mesenchymal_Stem_Cells
iPS_15b_Cell_Line	CD4pp_CD25__Th_Primary_Cells
CD3_Primary_Cells_Peripheral_UW	Left_Ventricle
NH_A_Astrocytes	NHDF_Ad_Adult_Dermal_Fibroblasts
Stomach_Smooth_Muscle	Brain_Substantia_Nigra
Right_Atrium	Osteoblasts
H1_Cell_Line	H1_BMP4_Derived_Trophoblast_Cultured_Cells
