(New) Chromatin State	(Old) Chromatin State
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Quiescent_Low	Repressed_PolyComb
Weak_transcription	Quiescent_Low
Strong_transcription	Bivalent_Enhancer
Heterochromatin	Bivalent_Poised_TSS
Repressed_PolyComb	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Heterochromatin
Enhancers	Enhancers
Genic_enhancers	Transcr_at_gene_5_and_3
Active_TSS	Active_TSS
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Flanking_Active_TSS	ZNF_genes_and_repeats
Bivalent_Poised_TSS	Genic_enhancers
Bivalent_Enhancer	Weak_transcription
Flanking_Bivalent_TSS_Enh	Strong_transcription
