(New) Cell Type	(Old) Cell Type
Aorta	Aorta
Peripheral_Blood_Mononuclear_Primary_Cells	Stomach_Smooth_Muscle
H9_Cell_Line	Rectal_Smooth_Muscle
K562_Leukemia	Colon_Smooth_Muscle
Muscle_Satellite_Cultured_Cells	Right_Atrium
Osteoblasts	Duodenum_Smooth_Muscle
HUES48_Cell_Line	NHLF_Lung_Fibroblasts
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Left_Ventricle
NH_A_Astrocytes	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
iPS_18_Cell_Line	HSMM_Skeletal_Muscle_Myoblasts
CD4_Naive_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Brain_Male	Ovary
Psoas_Muscle	Skeletal_Muscle_Female
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Psoas_Muscle
CD8_Memory_Primary_Cells	Skeletal_Muscle_Male
Fetal_Brain_Female	Osteoblasts
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	NHDF_Ad_Adult_Dermal_Fibroblasts
Fetal_Lung	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Small_Intestine	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
NHEK_Epidermal_Keratinocytes	Right_Ventricle
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	IMR90_Cell_Line
HUES64_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Kidney	NH_A_Astrocytes
Rectal_Mucosa.Donor_29	Fetal_Stomach
A549_EtOH_0.02pct_Lung_Carcinoma	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Brain_Germinal_Matrix	Adipose_Nuclei
Duodenum_Mucosa	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
HeLa_S3_Cervical_Carcinoma	Brain_Mid_Frontal_Lobe
Brain_Hippocampus_Middle	Fetal_Muscle_Leg
Brain_Angular_Gyrus	Small_Intestine
CD4_Memory_Primary_Cells	Breast_Myoepithelial_Cells
Brain_Inferior_Temporal_Lobe	Brain_Anterior_Caudate
iPS_DF_6.9_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
HUES6_Cell_Line	Fetal_Muscle_Trunk
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Sigmoid_Colon
ES_WA7_Cell_Line	Fetal_Heart
HepG2_Hepatocellular_Carcinoma	Colonic_Mucosa
Brain_Substantia_Nigra	Lung
ES_I3_Cell_Line	NHEK_Epidermal_Keratinocytes
Gastric	Fetal_Lung
CD34_Primary_Cells	Brain_Angular_Gyrus
GM12878_Lymphoblastoid	Brain_Hippocampus_Middle
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Brain_Inferior_Temporal_Lobe
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Esophagus
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
iPS_15b_Cell_Line	Brain_Cingulate_Gyrus
Fetal_Heart	Rectal_Mucosa.Donor_29
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Fetal_Intestine_Small
Rectal_Mucosa.Donor_31	Brain_Substantia_Nigra
Rectal_Smooth_Muscle	Fetal_Kidney
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Ovary	Gastric
CD3_Primary_Cells_Cord_BI	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Pancreas	Fetal_Adrenal_Gland
Stomach_Smooth_Muscle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
