(New) Chromatin State	(Old) Chromatin State
Flanking_Bivalent_TSS_Enh	Flanking_Bivalent_TSS_Enh
Bivalent_Enhancer	Bivalent_Poised_TSS
Flanking_Active_TSS	Bivalent_Enhancer
Bivalent_Poised_TSS	Repressed_PolyComb
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Genic_enhancers	Active_TSS
Enhancers	ZNF_genes_and_repeats
ZNF_genes_and_repeats	Transcr_at_gene_5_and_3
Active_TSS	Enhancers
Repressed_PolyComb	Weak_Repressed_PolyComb
Heterochromatin	Heterochromatin
Strong_transcription	Genic_enhancers
Weak_transcription	Strong_transcription
Weak_Repressed_PolyComb	Weak_transcription
Quiescent_Low	Quiescent_Low
