(New) Chromatin State	(Old) Chromatin State
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Weak_transcription	Repressed_PolyComb
Strong_transcription	Quiescent_Low
Heterochromatin	Bivalent_Enhancer
Repressed_PolyComb	Bivalent_Poised_TSS
Quiescent_Low	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Enhancers
Genic_enhancers	Heterochromatin
Enhancers	Flanking_Active_TSS
Active_TSS	Active_TSS
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Flanking_Active_TSS	ZNF_genes_and_repeats
Bivalent_Poised_TSS	Genic_enhancers
Bivalent_Enhancer	Weak_transcription
Flanking_Bivalent_TSS_Enh	Strong_transcription
