(New) Cell Type	(Old) Cell Type
Brain_Cingulate_Gyrus	Brain_Cingulate_Gyrus
ES_I3_Cell_Line	Brain_Angular_Gyrus
Brain_Inferior_Temporal_Lobe	Brain_Substantia_Nigra
Brain_Angular_Gyrus	Brain_Hippocampus_Middle
Rectal_Mucosa.Donor_29	Brain_Anterior_Caudate
Brain_Hippocampus_Middle	Brain_Mid_Frontal_Lobe
HMEC_Mammary_Epithelial	Brain_Inferior_Temporal_Lobe
Pancreatic_Islets	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Small_Intestine	Spleen
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Esophagus
Fetal_Muscle_Leg	Colon_Smooth_Muscle
Rectal_Mucosa.Donor_31	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
H1_Derived_Mesenchymal_Stem_Cells	Psoas_Muscle
Brain_Substantia_Nigra	Duodenum_Smooth_Muscle
Duodenum_Mucosa	Rectal_Smooth_Muscle
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Right_Ventricle
Stomach_Mucosa	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Ovary	iPS_DF_19.11_Cell_Line
iPS_DF_19.11_Cell_Line	Placenta_Amnion
Peripheral_Blood_Mononuclear_Primary_Cells	H9_Cell_Line
Adipose_Nuclei	Colonic_Mucosa
CD3_Primary_Cells_Peripheral_UW	Ovary
Fetal_Placenta	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Left_Ventricle	Lung
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	iPS_DF_6.9_Cell_Line
K562_Leukemia	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD19_Primary_Cells_Peripheral_UW	Brain_Germinal_Matrix
CD56_Primary_Cells	Left_Ventricle
CD8_Naive_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Adult_Liver
Fetal_Intestine_Small	Duodenum_Mucosa
Duodenum_Smooth_Muscle	CD4_Naive_Primary_Cells
Fetal_Stomach	CD4_Memory_Primary_Cells
Brain_Mid_Frontal_Lobe	Sigmoid_Colon
Right_Ventricle	Rectal_Mucosa.Donor_29
GM12878_Lymphoblastoid	CD8_Memory_Primary_Cells
Fetal_Muscle_Trunk	iPS_15b_Cell_Line
Skeletal_Muscle_Female	Right_Atrium
Colon_Smooth_Muscle	4star
NHLF_Lung_Fibroblasts	Small_Intestine
Breast_Myoepithelial_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Brain_Anterior_Caudate	Stomach_Mucosa
Fetal_Thymus	ES_I3_Cell_Line
iPS_20b_Cell_Line	HUES6_Cell_Line
Fetal_Adrenal_Gland	Neurosphere_Cultured_Cells_Cortex_Derived
ES_WA7_Cell_Line	Adipose_Nuclei
CD34_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Rectal_Smooth_Muscle	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Dnd41_TCell_Leukemia	CD4pp_CD25__Th_Primary_Cells
Skeletal_Muscle_Male	Rectal_Mucosa.Donor_31
H1_Cell_Line	Skeletal_Muscle_Female
NHDF_Ad_Adult_Dermal_Fibroblasts	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
HUES6_Cell_Line	ES_WA7_Cell_Line
Fetal_Intestine_Large	H1_Cell_Line
Placenta_Amnion	CD8_Naive_Primary_Cells
iPS_DF_6.9_Cell_Line	Fetal_Brain_Female
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Fetal_Heart
H9_Cell_Line	Stomach_Smooth_Muscle
CD14_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Fetal_Intestine_Small
Thymus	HUES48_Cell_Line
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HUES64_Cell_Line
CD4pp_CD25__Th_Primary_Cells	Breast_Myoepithelial_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Mobilized_CD34_Primary_Cells_Female
HSMM_Skeletal_Muscle_Myoblasts	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
IMR90_Cell_Line	HMEC_Mammary_Epithelial
HUES48_Cell_Line	Fetal_Brain_Male
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Fetal_Intestine_Large
Brain_Germinal_Matrix	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Gastric	Mobilized_CD34_Primary_Cells_Male
Fetal_Kidney	CD34_Primary_Cells
Adult_Liver	Pancreatic_Islets
Colonic_Mucosa	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
HUES64_Cell_Line	iPS_20b_Cell_Line
iPS_15b_Cell_Line	iPS_18_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Thymus
iPS_18_Cell_Line	CD34_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD3_Primary_Cells_Cord_BI
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD4pp_CD25pp_CD127__Treg_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Skeletal_Muscle_Male
Psoas_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
HepG2_Hepatocellular_Carcinoma	CD19_Primary_Cells_Peripheral_UW
Pancreas	Fetal_Placenta
CD8_Memory_Primary_Cells	Fetal_Thymus
Esophagus	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	NH_A_Astrocytes
4star	Fetal_Kidney
HeLa_S3_Cervical_Carcinoma	Fetal_Muscle_Leg
H1_Derived_Neuronal_Progenitor_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD56_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	NHEK_Epidermal_Keratinocytes
NHEK_Epidermal_Keratinocytes	Fetal_Lung
CD15_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	HSMM_Skeletal_Muscle_Myoblasts
Right_Atrium	Fetal_Stomach
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Sigmoid_Colon	A549_EtOH_0.02pct_Lung_Carcinoma
Stomach_Smooth_Muscle	H9_Derived_Neuron_Cultured_Cells
CD4_Naive_Primary_Cells	NHLF_Lung_Fibroblasts
NH_A_Astrocytes	Fetal_Muscle_Trunk
Spleen	CD19_Primary_Cells_Cord_BI
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD15_Primary_Cells
CD4_Memory_Primary_Cells	GM12878_Lymphoblastoid
Fetal_Brain_Female	Fetal_Adrenal_Gland
Aorta	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
H9_Derived_Neuron_Cultured_Cells	Breast_vHMEC
Mobilized_CD34_Primary_Cells_Female	Aorta
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Muscle_Satellite_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Brain_Male	HUVEC_Umbilical_Vein_Endothelial_Cells
CD19_Primary_Cells_Cord_BI	Muscle_Satellite_Cultured_Cells
Breast_vHMEC	Osteoblasts
Lung	Gastric
Fetal_Lung	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Heart	CD14_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	IMR90_Cell_Line
Monocytes_CD14pp_RO01746	Monocytes_CD14pp_RO01746
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD3_Primary_Cells_Cord_BI	CD3_Primary_Cells_Peripheral_UW
Mobilized_CD34_Primary_Cells_Male	HepG2_Hepatocellular_Carcinoma
Osteoblasts	HeLa_S3_Cervical_Carcinoma
CD34_Primary_Cells	K562_Leukemia
HUVEC_Umbilical_Vein_Endothelial_Cells	Pancreas
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Dnd41_TCell_Leukemia
