(New) Cell Type	(Old) Cell Type
Brain_Germinal_Matrix	Brain_Germinal_Matrix
CD34_Cultured_Cells	Colonic_Mucosa
CD56_Primary_Cells	Fetal_Brain_Male
CD34_Primary_Cells	Fetal_Thymus
Fetal_Intestine_Small	Spleen
Fetal_Intestine_Large	Esophagus
Neurosphere_Cultured_Cells_Cortex_Derived	Right_Atrium
Dnd41_TCell_Leukemia	H1_Derived_Neuronal_Progenitor_Cultured_Cells
H1_Cell_Line	iPS_DF_6.9_Cell_Line
iPS_15b_Cell_Line	Brain_Mid_Frontal_Lobe
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Gastric
CD8_Memory_Primary_Cells	Fetal_Brain_Female
Fetal_Placenta	Neurosphere_Cultured_Cells_Cortex_Derived
CD4_Memory_Primary_Cells	Brain_Substantia_Nigra
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Muscle_Leg
A549_EtOH_0.02pct_Lung_Carcinoma	Fetal_Muscle_Trunk
ES_I3_Cell_Line	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Placenta_Amnion
CD19_Primary_Cells_Cord_BI	Fetal_Intestine_Small
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Lung
NHEK_Epidermal_Keratinocytes	Thymus
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Stomach
Fetal_Adrenal_Gland	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Fetal_Muscle_Leg	Rectal_Smooth_Muscle
Peripheral_Blood_Mononuclear_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Mobilized_CD34_Primary_Cells_Female
H9_Derived_Neuronal_Progenitor_Cultured_Cells	NH_A_Astrocytes
Osteoblasts	Brain_Cingulate_Gyrus
Monocytes_CD14pp_RO01746	Duodenum_Smooth_Muscle
CD8_Naive_Primary_Cells	Adipose_Nuclei
Muscle_Satellite_Cultured_Cells	CD34_Cultured_Cells
Brain_Substantia_Nigra	Stomach_Mucosa
Mobilized_CD34_Primary_Cells_Female	Colon_Smooth_Muscle
Adult_Liver	Brain_Inferior_Temporal_Lobe
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Dnd41_TCell_Leukemia
CD15_Primary_Cells	Brain_Hippocampus_Middle
GM12878_Lymphoblastoid	CD34_Primary_Cells
Fetal_Brain_Female	iPS_20b_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD4_Memory_Primary_Cells
Adipose_Nuclei	Small_Intestine
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Angular_Gyrus
Fetal_Heart	CD4_Naive_Primary_Cells
Sigmoid_Colon	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD19_Primary_Cells_Peripheral_UW	CD8_Naive_Primary_Cells
Fetal_Lung	Rectal_Mucosa.Donor_29
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Skeletal_Muscle_Male
Fetal_Muscle_Trunk	Brain_Anterior_Caudate
Duodenum_Mucosa	HUES64_Cell_Line
Aorta	CD19_Primary_Cells_Peripheral_UW
HeLa_S3_Cervical_Carcinoma	Adult_Liver
CD4pp_CD25pp_CD127__Treg_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Brain_Angular_Gyrus	CD8_Memory_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	H1_Cell_Line
NHLF_Lung_Fibroblasts	Ovary
Left_Ventricle	CD19_Primary_Cells_Cord_BI
H1_Derived_Mesenchymal_Stem_Cells	CD4pp_CD25__Th_Primary_Cells
Rectal_Smooth_Muscle	Sigmoid_Colon
CD14_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Colon_Smooth_Muscle	Right_Ventricle
Brain_Cingulate_Gyrus	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Brain_Inferior_Temporal_Lobe	iPS_DF_19.11_Cell_Line
Brain_Hippocampus_Middle	Duodenum_Mucosa
Brain_Mid_Frontal_Lobe	Breast_Myoepithelial_Cells
Brain_Anterior_Caudate	Pancreas
Mobilized_CD34_Primary_Cells_Male	Left_Ventricle
NH_A_Astrocytes	Mobilized_CD34_Primary_Cells_Male
Breast_Myoepithelial_Cells	Skeletal_Muscle_Female
CD3_Primary_Cells_Cord_BI	Fetal_Adrenal_Gland
CD4_Naive_Primary_Cells	Pancreatic_Islets
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Fetal_Intestine_Large
HUES64_Cell_Line	Fetal_Heart
Fetal_Kidney	Monocytes_CD14pp_RO01746
Stomach_Smooth_Muscle	4star
Ovary	Breast_vHMEC
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Stomach	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	CD3_Primary_Cells_Peripheral_UW
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	HUES6_Cell_Line
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD15_Primary_Cells
Placenta_Amnion	H1_BMP4_Derived_Trophoblast_Cultured_Cells
HUES6_Cell_Line	iPS_15b_Cell_Line
IMR90_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
iPS_20b_Cell_Line	CD56_Primary_Cells
Duodenum_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4pp_CD25__Th_Primary_Cells	Aorta
H9_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
K562_Leukemia	Psoas_Muscle
HMEC_Mammary_Epithelial	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	CD4pp_CD25pp_CD127__Treg_Primary_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Kidney
Skeletal_Muscle_Male	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Lung	HUES48_Cell_Line
Rectal_Mucosa.Donor_29	HeLa_S3_Cervical_Carcinoma
Fetal_Thymus	Stomach_Smooth_Muscle
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	ES_I3_Cell_Line
HUES48_Cell_Line	Lung
HepG2_Hepatocellular_Carcinoma	H9_Derived_Neuron_Cultured_Cells
Spleen	H1_Derived_Mesenchymal_Stem_Cells
Thymus	Rectal_Mucosa.Donor_31
Colonic_Mucosa	ES_WA7_Cell_Line
iPS_18_Cell_Line	H9_Cell_Line
CD3_Primary_Cells_Peripheral_UW	Fetal_Placenta
Fetal_Brain_Male	CD14_Primary_Cells
Skeletal_Muscle_Female	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Right_Ventricle	K562_Leukemia
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	iPS_18_Cell_Line
Breast_vHMEC	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
4star	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Pancreatic_Islets	HepG2_Hepatocellular_Carcinoma
Right_Atrium	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Rectal_Mucosa.Donor_31	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Esophagus	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
iPS_DF_6.9_Cell_Line	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Pancreas	NHLF_Lung_Fibroblasts
Small_Intestine	NHDF_Ad_Adult_Dermal_Fibroblasts
H1_Derived_Neuronal_Progenitor_Cultured_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Psoas_Muscle	Muscle_Satellite_Cultured_Cells
iPS_DF_19.11_Cell_Line	Osteoblasts
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	GM12878_Lymphoblastoid
Stomach_Mucosa	HMEC_Mammary_Epithelial
Gastric	IMR90_Cell_Line
ES_WA7_Cell_Line	NHEK_Epidermal_Keratinocytes
