(New) Chromatin State	(Old) Chromatin State
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Weak_transcription	Repressed_PolyComb
Strong_transcription	Enhancers
Heterochromatin	Bivalent_Enhancer
Repressed_PolyComb	Flanking_Active_TSS
ZNF_genes_and_repeats	Heterochromatin
Genic_enhancers	Active_TSS
Active_TSS	Bivalent_Poised_TSS
Enhancers	Flanking_Bivalent_TSS_Enh
Quiescent_Low	Transcr_at_gene_5_and_3
Transcr_at_gene_5_and_3	Weak_transcription
Flanking_Active_TSS	Quiescent_Low
Bivalent_Poised_TSS	ZNF_genes_and_repeats
Bivalent_Enhancer	Genic_enhancers
Flanking_Bivalent_TSS_Enh	Strong_transcription
