(New) Cell Type	(Old) Cell Type
Brain_Hippocampus_Middle	Brain_Hippocampus_Middle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Angular_Gyrus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Brain_Substantia_Nigra
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Brain_Cingulate_Gyrus
Stomach_Smooth_Muscle	Brain_Anterior_Caudate
Rectal_Mucosa.Donor_29	Brain_Mid_Frontal_Lobe
Brain_Mid_Frontal_Lobe	Brain_Inferior_Temporal_Lobe
GM12878_Lymphoblastoid	Colon_Smooth_Muscle
Brain_Inferior_Temporal_Lobe	Duodenum_Smooth_Muscle
CD15_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Brain_Cingulate_Gyrus	Esophagus
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Ovary
Brain_Angular_Gyrus	Psoas_Muscle
Duodenum_Mucosa	Spleen
iPS_DF_19.11_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
NH_A_Astrocytes	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
H1_Cell_Line	Right_Ventricle
Duodenum_Smooth_Muscle	Left_Ventricle
Rectal_Mucosa.Donor_31	Rectal_Smooth_Muscle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Colonic_Mucosa
Colon_Smooth_Muscle	Placenta_Amnion
CD34_Primary_Cells	Adult_Liver
CD19_Primary_Cells_Cord_BI	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Brain_Anterior_Caudate	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Brain_Substantia_Nigra	Adipose_Nuclei
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Germinal_Matrix
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Stomach_Smooth_Muscle
NHEK_Epidermal_Keratinocytes	iPS_DF_19.11_Cell_Line
Monocytes_CD14pp_RO01746	Lung
IMR90_Cell_Line	CD4_Naive_Primary_Cells
Brain_Germinal_Matrix	H9_Cell_Line
Fetal_Intestine_Large	CD4pp_CD25__Th_Primary_Cells
Esophagus	iPS_DF_6.9_Cell_Line
Right_Ventricle	CD4_Memory_Primary_Cells
H1_Derived_Mesenchymal_Stem_Cells	Breast_Myoepithelial_Cells
Muscle_Satellite_Cultured_Cells	CD8_Memory_Primary_Cells
Adipose_Nuclei	Duodenum_Mucosa
Ovary	4star
Gastric	Rectal_Mucosa.Donor_29
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Skeletal_Muscle_Female
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Thymus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Pancreas	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
iPS_DF_6.9_Cell_Line	HMEC_Mammary_Epithelial
Left_Ventricle	CD8_Naive_Primary_Cells
CD4_Memory_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
Skeletal_Muscle_Female	CD34_Primary_Cells
Fetal_Brain_Female	Fetal_Heart
Peripheral_Blood_Mononuclear_Primary_Cells	Fetal_Brain_Female
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Mobilized_CD34_Primary_Cells_Male
Fetal_Intestine_Small	Rectal_Mucosa.Donor_31
CD3_Primary_Cells_Cord_BI	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Rectal_Smooth_Muscle	Fetal_Intestine_Small
Lung	H1_Cell_Line
Right_Atrium	Fetal_Intestine_Large
Colonic_Mucosa	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4_Naive_Primary_Cells	Stomach_Mucosa
NHLF_Lung_Fibroblasts	CD34_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Brain_Male
HUVEC_Umbilical_Vein_Endothelial_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Small_Intestine	Skeletal_Muscle_Male
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HUES6_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Sigmoid_Colon
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
Osteoblasts	NH_A_Astrocytes
CD8_Memory_Primary_Cells	ES_WA7_Cell_Line
Sigmoid_Colon	CD3_Primary_Cells_Cord_BI
Skeletal_Muscle_Male	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Placenta_Amnion	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Fetal_Placenta	iPS_15b_Cell_Line
4star	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Spleen	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Psoas_Muscle	CD19_Primary_Cells_Peripheral_UW
Adult_Liver	HSMM_Skeletal_Muscle_Myoblasts
CD8_Naive_Primary_Cells	ES_I3_Cell_Line
Breast_vHMEC	A549_EtOH_0.02pct_Lung_Carcinoma
CD34_Cultured_Cells	HUES48_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NHEK_Epidermal_Keratinocytes
Fetal_Lung	Small_Intestine
H9_Derived_Neuron_Cultured_Cells	Thymus
Breast_Myoepithelial_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	Fetal_Muscle_Leg
HMEC_Mammary_Epithelial	HUES64_Cell_Line
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Fetal_Stomach
Stomach_Mucosa	Fetal_Placenta
Neurosphere_Cultured_Cells_Cortex_Derived	NHLF_Lung_Fibroblasts
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Lung
CD56_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Aorta	iPS_18_Cell_Line
HUES6_Cell_Line	H9_Derived_Neuron_Cultured_Cells
K562_Leukemia	CD56_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	CD19_Primary_Cells_Cord_BI
Fetal_Stomach	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Muscle_Trunk	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Thymus	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Heart	iPS_20b_Cell_Line
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Right_Atrium
CD14_Primary_Cells	Fetal_Adrenal_Gland
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Mobilized_CD34_Primary_Cells_Female	HUVEC_Umbilical_Vein_Endothelial_Cells
ES_WA7_Cell_Line	GM12878_Lymphoblastoid
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Brain_Male	Fetal_Thymus
NHDF_Ad_Adult_Dermal_Fibroblasts	NHDF_Ad_Adult_Dermal_Fibroblasts
CD19_Primary_Cells_Peripheral_UW	Fetal_Kidney
CD3_Primary_Cells_Peripheral_UW	Osteoblasts
CD4pp_CD25__Th_Primary_Cells	IMR90_Cell_Line
H9_Cell_Line	Breast_vHMEC
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Fetal_Muscle_Trunk
Dnd41_TCell_Leukemia	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Adrenal_Gland	Pancreatic_Islets
Fetal_Muscle_Leg	CD15_Primary_Cells
HeLa_S3_Cervical_Carcinoma	Monocytes_CD14pp_RO01746
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
iPS_15b_Cell_Line	Gastric
Fetal_Kidney	Aorta
ES_I3_Cell_Line	CD14_Primary_Cells
iPS_20b_Cell_Line	HepG2_Hepatocellular_Carcinoma
iPS_18_Cell_Line	K562_Leukemia
HUES48_Cell_Line	HeLa_S3_Cervical_Carcinoma
HUES64_Cell_Line	Dnd41_TCell_Leukemia
Pancreatic_Islets	Pancreas
