(New) Cell Type	(Old) Cell Type
Brain_Substantia_Nigra	Brain_Substantia_Nigra
Ovary	Brain_Hippocampus_Middle
Thymus	Brain_Anterior_Caudate
Colon_Smooth_Muscle	Brain_Angular_Gyrus
Brain_Germinal_Matrix	Brain_Cingulate_Gyrus
Brain_Inferior_Temporal_Lobe	Brain_Inferior_Temporal_Lobe
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Brain_Mid_Frontal_Lobe
Brain_Cingulate_Gyrus	Colon_Smooth_Muscle
Duodenum_Smooth_Muscle	Duodenum_Smooth_Muscle
Brain_Anterior_Caudate	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Osteoblasts	Left_Ventricle
GM12878_Lymphoblastoid	Psoas_Muscle
CD4_Memory_Primary_Cells	Esophagus
CD4_Naive_Primary_Cells	Rectal_Smooth_Muscle
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Adult_Liver
NH_A_Astrocytes	Ovary
Rectal_Mucosa.Donor_29	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Stomach_Smooth_Muscle	Stomach_Smooth_Muscle
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Spleen
Small_Intestine	Adipose_Nuclei
Rectal_Smooth_Muscle	H1_Derived_Neuronal_Progenitor_Cultured_Cells
CD19_Primary_Cells_Cord_BI	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NHLF_Lung_Fibroblasts	CD4_Naive_Primary_Cells
Duodenum_Mucosa	CD4_Memory_Primary_Cells
NHEK_Epidermal_Keratinocytes	Skeletal_Muscle_Female
Rectal_Mucosa.Donor_31	Placenta_Amnion
Brain_Hippocampus_Middle	CD8_Memory_Primary_Cells
Gastric	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Left_Ventricle	Fetal_Heart
Placenta_Amnion	Right_Ventricle
Right_Atrium	CD8_Naive_Primary_Cells
Brain_Angular_Gyrus	Duodenum_Mucosa
Brain_Mid_Frontal_Lobe	iPS_DF_19.11_Cell_Line
CD34_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
iPS_DF_19.11_Cell_Line	Colonic_Mucosa
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Skeletal_Muscle_Male
Muscle_Satellite_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Neurosphere_Cultured_Cells_Cortex_Derived
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Rectal_Mucosa.Donor_29
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD34_Primary_Cells
Monocytes_CD14pp_RO01746	CD4pp_CD25__Th_Primary_Cells
iPS_DF_6.9_Cell_Line	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Esophagus	H9_Cell_Line
4star	Mobilized_CD34_Primary_Cells_Female
CD8_Memory_Primary_Cells	HMEC_Mammary_Epithelial
Adult_Liver	Breast_Myoepithelial_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Sigmoid_Colon
IMR90_Cell_Line	Rectal_Mucosa.Donor_31
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	iPS_DF_6.9_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Germinal_Matrix
Psoas_Muscle	Fetal_Brain_Female
Right_Ventricle	4star
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	NH_A_Astrocytes
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Brain_Male
