(New) Cell Type	(Old) Cell Type
Brain_Substantia_Nigra	Brain_Substantia_Nigra
Psoas_Muscle	Brain_Angular_Gyrus
Peripheral_Blood_Mononuclear_Primary_Cells	Brain_Hippocampus_Middle
NHLF_Lung_Fibroblasts	Brain_Cingulate_Gyrus
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Anterior_Caudate
Adult_Liver	Brain_Mid_Frontal_Lobe
HSMM_Skeletal_Muscle_Myoblasts	Brain_Inferior_Temporal_Lobe
Colon_Smooth_Muscle	Colon_Smooth_Muscle
Gastric	Rectal_Smooth_Muscle
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Skeletal_Muscle_Female
Brain_Anterior_Caudate	Duodenum_Smooth_Muscle
Rectal_Smooth_Muscle	Fetal_Heart
iPS_DF_6.9_Cell_Line	Adipose_Nuclei
Small_Intestine	Adult_Liver
Brain_Mid_Frontal_Lobe	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Right_Atrium	Stomach_Smooth_Muscle
CD8_Naive_Primary_Cells	Left_Ventricle
Spleen	Esophagus
Brain_Angular_Gyrus	Psoas_Muscle
Left_Ventricle	CD4_Naive_Primary_Cells
Placenta_Amnion	Ovary
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD8_Memory_Primary_Cells
Stomach_Mucosa	CD8_Naive_Primary_Cells
Right_Ventricle	Skeletal_Muscle_Male
H1_Derived_Mesenchymal_Stem_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD4_Memory_Primary_Cells
CD34_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Duodenum_Mucosa
H1_Derived_Neuronal_Progenitor_Cultured_Cells	NH_A_Astrocytes
Brain_Inferior_Temporal_Lobe	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
iPS_DF_19.11_Cell_Line	HSMM_Skeletal_Muscle_Myoblasts
CD4_Naive_Primary_Cells	CD34_Primary_Cells
Lung	Placenta_Amnion
Rectal_Mucosa.Donor_31	Rectal_Mucosa.Donor_31
Brain_Cingulate_Gyrus	Rectal_Mucosa.Donor_29
Aorta	Mobilized_CD34_Primary_Cells_Female
CD8_Memory_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Rectal_Mucosa.Donor_29	Colonic_Mucosa
A549_EtOH_0.02pct_Lung_Carcinoma	Brain_Germinal_Matrix
Ovary	NHLF_Lung_Fibroblasts
Esophagus	NHDF_Ad_Adult_Dermal_Fibroblasts
Sigmoid_Colon	Small_Intestine
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Breast_Myoepithelial_Cells
NH_A_Astrocytes	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
