(New) Cell Type	(Old) Cell Type
Breast_Myoepithelial_Cells	Breast_Myoepithelial_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	HepG2_Hepatocellular_Carcinoma
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD14_Primary_Cells
NHEK_Epidermal_Keratinocytes	Mobilized_CD34_Primary_Cells_Male
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Aorta	IMR90_Cell_Line
HMEC_Mammary_Epithelial	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	HUES64_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HUES6_Cell_Line
Fetal_Adrenal_Gland	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD14_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	iPS_20b_Cell_Line
Lung	CD56_Primary_Cells
Breast_vHMEC	Adult_Liver
Adult_Liver	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
HUES6_Cell_Line	Fetal_Intestine_Small
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Dnd41_TCell_Leukemia	Adipose_Nuclei
H1_Derived_Mesenchymal_Stem_Cells	Monocytes_CD14pp_RO01746
GM12878_Lymphoblastoid	Aorta
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Psoas_Muscle
Fetal_Placenta	Fetal_Placenta
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Muscle_Leg
HepG2_Hepatocellular_Carcinoma	CD15_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Breast_vHMEC
Fetal_Muscle_Leg	H1_Cell_Line
Adipose_Nuclei	Pancreatic_Islets
HUES64_Cell_Line	HUES48_Cell_Line
H9_Derived_Neuron_Cultured_Cells	Duodenum_Mucosa
Fetal_Intestine_Small	Brain_Anterior_Caudate
Pancreatic_Islets	4star
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	ES_I3_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Hippocampus_Middle
Mobilized_CD34_Primary_Cells_Female	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Fetal_Adrenal_Gland
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD3_Primary_Cells_Cord_BI
Small_Intestine	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD34_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Muscle_Satellite_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Sigmoid_Colon	Dnd41_TCell_Leukemia
HUES48_Cell_Line	CD19_Primary_Cells_Peripheral_UW
Left_Ventricle	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Intestine_Large	CD34_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Left_Ventricle
ES_I3_Cell_Line	Pancreas
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Brain_Female
CD56_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Duodenum_Mucosa	H9_Derived_Neuronal_Progenitor_Cultured_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD34_Cultured_Cells
CD34_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
iPS_18_Cell_Line	Brain_Cingulate_Gyrus
iPS_20b_Cell_Line	K562_Leukemia
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Stomach
4star	NHDF_Ad_Adult_Dermal_Fibroblasts
Monocytes_CD14pp_RO01746	NHEK_Epidermal_Keratinocytes
A549_EtOH_0.02pct_Lung_Carcinoma	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Osteoblasts
CD4pp_CD25pp_CD127__Treg_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
CD4pp_CD25__Th_Primary_Cells	Brain_Substantia_Nigra
Osteoblasts	Fetal_Intestine_Large
NHDF_Ad_Adult_Dermal_Fibroblasts	Fetal_Thymus
K562_Leukemia	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Brain_Hippocampus_Middle	Sigmoid_Colon
CD3_Primary_Cells_Cord_BI	NHLF_Lung_Fibroblasts
IMR90_Cell_Line	Esophagus
Brain_Anterior_Caudate	CD3_Primary_Cells_Peripheral_UW
Fetal_Lung	Brain_Germinal_Matrix
Fetal_Stomach	Brain_Angular_Gyrus
CD19_Primary_Cells_Peripheral_UW	CD19_Primary_Cells_Cord_BI
NHLF_Lung_Fibroblasts	Brain_Inferior_Temporal_Lobe
