(New) Cell Type	(Old) Cell Type
Breast_vHMEC	Breast_vHMEC
Colon_Smooth_Muscle	iPS_DF_19.11_Cell_Line
Stomach_Mucosa	CD3_Primary_Cells_Peripheral_UW
Adipose_Nuclei	Fetal_Adrenal_Gland
Placenta_Amnion	Colonic_Mucosa
Duodenum_Smooth_Muscle	NHEK_Epidermal_Keratinocytes
NH_A_Astrocytes	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Stomach_Smooth_Muscle	Fetal_Muscle_Trunk
Colonic_Mucosa	Placenta_Amnion
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Skeletal_Muscle_Male	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
H1_Derived_Mesenchymal_Stem_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
ES_WA7_Cell_Line	Fetal_Stomach
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Rectal_Smooth_Muscle
Osteoblasts	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD15_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Thymus	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Brain_Germinal_Matrix	Skeletal_Muscle_Male
HepG2_Hepatocellular_Carcinoma	Fetal_Placenta
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Duodenum_Smooth_Muscle
CD19_Primary_Cells_Peripheral_UW	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Skeletal_Muscle_Female	HMEC_Mammary_Epithelial
Neurosphere_Cultured_Cells_Cortex_Derived	Stomach_Smooth_Muscle
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	IMR90_Cell_Line
NHEK_Epidermal_Keratinocytes	Muscle_Satellite_Cultured_Cells
Fetal_Brain_Male	Colon_Smooth_Muscle
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
Muscle_Satellite_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
Fetal_Brain_Female	Skeletal_Muscle_Female
Fetal_Muscle_Leg	Duodenum_Mucosa
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	NH_A_Astrocytes
Mobilized_CD34_Primary_Cells_Female	Fetal_Muscle_Leg
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Adipose_Nuclei
CD4_Naive_Primary_Cells	Osteoblasts
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Right_Ventricle
Fetal_Kidney	Stomach_Mucosa
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NHLF_Lung_Fibroblasts
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Rectal_Mucosa.Donor_29
Fetal_Intestine_Small	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Aorta	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD14_Primary_Cells	ES_I3_Cell_Line
Esophagus	Fetal_Intestine_Large
CD4_Memory_Primary_Cells	Fetal_Intestine_Small
HUVEC_Umbilical_Vein_Endothelial_Cells	Rectal_Mucosa.Donor_31
Rectal_Smooth_Muscle	HSMM_Skeletal_Muscle_Myoblasts
Monocytes_CD14pp_RO01746	Brain_Mid_Frontal_Lobe
Brain_Anterior_Caudate	Brain_Hippocampus_Middle
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Derived_Neuron_Cultured_Cells
Fetal_Lung	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD8_Memory_Primary_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
H9_Derived_Neuron_Cultured_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Brain_Hippocampus_Middle	CD34_Cultured_Cells
IMR90_Cell_Line	Thymus
Breast_Myoepithelial_Cells	K562_Leukemia
Fetal_Placenta	Brain_Germinal_Matrix
CD56_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	HUES6_Cell_Line
Fetal_Stomach	Small_Intestine
Brain_Substantia_Nigra	Neurosphere_Cultured_Cells_Cortex_Derived
Psoas_Muscle	ES_WA7_Cell_Line
Fetal_Heart	Brain_Cingulate_Gyrus
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	iPS_20b_Cell_Line
Brain_Mid_Frontal_Lobe	H9_Cell_Line
Fetal_Adrenal_Gland	NHDF_Ad_Adult_Dermal_Fibroblasts
Fetal_Muscle_Trunk	iPS_15b_Cell_Line
Brain_Inferior_Temporal_Lobe	Fetal_Thymus
CD3_Primary_Cells_Peripheral_UW	H1_Cell_Line
Duodenum_Mucosa	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Right_Ventricle	Brain_Substantia_Nigra
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD15_Primary_Cells
Fetal_Intestine_Large	Spleen
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Kidney
NHLF_Lung_Fibroblasts	Brain_Inferior_Temporal_Lobe
HUES6_Cell_Line	Fetal_Brain_Female
Lung	CD3_Primary_Cells_Cord_BI
CD34_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Brain_Angular_Gyrus	Brain_Angular_Gyrus
NHDF_Ad_Adult_Dermal_Fibroblasts	iPS_DF_6.9_Cell_Line
CD34_Primary_Cells	HeLa_S3_Cervical_Carcinoma
Brain_Cingulate_Gyrus	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Thymus	HUES64_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Mobilized_CD34_Primary_Cells_Female
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Monocytes_CD14pp_RO01746
CD4pp_CD25__Th_Primary_Cells	CD8_Memory_Primary_Cells
HUES48_Cell_Line	Brain_Anterior_Caudate
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Psoas_Muscle
Rectal_Mucosa.Donor_31	HUES48_Cell_Line
HUES64_Cell_Line	Mobilized_CD34_Primary_Cells_Male
CD8_Naive_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
iPS_DF_6.9_Cell_Line	iPS_18_Cell_Line
Rectal_Mucosa.Donor_29	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Sigmoid_Colon
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Esophagus
CD19_Primary_Cells_Cord_BI	CD14_Primary_Cells
iPS_20b_Cell_Line	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Lung
ES_I3_Cell_Line	Fetal_Brain_Male
Dnd41_TCell_Leukemia	Fetal_Heart
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD3_Primary_Cells_Cord_BI	4star
A549_EtOH_0.02pct_Lung_Carcinoma	Lung
HMEC_Mammary_Epithelial	Right_Atrium
iPS_15b_Cell_Line	CD4pp_CD25__Th_Primary_Cells
HeLa_S3_Cervical_Carcinoma	Ovary
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Pancreatic_Islets	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Breast_Myoepithelial_Cells
Gastric	CD34_Primary_Cells
H9_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
4star	Left_Ventricle
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Pancreatic_Islets
Left_Ventricle	CD56_Primary_Cells
iPS_18_Cell_Line	GM12878_Lymphoblastoid
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
H1_Cell_Line	A549_EtOH_0.02pct_Lung_Carcinoma
Adult_Liver	CD4_Memory_Primary_Cells
K562_Leukemia	CD4_Naive_Primary_Cells
Small_Intestine	CD19_Primary_Cells_Cord_BI
GM12878_Lymphoblastoid	CD8_Naive_Primary_Cells
Pancreas	HUVEC_Umbilical_Vein_Endothelial_Cells
Ovary	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Right_Atrium	Dnd41_TCell_Leukemia
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Adult_Liver
Sigmoid_Colon	Aorta
Spleen	Gastric
iPS_DF_19.11_Cell_Line	Pancreas
