(New) Cell Type	(Old) Cell Type
CD14_Primary_Cells	CD14_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Monocytes_CD14pp_RO01746
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD15_Primary_Cells
Dnd41_TCell_Leukemia	CD3_Primary_Cells_Peripheral_UW
HMEC_Mammary_Epithelial	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD56_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Fetal_Thymus
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Ovary	CD34_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Right_Ventricle	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Right_Atrium
Colonic_Mucosa	Thymus
Esophagus	Dnd41_TCell_Leukemia
CD4pp_CD25__Th_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Muscle_Trunk
Placenta_Amnion	CD4pp_CD25__Th_Primary_Cells
CD3_Primary_Cells_Peripheral_UW	CD8_Naive_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Adrenal_Gland
Breast_vHMEC	Placenta_Amnion
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Fetal_Muscle_Leg
CD19_Primary_Cells_Peripheral_UW	CD34_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Ovary
Lung	Breast_vHMEC
CD15_Primary_Cells	Fetal_Stomach
CD8_Naive_Primary_Cells	Sigmoid_Colon
