(New) Chromatin State	(Old) Chromatin State
Genic_enhancers	Enhancers
Enhancers	Flanking_Active_TSS
ZNF_genes_and_repeats	Active_TSS
Repressed_PolyComb	Weak_transcription
Heterochromatin	Transcr_at_gene_5_and_3
Transcr_at_gene_5_and_3	Genic_enhancers
Strong_transcription	Bivalent_Enhancer
Active_TSS	Weak_Repressed_PolyComb
Weak_transcription	Flanking_Bivalent_TSS_Enh
Flanking_Active_TSS	Repressed_PolyComb
Bivalent_Poised_TSS	Bivalent_Poised_TSS
Bivalent_Enhancer	Quiescent_Low
Weak_Repressed_PolyComb	ZNF_genes_and_repeats
Flanking_Bivalent_TSS_Enh	Strong_transcription
Quiescent_Low	Heterochromatin
