(New) Chromatin State	(Old) Chromatin State
Heterochromatin	Quiescent_Low
Strong_transcription	Heterochromatin
Repressed_PolyComb	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Transcr_at_gene_5_and_3
ZNF_genes_and_repeats	Repressed_PolyComb
Active_TSS	Bivalent_Poised_TSS
Genic_enhancers	Flanking_Bivalent_TSS_Enh
Enhancers	Weak_transcription
Transcr_at_gene_5_and_3	Enhancers
Flanking_Active_TSS	Bivalent_Enhancer
Bivalent_Poised_TSS	Genic_enhancers
Bivalent_Enhancer	Strong_transcription
Flanking_Bivalent_TSS_Enh	Active_TSS
Quiescent_Low	Flanking_Active_TSS
