(New) Chromatin State	(Old) Chromatin State
Quiescent_Low	Heterochromatin
Weak_Repressed_PolyComb	Quiescent_Low
Weak_transcription	Weak_transcription
Strong_transcription	Weak_Repressed_PolyComb
Heterochromatin	Enhancers
Repressed_PolyComb	Strong_transcription
ZNF_genes_and_repeats	Repressed_PolyComb
Enhancers	ZNF_genes_and_repeats
Genic_enhancers	Bivalent_Enhancer
Active_TSS	Genic_enhancers
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Flanking_Active_TSS	Active_TSS
Bivalent_Enhancer	Transcr_at_gene_5_and_3
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
