(New) Cell Type	(Old) Cell Type
CD15_Primary_Cells	CD15_Primary_Cells
Colonic_Mucosa	Peripheral_Blood_Mononuclear_Primary_Cells
Esophagus	CD34_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	CD19_Primary_Cells_Cord_BI
Gastric	Fetal_Adrenal_Gland
Fetal_Kidney	CD3_Primary_Cells_Cord_BI
Fetal_Brain_Male	CD4_Memory_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD8_Memory_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD56_Primary_Cells	CD8_Naive_Primary_Cells
iPS_DF_6.9_Cell_Line	Fetal_Intestine_Small
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Colonic_Mucosa
CD14_Primary_Cells	CD4_Naive_Primary_Cells
Rectal_Smooth_Muscle	Fetal_Stomach
Right_Ventricle	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Pancreas	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD8_Memory_Primary_Cells	Small_Intestine
HUES64_Cell_Line	Rectal_Smooth_Muscle
Placenta_Amnion	Placenta_Amnion
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Dnd41_TCell_Leukemia	HeLa_S3_Cervical_Carcinoma
Monocytes_CD14pp_RO01746	Thymus
CD3_Primary_Cells_Peripheral_UW	GM12878_Lymphoblastoid
Stomach_Mucosa	Fetal_Kidney
HeLa_S3_Cervical_Carcinoma	Brain_Germinal_Matrix
HUES48_Cell_Line	Brain_Mid_Frontal_Lobe
H9_Derived_Neuron_Cultured_Cells	Colon_Smooth_Muscle
CD19_Primary_Cells_Peripheral_UW	Fetal_Brain_Male
Mobilized_CD34_Primary_Cells_Female	NHLF_Lung_Fibroblasts
Brain_Mid_Frontal_Lobe	NH_A_Astrocytes
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Angular_Gyrus
Fetal_Thymus	Brain_Substantia_Nigra
ES_WA7_Cell_Line	Rectal_Mucosa.Donor_31
Mobilized_CD34_Primary_Cells_Male	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Pancreatic_Islets	Fetal_Brain_Female
CD4_Naive_Primary_Cells	Brain_Cingulate_Gyrus
H9_Cell_Line	Skeletal_Muscle_Male
HUVEC_Umbilical_Vein_Endothelial_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
iPS_20b_Cell_Line	Esophagus
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	HMEC_Mammary_Epithelial
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Brain_Inferior_Temporal_Lobe
Thymus	Duodenum_Smooth_Muscle
HUES6_Cell_Line	Rectal_Mucosa.Donor_29
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	K562_Leukemia
Fetal_Muscle_Trunk	NHEK_Epidermal_Keratinocytes
Brain_Angular_Gyrus	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Brain_Female	Stomach_Smooth_Muscle
Psoas_Muscle	Sigmoid_Colon
Fetal_Adrenal_Gland	Brain_Hippocampus_Middle
Fetal_Placenta	Muscle_Satellite_Cultured_Cells
Lung	H9_Cell_Line
Rectal_Mucosa.Donor_29	NHDF_Ad_Adult_Dermal_Fibroblasts
IMR90_Cell_Line	Right_Ventricle
CD34_Cultured_Cells	Spleen
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Anterior_Caudate
CD4_Memory_Primary_Cells	Gastric
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Lung
CD8_Naive_Primary_Cells	Psoas_Muscle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Skeletal_Muscle_Female
H1_Derived_Mesenchymal_Stem_Cells	iPS_DF_6.9_Cell_Line
Brain_Germinal_Matrix	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Duodenum_Mucosa
HepG2_Hepatocellular_Carcinoma	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Spleen	iPS_15b_Cell_Line
ES_I3_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Adipose_Nuclei
iPS_18_Cell_Line	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
iPS_15b_Cell_Line	Ovary
Breast_Myoepithelial_Cells	Aorta
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	HSMM_Skeletal_Muscle_Myoblasts
Stomach_Smooth_Muscle	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Stomach	Fetal_Heart
Peripheral_Blood_Mononuclear_Primary_Cells	HepG2_Hepatocellular_Carcinoma
Right_Atrium	Left_Ventricle
4star	IMR90_Cell_Line
Ovary	Fetal_Lung
NHLF_Lung_Fibroblasts	Osteoblasts
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Pancreas
Adult_Liver	H1_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Lung	ES_I3_Cell_Line
Colon_Smooth_Muscle	Neurosphere_Cultured_Cells_Cortex_Derived
Duodenum_Smooth_Muscle	H1_Derived_Mesenchymal_Stem_Cells
Sigmoid_Colon	Breast_vHMEC
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Heart	4star
Rectal_Mucosa.Donor_31	Fetal_Intestine_Large
Fetal_Intestine_Large	Fetal_Muscle_Trunk
Fetal_Muscle_Leg	Stomach_Mucosa
CD34_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
