(New) Cell Type	(Old) Cell Type
CD19_Primary_Cells_Cord_BI	CD19_Primary_Cells_Cord_BI
Duodenum_Smooth_Muscle	CD19_Primary_Cells_Peripheral_UW
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD34_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	CD8_Naive_Primary_Cells
CD34_Primary_Cells	CD4_Memory_Primary_Cells
Brain_Anterior_Caudate	CD14_Primary_Cells
ES_I3_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Brain_Female	CD8_Memory_Primary_Cells
HUES64_Cell_Line	Sigmoid_Colon
iPS_18_Cell_Line	CD56_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD4pp_CD25__Th_Primary_Cells
iPS_20b_Cell_Line	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Mobilized_CD34_Primary_Cells_Female
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD4_Naive_Primary_Cells
GM12878_Lymphoblastoid	Small_Intestine
NH_A_Astrocytes	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Brain_Angular_Gyrus	CD3_Primary_Cells_Peripheral_UW
NHLF_Lung_Fibroblasts	Fetal_Brain_Male
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD15_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	Breast_vHMEC
Right_Ventricle	Fetal_Kidney
Monocytes_CD14pp_RO01746	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Psoas_Muscle
Brain_Inferior_Temporal_Lobe	Brain_Angular_Gyrus
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Monocytes_CD14pp_RO01746
Rectal_Smooth_Muscle	Rectal_Mucosa.Donor_31
Brain_Cingulate_Gyrus	Lung
Adult_Liver	Fetal_Thymus
