(New) Cell Type	(Old) Cell Type
CD19_Primary_Cells_Cord_BI	CD19_Primary_Cells_Cord_BI
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25__Th_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD3_Primary_Cells_Cord_BI	Peripheral_Blood_Mononuclear_Primary_Cells
iPS_18_Cell_Line	CD8_Naive_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25__Th_Primary_Cells
CD34_Primary_Cells	Small_Intestine
GM12878_Lymphoblastoid	CD56_Primary_Cells
CD3_Primary_Cells_Peripheral_UW	CD3_Primary_Cells_Peripheral_UW
A549_EtOH_0.02pct_Lung_Carcinoma	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4_Naive_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD15_Primary_Cells
iPS_20b_Cell_Line	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Placenta_Amnion
Dnd41_TCell_Leukemia	CD8_Memory_Primary_Cells
CD8_Naive_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	CD4_Memory_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Rectal_Mucosa.Donor_29
Stomach_Mucosa	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD3_Primary_Cells_Cord_BI
Mobilized_CD34_Primary_Cells_Female	Osteoblasts
CD4_Memory_Primary_Cells	Stomach_Mucosa
Fetal_Heart	Rectal_Mucosa.Donor_31
Adult_Liver	Right_Ventricle
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD34_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD34_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Sigmoid_Colon
CD8_Memory_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
CD4_Naive_Primary_Cells	Rectal_Smooth_Muscle
NHDF_Ad_Adult_Dermal_Fibroblasts	Muscle_Satellite_Cultured_Cells
Breast_Myoepithelial_Cells	NHLF_Lung_Fibroblasts
CD15_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	Colonic_Mucosa
Fetal_Brain_Female	Psoas_Muscle
Fetal_Kidney	Monocytes_CD14pp_RO01746
HUES48_Cell_Line	NH_A_Astrocytes
Duodenum_Smooth_Muscle	Mobilized_CD34_Primary_Cells_Female
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Pancreas
Duodenum_Mucosa	Brain_Cingulate_Gyrus
Neurosphere_Cultured_Cells_Cortex_Derived	Mobilized_CD34_Primary_Cells_Male
HUES6_Cell_Line	Colon_Smooth_Muscle
Adipose_Nuclei	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Thymus
CD34_Cultured_Cells	Fetal_Muscle_Trunk
K562_Leukemia	Duodenum_Mucosa
HMEC_Mammary_Epithelial	Brain_Angular_Gyrus
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	HUVEC_Umbilical_Vein_Endothelial_Cells
CD14_Primary_Cells	Skeletal_Muscle_Female
Muscle_Satellite_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HUES64_Cell_Line	HSMM_Skeletal_Muscle_Myoblasts
ES_WA7_Cell_Line	Gastric
Osteoblasts	Fetal_Heart
HSMM_Skeletal_Muscle_Myoblasts	HepG2_Hepatocellular_Carcinoma
Rectal_Mucosa.Donor_29	Dnd41_TCell_Leukemia
CD56_Primary_Cells	Pancreatic_Islets
Breast_vHMEC	Aorta
Fetal_Brain_Male	HeLa_S3_Cervical_Carcinoma
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Brain_Substantia_Nigra
H9_Derived_Neuron_Cultured_Cells	Brain_Mid_Frontal_Lobe
NHEK_Epidermal_Keratinocytes	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Intestine_Small	Ovary
Fetal_Lung	CD14_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Left_Ventricle
Fetal_Muscle_Leg	Brain_Inferior_Temporal_Lobe
Small_Intestine	Fetal_Thymus
Monocytes_CD14pp_RO01746	Fetal_Kidney
Colon_Smooth_Muscle	Brain_Hippocampus_Middle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	HMEC_Mammary_Epithelial
Fetal_Muscle_Trunk	Fetal_Muscle_Leg
Skeletal_Muscle_Female	Fetal_Lung
Fetal_Intestine_Large	Brain_Anterior_Caudate
Pancreatic_Islets	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Rectal_Mucosa.Donor_31	K562_Leukemia
Fetal_Adrenal_Gland	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
H1_Cell_Line	Skeletal_Muscle_Male
HeLa_S3_Cervical_Carcinoma	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Mobilized_CD34_Primary_Cells_Male	NHEK_Epidermal_Keratinocytes
Brain_Germinal_Matrix	Fetal_Brain_Male
iPS_15b_Cell_Line	Stomach_Smooth_Muscle
NH_A_Astrocytes	A549_EtOH_0.02pct_Lung_Carcinoma
4star	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
ES_I3_Cell_Line	Breast_vHMEC
Rectal_Smooth_Muscle	Duodenum_Smooth_Muscle
Skeletal_Muscle_Male	Brain_Germinal_Matrix
NHLF_Lung_Fibroblasts	Right_Atrium
Fetal_Thymus	Neurosphere_Cultured_Cells_Cortex_Derived
Brain_Angular_Gyrus	ES_WA7_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
IMR90_Cell_Line	Esophagus
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	H9_Derived_Neuron_Cultured_Cells
Brain_Hippocampus_Middle	Fetal_Placenta
Brain_Cingulate_Gyrus	Fetal_Brain_Female
Brain_Inferior_Temporal_Lobe	Fetal_Adrenal_Gland
Brain_Anterior_Caudate	Adult_Liver
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Intestine_Large
Brain_Substantia_Nigra	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Brain_Mid_Frontal_Lobe	GM12878_Lymphoblastoid
Peripheral_Blood_Mononuclear_Primary_Cells	Adipose_Nuclei
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Spleen
Fetal_Stomach	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Stomach_Smooth_Muscle	iPS_DF_6.9_Cell_Line
Ovary	IMR90_Cell_Line
iPS_DF_19.11_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
H9_Cell_Line	ES_I3_Cell_Line
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Psoas_Muscle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Left_Ventricle	Lung
Right_Atrium	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Thymus	Breast_Myoepithelial_Cells
Right_Ventricle	iPS_15b_Cell_Line
iPS_DF_6.9_Cell_Line	4star
Fetal_Placenta	Fetal_Intestine_Small
Sigmoid_Colon	Fetal_Stomach
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
Colonic_Mucosa	iPS_20b_Cell_Line
Placenta_Amnion	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Gastric	H1_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	HUES64_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	H9_Cell_Line
H1_Derived_Mesenchymal_Stem_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Pancreas	iPS_18_Cell_Line
Esophagus	HUES6_Cell_Line
Lung	HUES48_Cell_Line
Spleen	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Aorta	iPS_DF_19.11_Cell_Line
