(New) Cell Type	(Old) Cell Type
CD19_Primary_Cells_Peripheral_UW	CD19_Primary_Cells_Peripheral_UW
CD56_Primary_Cells	CD56_Primary_Cells
Duodenum_Smooth_Muscle	CD4_Naive_Primary_Cells
Fetal_Placenta	CD8_Memory_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
Esophagus	Peripheral_Blood_Mononuclear_Primary_Cells
Sigmoid_Colon	CD8_Naive_Primary_Cells
Monocytes_CD14pp_RO01746	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Brain_Hippocampus_Middle	CD4_Memory_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
K562_Leukemia	CD19_Primary_Cells_Cord_BI
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
4star	CD14_Primary_Cells
Skeletal_Muscle_Male	CD4pp_CD25__Th_Primary_Cells
Breast_Myoepithelial_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Left_Ventricle	Thymus
Skeletal_Muscle_Female	GM12878_Lymphoblastoid
Stomach_Smooth_Muscle	CD3_Primary_Cells_Cord_BI
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Thymus
Right_Ventricle	Sigmoid_Colon
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Monocytes_CD14pp_RO01746
Colonic_Mucosa	Small_Intestine
CD14_Primary_Cells	Stomach_Mucosa
Muscle_Satellite_Cultured_Cells	CD15_Primary_Cells
Fetal_Intestine_Small	Rectal_Mucosa.Donor_31
Fetal_Brain_Female	CD34_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Placenta_Amnion
CD34_Cultured_Cells	Colon_Smooth_Muscle
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Fetal_Intestine_Large
Fetal_Thymus	Colonic_Mucosa
Fetal_Stomach	HUVEC_Umbilical_Vein_Endothelial_Cells
H1_Derived_Mesenchymal_Stem_Cells	Rectal_Mucosa.Donor_29
HMEC_Mammary_Epithelial	Esophagus
iPS_DF_19.11_Cell_Line	Fetal_Intestine_Small
Adipose_Nuclei	Mobilized_CD34_Primary_Cells_Female
Lung	NHLF_Lung_Fibroblasts
Pancreas	Fetal_Muscle_Leg
Breast_vHMEC	Duodenum_Mucosa
IMR90_Cell_Line	Fetal_Adrenal_Gland
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Breast_vHMEC
Fetal_Muscle_Trunk	Duodenum_Smooth_Muscle
Ovary	Adult_Liver
Fetal_Intestine_Large	CD34_Primary_Cells
NHEK_Epidermal_Keratinocytes	Fetal_Muscle_Trunk
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Placenta
CD4_Naive_Primary_Cells	Left_Ventricle
Duodenum_Mucosa	Right_Atrium
CD8_Memory_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
Peripheral_Blood_Mononuclear_Primary_Cells	Rectal_Smooth_Muscle
H9_Derived_Neuron_Cultured_Cells	HMEC_Mammary_Epithelial
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	HSMM_Skeletal_Muscle_Myoblasts
CD15_Primary_Cells	NHEK_Epidermal_Keratinocytes
CD3_Primary_Cells_Peripheral_UW	Psoas_Muscle
CD4pp_CD25__Th_Primary_Cells	Fetal_Stomach
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	IMR90_Cell_Line
Thymus	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD34_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Spleen	NH_A_Astrocytes
Gastric	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Rectal_Mucosa.Donor_29	Muscle_Satellite_Cultured_Cells
Brain_Germinal_Matrix	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD4_Memory_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Brain_Mid_Frontal_Lobe	Spleen
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Osteoblasts
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Substantia_Nigra
GM12878_Lymphoblastoid	NHDF_Ad_Adult_Dermal_Fibroblasts
Brain_Inferior_Temporal_Lobe	iPS_18_Cell_Line
NH_A_Astrocytes	Ovary
Placenta_Amnion	Skeletal_Muscle_Female
Neurosphere_Cultured_Cells_Cortex_Derived	Fetal_Heart
Brain_Substantia_Nigra	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Rectal_Mucosa.Donor_31	Brain_Angular_Gyrus
H1_Cell_Line	Neurosphere_Cultured_Cells_Cortex_Derived
Right_Atrium	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Cingulate_Gyrus	Brain_Mid_Frontal_Lobe
Stomach_Mucosa	Brain_Inferior_Temporal_Lobe
Psoas_Muscle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
iPS_DF_6.9_Cell_Line	H1_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Adrenal_Gland	Brain_Anterior_Caudate
CD19_Primary_Cells_Cord_BI	iPS_DF_6.9_Cell_Line
CD8_Naive_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	iPS_DF_19.11_Cell_Line
Fetal_Muscle_Leg	Brain_Cingulate_Gyrus
Aorta	H9_Derived_Neuron_Cultured_Cells
Brain_Anterior_Caudate	HUES64_Cell_Line
H9_Derived_Neuronal_Progenitor_Cultured_Cells	HUES6_Cell_Line
Brain_Angular_Gyrus	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
CD3_Primary_Cells_Cord_BI	A549_EtOH_0.02pct_Lung_Carcinoma
Colon_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Rectal_Smooth_Muscle	K562_Leukemia
Mobilized_CD34_Primary_Cells_Female	4star
Fetal_Lung	Brain_Germinal_Matrix
Mobilized_CD34_Primary_Cells_Male	Right_Ventricle
NHLF_Lung_Fibroblasts	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
Adult_Liver	Fetal_Brain_Female
Small_Intestine	Brain_Hippocampus_Middle
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Adipose_Nuclei
Osteoblasts	Fetal_Lung
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	Lung
HSMM_Skeletal_Muscle_Myoblasts	Aorta
Fetal_Heart	HUES48_Cell_Line
Fetal_Brain_Male	iPS_20b_Cell_Line
NHDF_Ad_Adult_Dermal_Fibroblasts	Skeletal_Muscle_Male
Dnd41_TCell_Leukemia	Dnd41_TCell_Leukemia
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Brain_Male
HUES6_Cell_Line	Breast_Myoepithelial_Cells
ES_WA7_Cell_Line	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
H9_Cell_Line	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	ES_WA7_Cell_Line
A549_EtOH_0.02pct_Lung_Carcinoma	Pancreatic_Islets
Fetal_Kidney	Stomach_Smooth_Muscle
iPS_15b_Cell_Line	H9_Cell_Line
HeLa_S3_Cervical_Carcinoma	ES_I3_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Fetal_Kidney
ES_I3_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Gastric
iPS_18_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
iPS_20b_Cell_Line	Pancreas
HUES48_Cell_Line	iPS_15b_Cell_Line
Pancreatic_Islets	HepG2_Hepatocellular_Carcinoma
HUES64_Cell_Line	HeLa_S3_Cervical_Carcinoma
