(New) Chromatin State	(Old) Chromatin State
Genic_enhancers	Transcr_at_gene_5_and_3
Repressed_PolyComb	Genic_enhancers
Heterochromatin	Strong_transcription
ZNF_genes_and_repeats	Weak_transcription
Enhancers	Enhancers
Strong_transcription	Flanking_Active_TSS
Active_TSS	Active_TSS
Transcr_at_gene_5_and_3	ZNF_genes_and_repeats
Weak_transcription	Bivalent_Enhancer
Flanking_Active_TSS	Flanking_Bivalent_TSS_Enh
Bivalent_Poised_TSS	Repressed_PolyComb
Bivalent_Enhancer	Bivalent_Poised_TSS
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Flanking_Bivalent_TSS_Enh	Heterochromatin
Quiescent_Low	Quiescent_Low
