(New) Cell Type	(Old) Cell Type
CD34_Primary_Cells	CD34_Primary_Cells
NHLF_Lung_Fibroblasts	Small_Intestine
ES_I3_Cell_Line	CD4_Naive_Primary_Cells
Duodenum_Smooth_Muscle	CD8_Naive_Primary_Cells
Rectal_Mucosa.Donor_31	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Brain_Germinal_Matrix	Mobilized_CD34_Primary_Cells_Male
Dnd41_TCell_Leukemia	CD8_Memory_Primary_Cells
Stomach_Smooth_Muscle	CD3_Primary_Cells_Cord_BI
iPS_15b_Cell_Line	CD4pp_CD25pp_CD127__Treg_Primary_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD4_Memory_Primary_Cells
Colon_Smooth_Muscle	CD34_Cultured_Cells
Breast_vHMEC	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD19_Primary_Cells_Cord_BI
HSMM_Skeletal_Muscle_Myoblasts	Colonic_Mucosa
Fetal_Brain_Female	Breast_Myoepithelial_Cells
NH_A_Astrocytes	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Inferior_Temporal_Lobe	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Brain_Anterior_Caudate	Monocytes_CD14pp_RO01746
Peripheral_Blood_Mononuclear_Primary_Cells	Fetal_Muscle_Leg
Rectal_Mucosa.Donor_29	Mobilized_CD34_Primary_Cells_Female
CD19_Primary_Cells_Cord_BI	Fetal_Intestine_Large
Brain_Substantia_Nigra	H9_Derived_Neuron_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Fetal_Adrenal_Gland
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Peripheral_Blood_Mononuclear_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Fetal_Muscle_Trunk
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Dnd41_TCell_Leukemia
HMEC_Mammary_Epithelial	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Cingulate_Gyrus	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD56_Primary_Cells
NHEK_Epidermal_Keratinocytes	Adipose_Nuclei
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
CD3_Primary_Cells_Cord_BI	CD3_Primary_Cells_Peripheral_UW
