(New) Cell Type	(Old) Cell Type
CD3_Primary_Cells_Cord_BI	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Brain_Germinal_Matrix	Breast_Myoepithelial_Cells
Fetal_Thymus	Fetal_Placenta
H9_Cell_Line	CD3_Primary_Cells_Cord_BI
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
H1_Derived_Neuronal_Progenitor_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Brain_Cingulate_Gyrus	HUES6_Cell_Line
Skeletal_Muscle_Female	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD3_Primary_Cells_Peripheral_UW	IMR90_Cell_Line
CD15_Primary_Cells	HepG2_Hepatocellular_Carcinoma
CD19_Primary_Cells_Cord_BI	Adult_Liver
Brain_Substantia_Nigra	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Spleen	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Inferior_Temporal_Lobe	HUVEC_Umbilical_Vein_Endothelial_Cells
iPS_DF_19.11_Cell_Line	CD56_Primary_Cells
Duodenum_Smooth_Muscle	CD15_Primary_Cells
Fetal_Muscle_Trunk	Monocytes_CD14pp_RO01746
Skeletal_Muscle_Male	Adipose_Nuclei
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Intestine_Small
Fetal_Brain_Female	Breast_vHMEC
Right_Atrium	HUES64_Cell_Line
Psoas_Muscle	Duodenum_Mucosa
NHLF_Lung_Fibroblasts	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
K562_Leukemia	Fetal_Muscle_Leg
CD19_Primary_Cells_Peripheral_UW	4star
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Ovary	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Stomach_Smooth_Muscle	Brain_Anterior_Caudate
CD4pp_CD25__Th_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Esophagus	iPS_20b_Cell_Line
Sigmoid_Colon	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
NH_A_Astrocytes	CD4pp_CD25pp_CD127__Treg_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	CD19_Primary_Cells_Peripheral_UW
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Fetal_Brain_Female
Rectal_Mucosa.Donor_31	HUES48_Cell_Line
Dnd41_TCell_Leukemia	Brain_Hippocampus_Middle
Fetal_Brain_Male	Fetal_Muscle_Trunk
Pancreas	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Brain_Anterior_Caudate	Brain_Cingulate_Gyrus
H1_Cell_Line	Brain_Inferior_Temporal_Lobe
Small_Intestine	CD34_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	NHEK_Epidermal_Keratinocytes
Fetal_Lung	Fetal_Adrenal_Gland
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD4pp_CD25__Th_Primary_Cells
Brain_Angular_Gyrus	CD19_Primary_Cells_Cord_BI
iPS_15b_Cell_Line	Brain_Germinal_Matrix
HeLa_S3_Cervical_Carcinoma	Aorta
Fetal_Heart	Dnd41_TCell_Leukemia
Monocytes_CD14pp_RO01746	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Pancreatic_Islets	Psoas_Muscle
Brain_Hippocampus_Middle	Brain_Angular_Gyrus
Stomach_Mucosa	CD34_Cultured_Cells
CD34_Primary_Cells	H1_Cell_Line
HSMM_Skeletal_Muscle_Myoblasts	Brain_Substantia_Nigra
Fetal_Stomach	Duodenum_Smooth_Muscle
Brain_Mid_Frontal_Lobe	Brain_Mid_Frontal_Lobe
CD56_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
Rectal_Mucosa.Donor_29	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Osteoblasts	Fetal_Stomach
Duodenum_Mucosa	iPS_18_Cell_Line
Peripheral_Blood_Mononuclear_Primary_Cells	Pancreatic_Islets
ES_WA7_Cell_Line	Mobilized_CD34_Primary_Cells_Female
CD8_Naive_Primary_Cells	Left_Ventricle
CD34_Cultured_Cells	HMEC_Mammary_Epithelial
Right_Ventricle	Sigmoid_Colon
Fetal_Intestine_Large	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
Left_Ventricle	Pancreas
Colon_Smooth_Muscle	Esophagus
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD14_Primary_Cells
Fetal_Kidney	Fetal_Intestine_Large
HUES48_Cell_Line	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Adult_Liver	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
iPS_20b_Cell_Line	Fetal_Lung
Muscle_Satellite_Cultured_Cells	ES_I3_Cell_Line
iPS_18_Cell_Line	Muscle_Satellite_Cultured_Cells
iPS_DF_6.9_Cell_Line	Fetal_Thymus
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Osteoblasts
HepG2_Hepatocellular_Carcinoma	iPS_15b_Cell_Line
Mobilized_CD34_Primary_Cells_Female	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Gastric
Thymus	Peripheral_Blood_Mononuclear_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	ES_WA7_Cell_Line
Rectal_Smooth_Muscle	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	K562_Leukemia
H9_Derived_Neuron_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
GM12878_Lymphoblastoid	NHDF_Ad_Adult_Dermal_Fibroblasts
H9_Derived_Neuronal_Progenitor_Cultured_Cells	NHLF_Lung_Fibroblasts
4star	H9_Cell_Line
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	GM12878_Lymphoblastoid
HMEC_Mammary_Epithelial	Fetal_Brain_Male
Neurosphere_Cultured_Cells_Cortex_Derived	Stomach_Smooth_Muscle
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	HeLa_S3_Cervical_Carcinoma
Fetal_Intestine_Small	Rectal_Mucosa.Donor_31
CD8_Memory_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
HUES64_Cell_Line	Right_Ventricle
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD4_Memory_Primary_Cells	HSMM_Skeletal_Muscle_Myoblasts
Adipose_Nuclei	Rectal_Mucosa.Donor_29
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD4_Naive_Primary_Cells
CD4_Naive_Primary_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Colonic_Mucosa
Fetal_Muscle_Leg	Skeletal_Muscle_Female
Breast_Myoepithelial_Cells	Right_Atrium
Colonic_Mucosa	Skeletal_Muscle_Male
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NH_A_Astrocytes
Placenta_Amnion	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Breast_vHMEC	Ovary
ES_I3_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
CD14_Primary_Cells	iPS_DF_6.9_Cell_Line
NHEK_Epidermal_Keratinocytes	CD4_Memory_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	iPS_DF_19.11_Cell_Line
Mobilized_CD34_Primary_Cells_Male	CD8_Naive_Primary_Cells
Fetal_Placenta	Thymus
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Rectal_Smooth_Muscle
Gastric	Spleen
Fetal_Adrenal_Gland	Placenta_Amnion
Aorta	Colon_Smooth_Muscle
HUES6_Cell_Line	CD8_Memory_Primary_Cells
IMR90_Cell_Line	H9_Derived_Neuron_Cultured_Cells
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Kidney
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Fetal_Heart
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Lung
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Small_Intestine
Lung	Stomach_Mucosa
