(New) Cell Type	(Old) Cell Type
CD3_Primary_Cells_Cord_BI	CD3_Primary_Cells_Cord_BI
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Rectal_Mucosa.Donor_31	CD8_Memory_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD8_Naive_Primary_Cells
Adipose_Nuclei	CD4_Naive_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4_Memory_Primary_Cells
Fetal_Placenta	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
4star	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Duodenum_Mucosa	Colonic_Mucosa
Fetal_Intestine_Large	CD3_Primary_Cells_Peripheral_UW
Rectal_Mucosa.Donor_29	CD56_Primary_Cells
H1_Cell_Line	Monocytes_CD14pp_RO01746
Skeletal_Muscle_Female	CD4pp_CD25__Th_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Thymus
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Small_Intestine
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Breast_Myoepithelial_Cells	Rectal_Smooth_Muscle
Fetal_Thymus	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Fetal_Muscle_Trunk	CD19_Primary_Cells_Cord_BI
Osteoblasts	CD34_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD14_Primary_Cells
Skeletal_Muscle_Male	Fetal_Kidney
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Mid_Frontal_Lobe
CD19_Primary_Cells_Cord_BI	Brain_Angular_Gyrus
CD4pp_CD25__Th_Primary_Cells	Rectal_Mucosa.Donor_31
HMEC_Mammary_Epithelial	Esophagus
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Colon_Smooth_Muscle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Brain_Substantia_Nigra
Duodenum_Smooth_Muscle	Brain_Cingulate_Gyrus
HepG2_Hepatocellular_Carcinoma	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Sigmoid_Colon
Fetal_Muscle_Leg	NHLF_Lung_Fibroblasts
iPS_18_Cell_Line	Skeletal_Muscle_Male
Adult_Liver	Duodenum_Smooth_Muscle
Brain_Hippocampus_Middle	CD15_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	NH_A_Astrocytes
GM12878_Lymphoblastoid	Brain_Inferior_Temporal_Lobe
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Stomach_Smooth_Muscle
CD56_Primary_Cells	Aorta
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Gastric
IMR90_Cell_Line	Psoas_Muscle
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Right_Ventricle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Skeletal_Muscle_Female
HUES6_Cell_Line	Brain_Hippocampus_Middle
CD34_Cultured_Cells	Brain_Anterior_Caudate
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Adrenal_Gland	Lung
K562_Leukemia	NHEK_Epidermal_Keratinocytes
iPS_20b_Cell_Line	GM12878_Lymphoblastoid
HUES48_Cell_Line	HMEC_Mammary_Epithelial
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Spleen
Lung	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Stomach_Smooth_Muscle	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Lung	Muscle_Satellite_Cultured_Cells
Brain_Substantia_Nigra	Ovary
HUES64_Cell_Line	Rectal_Mucosa.Donor_29
Brain_Anterior_Caudate	Left_Ventricle
CD19_Primary_Cells_Peripheral_UW	Adipose_Nuclei
Mobilized_CD34_Primary_Cells_Male	Pancreas
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
iPS_15b_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Brain_Inferior_Temporal_Lobe	HSMM_Skeletal_Muscle_Myoblasts
Brain_Germinal_Matrix	Fetal_Lung
NHDF_Ad_Adult_Dermal_Fibroblasts	Duodenum_Mucosa
CD3_Primary_Cells_Peripheral_UW	H1_Derived_Mesenchymal_Stem_Cells
Brain_Cingulate_Gyrus	Breast_vHMEC
Left_Ventricle	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Brain_Female	Fetal_Brain_Male
Monocytes_CD14pp_RO01746	H1_BMP4_Derived_Trophoblast_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Brain_Female
Mobilized_CD34_Primary_Cells_Female	Brain_Germinal_Matrix
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
NHEK_Epidermal_Keratinocytes	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Intestine_Small	Placenta_Amnion
CD15_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
CD14_Primary_Cells	HeLa_S3_Cervical_Carcinoma
Peripheral_Blood_Mononuclear_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
Muscle_Satellite_Cultured_Cells	H9_Cell_Line
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Thymus
Colon_Smooth_Muscle	K562_Leukemia
Breast_vHMEC	Dnd41_TCell_Leukemia
Fetal_Stomach	HUVEC_Umbilical_Vein_Endothelial_Cells
ES_I3_Cell_Line	Adult_Liver
CD34_Primary_Cells	HepG2_Hepatocellular_Carcinoma
