(New) Chromatin State	(Old) Chromatin State
ZNF_genes_and_repeats	ZNF_genes_and_repeats
Enhancers	Heterochromatin
Heterochromatin	Weak_transcription
Genic_enhancers	Strong_transcription
Repressed_PolyComb	Flanking_Bivalent_TSS_Enh
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Strong_transcription	Genic_enhancers
Active_TSS	Bivalent_Poised_TSS
Weak_transcription	Bivalent_Enhancer
Flanking_Active_TSS	Repressed_PolyComb
Bivalent_Enhancer	Active_TSS
Bivalent_Poised_TSS	Flanking_Active_TSS
Weak_Repressed_PolyComb	Enhancers
Flanking_Bivalent_TSS_Enh	Weak_Repressed_PolyComb
Quiescent_Low	Quiescent_Low
