(New) Chromatin State	(Old) Chromatin State
Flanking_Active_TSS	Active_TSS
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Enhancers	Transcr_at_gene_5_and_3
Genic_enhancers	Enhancers
ZNF_genes_and_repeats	Bivalent_Poised_TSS
Bivalent_Enhancer	Flanking_Bivalent_TSS_Enh
Active_TSS	Bivalent_Enhancer
Bivalent_Poised_TSS	Genic_enhancers
Repressed_PolyComb	Weak_transcription
Flanking_Bivalent_TSS_Enh	Repressed_PolyComb
Heterochromatin	ZNF_genes_and_repeats
Strong_transcription	Weak_Repressed_PolyComb
Weak_transcription	Strong_transcription
Weak_Repressed_PolyComb	Quiescent_Low
Quiescent_Low	Heterochromatin
