(New) Cell Type	(Old) Cell Type
CD3_Primary_Cells_Peripheral_UW	CD3_Primary_Cells_Peripheral_UW
Fetal_Intestine_Large	Skeletal_Muscle_Male
CD34_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Brain_Angular_Gyrus	H9_Derived_Neuron_Cultured_Cells
Brain_Cingulate_Gyrus	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD34_Primary_Cells	Adipose_Nuclei
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	H1_Derived_Mesenchymal_Stem_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Small_Intestine
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	NHEK_Epidermal_Keratinocytes
NHLF_Lung_Fibroblasts	Fetal_Placenta
Rectal_Mucosa.Donor_31	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD56_Primary_Cells	Sigmoid_Colon
Brain_Inferior_Temporal_Lobe	Skeletal_Muscle_Female
Peripheral_Blood_Mononuclear_Primary_Cells	NH_A_Astrocytes
CD19_Primary_Cells_Cord_BI	Fetal_Intestine_Large
Duodenum_Mucosa	Peripheral_Blood_Mononuclear_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	K562_Leukemia
HSMM_Skeletal_Muscle_Myoblasts	NHLF_Lung_Fibroblasts
Brain_Mid_Frontal_Lobe	CD3_Primary_Cells_Cord_BI
H9_Derived_Neuron_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Right_Ventricle	CD15_Primary_Cells
Fetal_Heart	CD34_Cultured_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	CD19_Primary_Cells_Cord_BI
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD8_Naive_Primary_Cells	HeLa_S3_Cervical_Carcinoma
Psoas_Muscle	Fetal_Intestine_Small
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Duodenum_Mucosa
Left_Ventricle	HSMM_Skeletal_Muscle_Myoblasts
Rectal_Mucosa.Donor_29	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Stomach_Mucosa
Brain_Substantia_Nigra	Left_Ventricle
CD3_Primary_Cells_Cord_BI	CD4pp_CD25__Th_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD34_Primary_Cells
CD8_Memory_Primary_Cells	Dnd41_TCell_Leukemia
Rectal_Smooth_Muscle	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD4_Memory_Primary_Cells	Aorta
Brain_Hippocampus_Middle	CD56_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Intestine_Small	Brain_Hippocampus_Middle
Muscle_Satellite_Cultured_Cells	Brain_Germinal_Matrix
HMEC_Mammary_Epithelial	Fetal_Heart
NHEK_Epidermal_Keratinocytes	HepG2_Hepatocellular_Carcinoma
CD19_Primary_Cells_Peripheral_UW	Brain_Cingulate_Gyrus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Duodenum_Smooth_Muscle
Brain_Anterior_Caudate	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD15_Primary_Cells	GM12878_Lymphoblastoid
CD4pp_CD25__Th_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
GM12878_Lymphoblastoid	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Brain_Female	Thymus
Skeletal_Muscle_Female	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HeLa_S3_Cervical_Carcinoma	Brain_Inferior_Temporal_Lobe
IMR90_Cell_Line	Fetal_Stomach
