(New) Cell Type	(Old) Cell Type
CD4_Naive_Primary_Cells	CD4_Naive_Primary_Cells
CD8_Memory_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4_Memory_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
iPS_DF_19.11_Cell_Line	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
iPS_DF_6.9_Cell_Line	CD4_Memory_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	CD8_Memory_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD8_Naive_Primary_Cells
Fetal_Placenta	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Lung	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Colonic_Mucosa	CD3_Primary_Cells_Cord_BI
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Fetal_Muscle_Trunk	CD56_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Colon_Smooth_Muscle
CD34_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
Fetal_Heart	Mobilized_CD34_Primary_Cells_Female
CD8_Naive_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Skeletal_Muscle_Male	CD34_Primary_Cells
CD14_Primary_Cells	CD19_Primary_Cells_Cord_BI
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Duodenum_Mucosa
HepG2_Hepatocellular_Carcinoma	Duodenum_Smooth_Muscle
Fetal_Intestine_Small	Mobilized_CD34_Primary_Cells_Male
H1_Cell_Line	Rectal_Mucosa.Donor_29
Skeletal_Muscle_Female	Rectal_Smooth_Muscle
CD4pp_CD25__Th_Primary_Cells	Brain_Substantia_Nigra
Right_Atrium	CD34_Cultured_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Brain_Anterior_Caudate
CD19_Primary_Cells_Cord_BI	Adult_Liver
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Esophagus
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Colonic_Mucosa
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Brain_Angular_Gyrus
Breast_Myoepithelial_Cells	Rectal_Mucosa.Donor_31
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Brain_Hippocampus_Middle
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Spleen
Fetal_Intestine_Large	Small_Intestine
Pancreas	Fetal_Thymus
Fetal_Thymus	Brain_Mid_Frontal_Lobe
Stomach_Smooth_Muscle	Placenta_Amnion
Mobilized_CD34_Primary_Cells_Male	Psoas_Muscle
Gastric	Brain_Inferior_Temporal_Lobe
GM12878_Lymphoblastoid	Adipose_Nuclei
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Sigmoid_Colon
Fetal_Stomach	GM12878_Lymphoblastoid
IMR90_Cell_Line	Brain_Cingulate_Gyrus
NHDF_Ad_Adult_Dermal_Fibroblasts	Skeletal_Muscle_Female
Duodenum_Mucosa	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Adipose_Nuclei	Ovary
Placenta_Amnion	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Stomach_Mucosa	iPS_DF_19.11_Cell_Line
Brain_Mid_Frontal_Lobe	Left_Ventricle
Rectal_Mucosa.Donor_29	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Muscle_Leg	Stomach_Mucosa
4star	CD14_Primary_Cells
CD3_Primary_Cells_Cord_BI	Thymus
Rectal_Mucosa.Donor_31	Stomach_Smooth_Muscle
Brain_Substantia_Nigra	H9_Cell_Line
Peripheral_Blood_Mononuclear_Primary_Cells	HMEC_Mammary_Epithelial
Lung	NHEK_Epidermal_Keratinocytes
Brain_Inferior_Temporal_Lobe	Fetal_Heart
HUES6_Cell_Line	iPS_15b_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	HUES6_Cell_Line
Right_Ventricle	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	iPS_DF_6.9_Cell_Line
CD34_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Brain_Angular_Gyrus	Skeletal_Muscle_Male
Esophagus	Fetal_Intestine_Small
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Intestine_Large
Fetal_Adrenal_Gland	NH_A_Astrocytes
NHEK_Epidermal_Keratinocytes	Monocytes_CD14pp_RO01746
ES_I3_Cell_Line	HUVEC_Umbilical_Vein_Endothelial_Cells
Brain_Cingulate_Gyrus	4star
Brain_Hippocampus_Middle	H1_Cell_Line
Aorta	HUES64_Cell_Line
CD3_Primary_Cells_Peripheral_UW	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
CD15_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
CD56_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	NHDF_Ad_Adult_Dermal_Fibroblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	NHLF_Lung_Fibroblasts
Brain_Anterior_Caudate	CD15_Primary_Cells
Brain_Germinal_Matrix	Right_Ventricle
Adult_Liver	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Monocytes_CD14pp_RO01746	Neurosphere_Cultured_Cells_Cortex_Derived
Thymus	ES_I3_Cell_Line
Sigmoid_Colon	Brain_Germinal_Matrix
Ovary	Breast_Myoepithelial_Cells
Fetal_Kidney	HUES48_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	iPS_18_Cell_Line
Spleen	iPS_20b_Cell_Line
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Brain_Female
Fetal_Brain_Female	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Muscle_Satellite_Cultured_Cells	Fetal_Muscle_Leg
Rectal_Smooth_Muscle	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
NH_A_Astrocytes	Muscle_Satellite_Cultured_Cells
H9_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	ES_WA7_Cell_Line
ES_WA7_Cell_Line	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Duodenum_Smooth_Muscle	Gastric
CD19_Primary_Cells_Peripheral_UW	Fetal_Placenta
HSMM_Skeletal_Muscle_Myoblasts	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Left_Ventricle	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Brain_Male	H9_Derived_Neuron_Cultured_Cells
Colon_Smooth_Muscle	Breast_vHMEC
NHLF_Lung_Fibroblasts	Lung
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
HMEC_Mammary_Epithelial	H9_Derived_Neuronal_Progenitor_Cultured_Cells
K562_Leukemia	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Psoas_Muscle	IMR90_Cell_Line
Osteoblasts	Osteoblasts
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Adrenal_Gland
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Brain_Male
iPS_15b_Cell_Line	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Fetal_Lung
iPS_18_Cell_Line	Aorta
Small_Intestine	Fetal_Kidney
Dnd41_TCell_Leukemia	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Stomach
iPS_20b_Cell_Line	Right_Atrium
Breast_vHMEC	Pancreatic_Islets
HUES48_Cell_Line	Fetal_Muscle_Trunk
A549_EtOH_0.02pct_Lung_Carcinoma	K562_Leukemia
HeLa_S3_Cervical_Carcinoma	HeLa_S3_Cervical_Carcinoma
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Dnd41_TCell_Leukemia
HUES64_Cell_Line	HepG2_Hepatocellular_Carcinoma
Pancreatic_Islets	Pancreas
