(New) Cell Type	(Old) Cell Type
CD4_Naive_Primary_Cells	CD4_Naive_Primary_Cells
CD4_Memory_Primary_Cells	CD8_Memory_Primary_Cells
CD8_Memory_Primary_Cells	Stomach_Mucosa
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4_Memory_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Colon_Smooth_Muscle
ES_WA7_Cell_Line	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	Rectal_Smooth_Muscle
iPS_20b_Cell_Line	CD8_Naive_Primary_Cells
Dnd41_TCell_Leukemia	HUVEC_Umbilical_Vein_Endothelial_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Skeletal_Muscle_Female
HUES64_Cell_Line	Brain_Hippocampus_Middle
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Placenta_Amnion
Fetal_Heart	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
K562_Leukemia	Brain_Mid_Frontal_Lobe
Colon_Smooth_Muscle	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD8_Naive_Primary_Cells	Duodenum_Smooth_Muscle
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Brain_Substantia_Nigra
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Angular_Gyrus
GM12878_Lymphoblastoid	Muscle_Satellite_Cultured_Cells
CD4pp_CD25__Th_Primary_Cells	Brain_Cingulate_Gyrus
CD3_Primary_Cells_Cord_BI	Brain_Inferior_Temporal_Lobe
Fetal_Brain_Male	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Right_Ventricle
CD19_Primary_Cells_Cord_BI	Fetal_Heart
Mobilized_CD34_Primary_Cells_Female	Rectal_Mucosa.Donor_29
Stomach_Mucosa	Psoas_Muscle
A549_EtOH_0.02pct_Lung_Carcinoma	Brain_Anterior_Caudate
CD15_Primary_Cells	Small_Intestine
HUES48_Cell_Line	Left_Ventricle
Small_Intestine	CD4pp_CD25__Th_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Mucosa.Donor_31
CD3_Primary_Cells_Peripheral_UW	Colonic_Mucosa
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Adipose_Nuclei
Osteoblasts	Adult_Liver
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Skeletal_Muscle_Male
Brain_Angular_Gyrus	NH_A_Astrocytes
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Gastric
iPS_18_Cell_Line	Duodenum_Mucosa
Fetal_Kidney	Pancreatic_Islets
Skeletal_Muscle_Female	Sigmoid_Colon
Mobilized_CD34_Primary_Cells_Male	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Adult_Liver	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	CD3_Primary_Cells_Peripheral_UW
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Ovary
Fetal_Lung	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Monocytes_CD14pp_RO01746	Breast_vHMEC
HUVEC_Umbilical_Vein_Endothelial_Cells	Right_Atrium
CD34_Primary_Cells	Fetal_Brain_Male
CD14_Primary_Cells	Fetal_Kidney
Rectal_Mucosa.Donor_31	CD3_Primary_Cells_Cord_BI
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Pancreas
CD34_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Right_Ventricle	Osteoblasts
Neurosphere_Cultured_Cells_Cortex_Derived	ES_WA7_Cell_Line
Breast_Myoepithelial_Cells	Stomach_Smooth_Muscle
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Aorta
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	iPS_DF_6.9_Cell_Line
HSMM_Skeletal_Muscle_Myoblasts	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Muscle_Satellite_Cultured_Cells	Fetal_Lung
Brain_Cingulate_Gyrus	HeLa_S3_Cervical_Carcinoma
HUES6_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
CD56_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD19_Primary_Cells_Cord_BI
Skeletal_Muscle_Male	NHLF_Lung_Fibroblasts
HMEC_Mammary_Epithelial	K562_Leukemia
Psoas_Muscle	Monocytes_CD14pp_RO01746
Rectal_Smooth_Muscle	NHDF_Ad_Adult_Dermal_Fibroblasts
HeLa_S3_Cervical_Carcinoma	HSMM_Skeletal_Muscle_Myoblasts
Rectal_Mucosa.Donor_29	CD19_Primary_Cells_Peripheral_UW
Duodenum_Smooth_Muscle	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHLF_Lung_Fibroblasts	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Brain_Female	iPS_18_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	4star
iPS_15b_Cell_Line	iPS_15b_Cell_Line
Brain_Mid_Frontal_Lobe	CD56_Primary_Cells
Brain_Substantia_Nigra	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Breast_vHMEC	Dnd41_TCell_Leukemia
H9_Derived_Neuron_Cultured_Cells	Spleen
Brain_Inferior_Temporal_Lobe	Esophagus
Duodenum_Mucosa	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Adipose_Nuclei	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
NHEK_Epidermal_Keratinocytes	A549_EtOH_0.02pct_Lung_Carcinoma
H1_Cell_Line	Fetal_Muscle_Trunk
NH_A_Astrocytes	HepG2_Hepatocellular_Carcinoma
Fetal_Muscle_Leg	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Intestine_Small	iPS_DF_19.11_Cell_Line
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H9_Derived_Neuron_Cultured_Cells
Ovary	iPS_20b_Cell_Line
ES_I3_Cell_Line	CD15_Primary_Cells
4star	CD34_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Lung
Fetal_Adrenal_Gland	Thymus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	HUES48_Cell_Line
Fetal_Intestine_Large	CD34_Cultured_Cells
Brain_Hippocampus_Middle	HMEC_Mammary_Epithelial
Fetal_Muscle_Trunk	HUES64_Cell_Line
Left_Ventricle	Mobilized_CD34_Primary_Cells_Female
Pancreatic_Islets	H1_Cell_Line
Stomach_Smooth_Muscle	ES_I3_Cell_Line
Brain_Germinal_Matrix	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
iPS_DF_6.9_Cell_Line	H9_Cell_Line
Brain_Anterior_Caudate	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Thymus	Fetal_Placenta
Peripheral_Blood_Mononuclear_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
H9_Cell_Line	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Sigmoid_Colon	Brain_Germinal_Matrix
IMR90_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Right_Atrium	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Breast_Myoepithelial_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	NHEK_Epidermal_Keratinocytes
iPS_DF_19.11_Cell_Line	Fetal_Brain_Female
Fetal_Stomach	Fetal_Adrenal_Gland
Placenta_Amnion	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Fetal_Intestine_Large
Colonic_Mucosa	H1_Derived_Mesenchymal_Stem_Cells
Pancreas	Fetal_Muscle_Leg
Thymus	GM12878_Lymphoblastoid
Gastric	Fetal_Thymus
H1_Derived_Mesenchymal_Stem_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Placenta	HUES6_Cell_Line
Esophagus	Fetal_Stomach
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	IMR90_Cell_Line
Aorta	CD14_Primary_Cells
Spleen	Mobilized_CD34_Primary_Cells_Male
Lung	Fetal_Intestine_Small
