(New) Cell Type	(Old) Cell Type
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD3_Primary_Cells_Cord_BI
Fetal_Intestine_Large	CD4_Memory_Primary_Cells
CD3_Primary_Cells_Cord_BI	CD8_Memory_Primary_Cells
Duodenum_Mucosa	CD8_Naive_Primary_Cells
Rectal_Mucosa.Donor_29	CD4_Naive_Primary_Cells
Adipose_Nuclei	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
H1_Cell_Line	Colonic_Mucosa
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Breast_Myoepithelial_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
4star	Small_Intestine
Fetal_Placenta	Rectal_Smooth_Muscle
Rectal_Mucosa.Donor_31	Placenta_Amnion
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Brain_Male
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Brain_Mid_Frontal_Lobe
A549_EtOH_0.02pct_Lung_Carcinoma	HUVEC_Umbilical_Vein_Endothelial_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Kidney
Fetal_Muscle_Trunk	HeLa_S3_Cervical_Carcinoma
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Colon_Smooth_Muscle
Neurosphere_Cultured_Cells_Cortex_Derived	Brain_Angular_Gyrus
Adult_Liver	Brain_Substantia_Nigra
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Muscle_Leg	Brain_Germinal_Matrix
Skeletal_Muscle_Female	Brain_Cingulate_Gyrus
iPS_18_Cell_Line	NHLF_Lung_Fibroblasts
Fetal_Thymus	Esophagus
Lung	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Brain_Hippocampus_Middle	NH_A_Astrocytes
Skeletal_Muscle_Male	Skeletal_Muscle_Male
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Psoas_Muscle
Duodenum_Smooth_Muscle	iPS_DF_6.9_Cell_Line
Brain_Substantia_Nigra	Brain_Inferior_Temporal_Lobe
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Right_Ventricle
CD4pp_CD25__Th_Primary_Cells	CD34_Primary_Cells
Brain_Anterior_Caudate	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD19_Primary_Cells_Cord_BI	H9_Cell_Line
HepG2_Hepatocellular_Carcinoma	Gastric
Fetal_Adrenal_Gland	Brain_Hippocampus_Middle
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Brain_Anterior_Caudate
Brain_Inferior_Temporal_Lobe	H1_Derived_Neuronal_Progenitor_Cultured_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	HMEC_Mammary_Epithelial
K562_Leukemia	NHEK_Epidermal_Keratinocytes
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Spleen
Brain_Cingulate_Gyrus	Sigmoid_Colon
Osteoblasts	Lung
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Aorta
iPS_15b_Cell_Line	Fetal_Heart
Stomach_Smooth_Muscle	Ovary
HUES6_Cell_Line	Left_Ventricle
CD34_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Brain_Germinal_Matrix	NHDF_Ad_Adult_Dermal_Fibroblasts
HMEC_Mammary_Epithelial	Pancreas
iPS_20b_Cell_Line	Fetal_Lung
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	ES_I3_Cell_Line
HUES48_Cell_Line	H1_Derived_Mesenchymal_Stem_Cells
Mobilized_CD34_Primary_Cells_Male	Thymus
CD56_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
IMR90_Cell_Line	iPS_15b_Cell_Line
Fetal_Heart	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Skeletal_Muscle_Female
Fetal_Lung	Rectal_Mucosa.Donor_31
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Duodenum_Smooth_Muscle
HUES64_Cell_Line	CD4pp_CD25__Th_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	CD3_Primary_Cells_Peripheral_UW
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Brain_Female	K562_Leukemia
Colon_Smooth_Muscle	CD19_Primary_Cells_Cord_BI
GM12878_Lymphoblastoid	CD4pp_CD25pp_CD127__Treg_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	CD56_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	GM12878_Lymphoblastoid
NHDF_Ad_Adult_Dermal_Fibroblasts	Adipose_Nuclei
