(New) Cell Type	(Old) Cell Type
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Brain_Inferior_Temporal_Lobe	CD3_Primary_Cells_Peripheral_UW
Brain_Anterior_Caudate	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD3_Primary_Cells_Cord_BI	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
ES_WA7_Cell_Line	CD4pp_CD25__Th_Primary_Cells
Fetal_Placenta	CD4_Memory_Primary_Cells
CD56_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Colonic_Mucosa	CD4_Naive_Primary_Cells
Monocytes_CD14pp_RO01746	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD8_Naive_Primary_Cells
CD19_Primary_Cells_Cord_BI	CD8_Memory_Primary_Cells
Spleen	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Brain_Angular_Gyrus	Peripheral_Blood_Mononuclear_Primary_Cells
CD34_Primary_Cells	CD3_Primary_Cells_Cord_BI
Fetal_Muscle_Leg	CD19_Primary_Cells_Peripheral_UW
Fetal_Adrenal_Gland	CD56_Primary_Cells
Brain_Hippocampus_Middle	Mobilized_CD34_Primary_Cells_Female
Mobilized_CD34_Primary_Cells_Male	CD34_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	Esophagus
iPS_DF_19.11_Cell_Line	Colon_Smooth_Muscle
Breast_Myoepithelial_Cells	Spleen
Fetal_Stomach	CD34_Primary_Cells
Fetal_Muscle_Trunk	Colonic_Mucosa
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Ovary
Lung	CD19_Primary_Cells_Cord_BI
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Mucosa
Adipose_Nuclei	Duodenum_Smooth_Muscle
Fetal_Brain_Male	Mobilized_CD34_Primary_Cells_Male
Brain_Mid_Frontal_Lobe	Thymus
Adult_Liver	Placenta_Amnion
Stomach_Mucosa	Rectal_Smooth_Muscle
Rectal_Mucosa.Donor_31	Rectal_Mucosa.Donor_29
Esophagus	Rectal_Mucosa.Donor_31
Brain_Cingulate_Gyrus	Small_Intestine
Fetal_Thymus	Psoas_Muscle
Rectal_Mucosa.Donor_29	HMEC_Mammary_Epithelial
Right_Ventricle	Sigmoid_Colon
Dnd41_TCell_Leukemia	Brain_Hippocampus_Middle
Skeletal_Muscle_Female	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Peripheral_Blood_Mononuclear_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Brain_Germinal_Matrix	Adipose_Nuclei
Rectal_Smooth_Muscle	HSMM_Skeletal_Muscle_Myoblasts
Osteoblasts	Brain_Substantia_Nigra
CD19_Primary_Cells_Peripheral_UW	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Pancreas	Left_Ventricle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Brain_Anterior_Caudate
Fetal_Brain_Female	Adult_Liver
Skeletal_Muscle_Male	CD14_Primary_Cells
Duodenum_Mucosa	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD4pp_CD25__Th_Primary_Cells	Brain_Mid_Frontal_Lobe
CD34_Cultured_Cells	Skeletal_Muscle_Female
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
H1_Derived_Mesenchymal_Stem_Cells	NHEK_Epidermal_Keratinocytes
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Brain_Inferior_Temporal_Lobe
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Stomach_Smooth_Muscle	Fetal_Muscle_Leg
4star	Monocytes_CD14pp_RO01746
Mobilized_CD34_Primary_Cells_Female	Brain_Angular_Gyrus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Brain_Cingulate_Gyrus
Duodenum_Smooth_Muscle	Fetal_Thymus
NHLF_Lung_Fibroblasts	GM12878_Lymphoblastoid
Fetal_Intestine_Small	Stomach_Mucosa
NH_A_Astrocytes	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Thymus	Fetal_Adrenal_Gland
CD14_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Brain_Substantia_Nigra	iPS_DF_19.11_Cell_Line
Neurosphere_Cultured_Cells_Cortex_Derived	Neurosphere_Cultured_Cells_Cortex_Derived
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
NHDF_Ad_Adult_Dermal_Fibroblasts	Fetal_Intestine_Small
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	NHLF_Lung_Fibroblasts
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	NH_A_Astrocytes
Right_Atrium	HUES6_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Intestine_Large
Fetal_Intestine_Large	iPS_DF_6.9_Cell_Line
Placenta_Amnion	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Right_Ventricle
