(New) Cell Type	(Old) Cell Type
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4_Naive_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Brain_Female	CD8_Memory_Primary_Cells
NH_A_Astrocytes	CD4_Naive_Primary_Cells
CD4_Memory_Primary_Cells	CD4_Memory_Primary_Cells
Brain_Hippocampus_Middle	Thymus
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD8_Memory_Primary_Cells	CD8_Naive_Primary_Cells
Duodenum_Mucosa	Esophagus
Aorta	Left_Ventricle
Brain_Germinal_Matrix	Fetal_Intestine_Small
H9_Cell_Line	Fetal_Intestine_Large
K562_Leukemia	Sigmoid_Colon
Rectal_Mucosa.Donor_29	Lung
CD8_Naive_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Adrenal_Gland	Fetal_Stomach
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	iPS_DF_6.9_Cell_Line
Brain_Inferior_Temporal_Lobe	Small_Intestine
HUES6_Cell_Line	Breast_vHMEC
Rectal_Mucosa.Donor_31	Fetal_Thymus
iPS_18_Cell_Line	Stomach_Mucosa
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Placenta_Amnion
HUES48_Cell_Line	Fetal_Adrenal_Gland
Osteoblasts	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD19_Primary_Cells_Peripheral_UW
Psoas_Muscle	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Dnd41_TCell_Leukemia
Fetal_Lung	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	H1_Cell_Line
iPS_DF_6.9_Cell_Line	CD3_Primary_Cells_Peripheral_UW
Rectal_Smooth_Muscle	CD3_Primary_Cells_Cord_BI
Brain_Angular_Gyrus	Fetal_Lung
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	NHEK_Epidermal_Keratinocytes
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Peripheral_Blood_Mononuclear_Primary_Cells
Brain_Cingulate_Gyrus	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Thymus	IMR90_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD14_Primary_Cells
Muscle_Satellite_Cultured_Cells	Fetal_Kidney
Fetal_Brain_Male	Gastric
HepG2_Hepatocellular_Carcinoma	Fetal_Muscle_Leg
Pancreas	CD56_Primary_Cells
Gastric	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Substantia_Nigra	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Small_Intestine	Psoas_Muscle
