(New) Cell Type	(Old) Cell Type
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Brain_Cingulate_Gyrus	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Rectal_Mucosa.Donor_31	CD4_Memory_Primary_Cells
Esophagus	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Lung	CD4_Naive_Primary_Cells
iPS_DF_19.11_Cell_Line	CD8_Naive_Primary_Cells
Brain_Mid_Frontal_Lobe	CD8_Memory_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
CD8_Naive_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
NH_A_Astrocytes	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Right_Ventricle	CD4pp_CD25__Th_Primary_Cells
H1_Derived_Mesenchymal_Stem_Cells	CD56_Primary_Cells
Rectal_Mucosa.Donor_29	Peripheral_Blood_Mononuclear_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD19_Primary_Cells_Peripheral_UW
Brain_Anterior_Caudate	CD3_Primary_Cells_Cord_BI
Brain_Inferior_Temporal_Lobe	Small_Intestine
Duodenum_Smooth_Muscle	Thymus
Spleen	CD19_Primary_Cells_Cord_BI
Fetal_Intestine_Large	GM12878_Lymphoblastoid
Gastric	CD14_Primary_Cells
Rectal_Smooth_Muscle	Sigmoid_Colon
Colon_Smooth_Muscle	Monocytes_CD14pp_RO01746
Small_Intestine	Colon_Smooth_Muscle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Esophagus
Adipose_Nuclei	Rectal_Mucosa.Donor_29
Muscle_Satellite_Cultured_Cells	Rectal_Mucosa.Donor_31
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD34_Cultured_Cells
Brain_Substantia_Nigra	Placenta_Amnion
Left_Ventricle	Stomach_Mucosa
GM12878_Lymphoblastoid	Duodenum_Mucosa
Ovary	Mobilized_CD34_Primary_Cells_Female
Peripheral_Blood_Mononuclear_Primary_Cells	NHLF_Lung_Fibroblasts
Stomach_Smooth_Muscle	CD34_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Thymus
Adult_Liver	Colonic_Mucosa
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Rectal_Smooth_Muscle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD15_Primary_Cells
CD4_Naive_Primary_Cells	Duodenum_Smooth_Muscle
Brain_Hippocampus_Middle	HUVEC_Umbilical_Vein_Endothelial_Cells
Colonic_Mucosa	Psoas_Muscle
CD4_Memory_Primary_Cells	Brain_Substantia_Nigra
IMR90_Cell_Line	Mobilized_CD34_Primary_Cells_Male
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Left_Ventricle
CD34_Primary_Cells	Breast_vHMEC
Psoas_Muscle	NH_A_Astrocytes
CD8_Memory_Primary_Cells	Adult_Liver
NHLF_Lung_Fibroblasts	HSMM_Skeletal_Muscle_Myoblasts
Fetal_Brain_Female	HMEC_Mammary_Epithelial
Placenta_Amnion	NHDF_Ad_Adult_Dermal_Fibroblasts
HMEC_Mammary_Epithelial	Fetal_Heart
Duodenum_Mucosa	Fetal_Muscle_Leg
Right_Atrium	Fetal_Placenta
Osteoblasts	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H1_Cell_Line	Fetal_Intestine_Large
iPS_DF_6.9_Cell_Line	Fetal_Intestine_Small
Pancreas	NHEK_Epidermal_Keratinocytes
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Brain_Angular_Gyrus
CD19_Primary_Cells_Cord_BI	Ovary
Brain_Angular_Gyrus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Monocytes_CD14pp_RO01746	Fetal_Adrenal_Gland
NHEK_Epidermal_Keratinocytes	Brain_Inferior_Temporal_Lobe
CD15_Primary_Cells	Brain_Anterior_Caudate
Breast_vHMEC	Muscle_Satellite_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Sigmoid_Colon	Skeletal_Muscle_Female
Thymus	Brain_Mid_Frontal_Lobe
Brain_Germinal_Matrix	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Intestine_Small	Osteoblasts
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	IMR90_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Muscle_Trunk
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Brain_Cingulate_Gyrus
CD56_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Spleen
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
HUVEC_Umbilical_Vein_Endothelial_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Skeletal_Muscle_Female	Adipose_Nuclei
Fetal_Placenta	Brain_Hippocampus_Middle
4star	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD34_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
HSMM_Skeletal_Muscle_Myoblasts	Neurosphere_Cultured_Cells_Cortex_Derived
Skeletal_Muscle_Male	iPS_DF_6.9_Cell_Line
Aorta	K562_Leukemia
Breast_Myoepithelial_Cells	Fetal_Lung
CD3_Primary_Cells_Cord_BI	iPS_DF_19.11_Cell_Line
Stomach_Mucosa	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Brain_Germinal_Matrix
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Fetal_Stomach
K562_Leukemia	4star
A549_EtOH_0.02pct_Lung_Carcinoma	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD19_Primary_Cells_Peripheral_UW	Lung
Neurosphere_Cultured_Cells_Cortex_Derived	H9_Derived_Neuron_Cultured_Cells
Fetal_Lung	A549_EtOH_0.02pct_Lung_Carcinoma
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Skeletal_Muscle_Male
H9_Derived_Neuron_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Fetal_Muscle_Trunk	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Stomach	H1_Derived_Mesenchymal_Stem_Cells
