(New) Cell Type	(Old) Cell Type
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD56_Primary_Cells
Rectal_Smooth_Muscle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Adult_Liver
Gastric	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Thymus	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD8_Naive_Primary_Cells	Breast_Myoepithelial_Cells
Placenta_Amnion	Monocytes_CD14pp_RO01746
Rectal_Mucosa.Donor_29	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Fetal_Intestine_Small
Fetal_Kidney	Duodenum_Mucosa
Colonic_Mucosa	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Colon_Smooth_Muscle	Fetal_Placenta
CD8_Memory_Primary_Cells	Breast_vHMEC
CD4_Memory_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Right_Ventricle	Adipose_Nuclei
iPS_DF_6.9_Cell_Line	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
ES_WA7_Cell_Line	HepG2_Hepatocellular_Carcinoma
Brain_Mid_Frontal_Lobe	CD4pp_CD25__Th_Primary_Cells
Brain_Angular_Gyrus	CD15_Primary_Cells
Small_Intestine	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HeLa_S3_Cervical_Carcinoma	4star
Stomach_Mucosa	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Heart	CD3_Primary_Cells_Peripheral_UW
CD4_Naive_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25__Th_Primary_Cells	CD3_Primary_Cells_Cord_BI
Rectal_Mucosa.Donor_31	Brain_Germinal_Matrix
Fetal_Brain_Male	Fetal_Muscle_Leg
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Ovary	HUES64_Cell_Line
Duodenum_Smooth_Muscle	Brain_Anterior_Caudate
CD3_Primary_Cells_Peripheral_UW	Brain_Hippocampus_Middle
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD19_Primary_Cells_Cord_BI	Brain_Angular_Gyrus
Skeletal_Muscle_Male	Brain_Cingulate_Gyrus
CD3_Primary_Cells_Cord_BI	NHEK_Epidermal_Keratinocytes
Brain_Germinal_Matrix	Brain_Inferior_Temporal_Lobe
Brain_Cingulate_Gyrus	HMEC_Mammary_Epithelial
Skeletal_Muscle_Female	HUES48_Cell_Line
Brain_Substantia_Nigra	iPS_20b_Cell_Line
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Substantia_Nigra
CD15_Primary_Cells	Fetal_Adrenal_Gland
Brain_Inferior_Temporal_Lobe	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Fetal_Thymus	CD34_Primary_Cells
Dnd41_TCell_Leukemia	Aorta
Fetal_Brain_Female	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Muscle_Trunk	H1_Derived_Mesenchymal_Stem_Cells
K562_Leukemia	Dnd41_TCell_Leukemia
H9_Cell_Line	Duodenum_Smooth_Muscle
CD19_Primary_Cells_Peripheral_UW	Fetal_Brain_Female
A549_EtOH_0.02pct_Lung_Carcinoma	Sigmoid_Colon
NHLF_Lung_Fibroblasts	CD19_Primary_Cells_Cord_BI
Psoas_Muscle	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Right_Atrium	Mobilized_CD34_Primary_Cells_Female
Sigmoid_Colon	Brain_Mid_Frontal_Lobe
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Peripheral_Blood_Mononuclear_Primary_Cells
Stomach_Smooth_Muscle	Fetal_Muscle_Trunk
NH_A_Astrocytes	CD34_Cultured_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	CD14_Primary_Cells
Pancreatic_Islets	Pancreas
CD56_Primary_Cells	Fetal_Stomach
Brain_Anterior_Caudate	Pancreatic_Islets
CD34_Primary_Cells	CD4_Memory_Primary_Cells
Monocytes_CD14pp_RO01746	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Spleen	Fetal_Lung
Duodenum_Mucosa	Esophagus
Fetal_Lung	H1_Cell_Line
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Intestine_Large
Adult_Liver	Left_Ventricle
CD34_Cultured_Cells	iPS_18_Cell_Line
Brain_Hippocampus_Middle	Muscle_Satellite_Cultured_Cells
Osteoblasts	Colonic_Mucosa
iPS_DF_19.11_Cell_Line	ES_I3_Cell_Line
Esophagus	CD8_Naive_Primary_Cells
Fetal_Intestine_Large	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
iPS_15b_Cell_Line	Colon_Smooth_Muscle
H1_Cell_Line	CD4_Naive_Primary_Cells
HUES48_Cell_Line	Neurosphere_Cultured_Cells_Cortex_Derived
HepG2_Hepatocellular_Carcinoma	Fetal_Thymus
HUVEC_Umbilical_Vein_Endothelial_Cells	Osteoblasts
Left_Ventricle	Psoas_Muscle
Muscle_Satellite_Cultured_Cells	Rectal_Mucosa.Donor_31
iPS_20b_Cell_Line	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Mobilized_CD34_Primary_Cells_Female	H9_Cell_Line
iPS_18_Cell_Line	Fetal_Brain_Male
GM12878_Lymphoblastoid	iPS_15b_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NHLF_Lung_Fibroblasts
HMEC_Mammary_Epithelial	Rectal_Mucosa.Donor_29
Pancreas	GM12878_Lymphoblastoid
Fetal_Stomach	HeLa_S3_Cervical_Carcinoma
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Gastric
H9_Derived_Neuron_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	K562_Leukemia
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	H9_Derived_Neuron_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	NHDF_Ad_Adult_Dermal_Fibroblasts
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
HUES64_Cell_Line	NH_A_Astrocytes
Neurosphere_Cultured_Cells_Cortex_Derived	Stomach_Smooth_Muscle
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Right_Ventricle
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD8_Memory_Primary_Cells
4star	ES_WA7_Cell_Line
Fetal_Intestine_Small	Thymus
Breast_vHMEC	iPS_DF_19.11_Cell_Line
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Breast_Myoepithelial_Cells	Skeletal_Muscle_Male
Adipose_Nuclei	Skeletal_Muscle_Female
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Right_Atrium
CD14_Primary_Cells	Ovary
Fetal_Muscle_Leg	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
NHEK_Epidermal_Keratinocytes	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Rectal_Smooth_Muscle
ES_I3_Cell_Line	iPS_DF_6.9_Cell_Line
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Spleen
Fetal_Placenta	IMR90_Cell_Line
IMR90_Cell_Line	Placenta_Amnion
HUES6_Cell_Line	Fetal_Kidney
Aorta	Small_Intestine
Fetal_Adrenal_Gland	Fetal_Heart
H1_Derived_Mesenchymal_Stem_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	HUES6_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Lung
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Mobilized_CD34_Primary_Cells_Male
Lung	Stomach_Mucosa
