(New) Cell Type	(Old) Cell Type
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Brain_Cingulate_Gyrus	CD3_Primary_Cells_Cord_BI
Colon_Smooth_Muscle	CD4_Memory_Primary_Cells
Adult_Liver	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Brain_Inferior_Temporal_Lobe	CD8_Memory_Primary_Cells
Stomach_Smooth_Muscle	CD8_Naive_Primary_Cells
Rectal_Mucosa.Donor_29	CD4_Naive_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
ES_I3_Cell_Line	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
iPS_15b_Cell_Line	Colonic_Mucosa
Duodenum_Smooth_Muscle	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Small_Intestine
Brain_Germinal_Matrix	Rectal_Smooth_Muscle
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
H1_Derived_Mesenchymal_Stem_Cells	Placenta_Amnion
Brain_Substantia_Nigra	Fetal_Kidney
CD4_Memory_Primary_Cells	HeLa_S3_Cervical_Carcinoma
Lung	GM12878_Lymphoblastoid
Mobilized_CD34_Primary_Cells_Male	Thymus
Sigmoid_Colon	Colon_Smooth_Muscle
CD8_Naive_Primary_Cells	Fetal_Brain_Male
Fetal_Placenta	NH_A_Astrocytes
Rectal_Mucosa.Donor_31	Brain_Mid_Frontal_Lobe
iPS_18_Cell_Line	Brain_Angular_Gyrus
Brain_Angular_Gyrus	Brain_Germinal_Matrix
iPS_20b_Cell_Line	Brain_Substantia_Nigra
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD34_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Rectal_Mucosa.Donor_31
Peripheral_Blood_Mononuclear_Primary_Cells	NHLF_Lung_Fibroblasts
CD19_Primary_Cells_Cord_BI	Brain_Cingulate_Gyrus
HUES48_Cell_Line	HMEC_Mammary_Epithelial
Fetal_Heart	Skeletal_Muscle_Male
NHLF_Lung_Fibroblasts	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Brain_Female
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Mobilized_CD34_Primary_Cells_Female	Esophagus
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	K562_Leukemia
CD19_Primary_Cells_Peripheral_UW	Brain_Inferior_Temporal_Lobe
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Duodenum_Smooth_Muscle
Brain_Anterior_Caudate	Psoas_Muscle
CD34_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	NHEK_Epidermal_Keratinocytes
Fetal_Thymus	NHDF_Ad_Adult_Dermal_Fibroblasts
Ovary	Brain_Hippocampus_Middle
CD3_Primary_Cells_Cord_BI	Muscle_Satellite_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Brain_Anterior_Caudate
CD4_Naive_Primary_Cells	Sigmoid_Colon
Fetal_Brain_Female	Stomach_Smooth_Muscle
H1_Cell_Line	Skeletal_Muscle_Female
Fetal_Intestine_Large	Right_Ventricle
H9_Cell_Line	H9_Cell_Line
Brain_Hippocampus_Middle	CD19_Primary_Cells_Cord_BI
