(New) Chromatin State	(Old) Chromatin State
Genic_enhancers	Transcr_at_gene_5_and_3
Enhancers	Genic_enhancers
ZNF_genes_and_repeats	Flanking_Active_TSS
Transcr_at_gene_5_and_3	Active_TSS
Repressed_PolyComb	Enhancers
Heterochromatin	Strong_transcription
Active_TSS	Weak_transcription
Flanking_Active_TSS	Bivalent_Poised_TSS
Strong_transcription	Flanking_Bivalent_TSS_Enh
Bivalent_Enhancer	Bivalent_Enhancer
Bivalent_Poised_TSS	ZNF_genes_and_repeats
Weak_transcription	Repressed_PolyComb
Flanking_Bivalent_TSS_Enh	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
