(New) Chromatin State	(Old) Chromatin State
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Weak_transcription	Repressed_PolyComb
Quiescent_Low	Bivalent_Enhancer
Strong_transcription	Enhancers
Heterochromatin	Quiescent_Low
Repressed_PolyComb	Bivalent_Poised_TSS
ZNF_genes_and_repeats	Heterochromatin
Genic_enhancers	Flanking_Bivalent_TSS_Enh
Enhancers	Transcr_at_gene_5_and_3
Active_TSS	Flanking_Active_TSS
Transcr_at_gene_5_and_3	Active_TSS
Flanking_Active_TSS	ZNF_genes_and_repeats
Bivalent_Poised_TSS	Genic_enhancers
Bivalent_Enhancer	Weak_transcription
Flanking_Bivalent_TSS_Enh	Strong_transcription
