(New) Cell Type	(Old) Cell Type
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Intestine_Small	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	CD4_Memory_Primary_Cells
Fetal_Intestine_Large	CD3_Primary_Cells_Peripheral_UW
CD34_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Stomach_Smooth_Muscle	CD4pp_CD25__Th_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Colonic_Mucosa	CD4_Naive_Primary_Cells
Skeletal_Muscle_Female	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Skeletal_Muscle_Male	CD8_Memory_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Adipose_Nuclei	CD8_Naive_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD3_Primary_Cells_Cord_BI
GM12878_Lymphoblastoid	Peripheral_Blood_Mononuclear_Primary_Cells
CD34_Cultured_Cells	CD56_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	Mobilized_CD34_Primary_Cells_Female
CD19_Primary_Cells_Cord_BI	CD34_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD19_Primary_Cells_Peripheral_UW
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Colon_Smooth_Muscle
Peripheral_Blood_Mononuclear_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
iPS_DF_6.9_Cell_Line	Duodenum_Mucosa
H1_Derived_Mesenchymal_Stem_Cells	CD34_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Duodenum_Smooth_Muscle
iPS_DF_19.11_Cell_Line	Rectal_Smooth_Muscle
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Spleen
Right_Ventricle	CD19_Primary_Cells_Cord_BI
Duodenum_Mucosa	Adult_Liver
CD8_Memory_Primary_Cells	Colonic_Mucosa
CD4_Memory_Primary_Cells	Rectal_Mucosa.Donor_29
Fetal_Placenta	Brain_Substantia_Nigra
Fetal_Lung	Brain_Anterior_Caudate
CD4_Naive_Primary_Cells	Esophagus
NHEK_Epidermal_Keratinocytes	Placenta_Amnion
CD3_Primary_Cells_Cord_BI	Brain_Angular_Gyrus
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Rectal_Mucosa.Donor_31
Fetal_Thymus	Brain_Hippocampus_Middle
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Sigmoid_Colon
Pancreas	Ovary
HepG2_Hepatocellular_Carcinoma	iPS_DF_19.11_Cell_Line
IMR90_Cell_Line	Adipose_Nuclei
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	H9_Cell_Line
Fetal_Muscle_Trunk	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Right_Atrium	Fetal_Thymus
CD8_Naive_Primary_Cells	Psoas_Muscle
CD15_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Gastric	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD4pp_CD25__Th_Primary_Cells	Brain_Mid_Frontal_Lobe
H1_Cell_Line	Stomach_Mucosa
Breast_Myoepithelial_Cells	Small_Intestine
CD14_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Inferior_Temporal_Lobe
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	HSMM_Skeletal_Muscle_Myoblasts
Rectal_Mucosa.Donor_29	HMEC_Mammary_Epithelial
Brain_Hippocampus_Middle	Skeletal_Muscle_Female
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Cingulate_Gyrus
Mobilized_CD34_Primary_Cells_Male	Left_Ventricle
Fetal_Stomach	Stomach_Smooth_Muscle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	HUES6_Cell_Line
HUVEC_Umbilical_Vein_Endothelial_Cells	CD14_Primary_Cells
Stomach_Mucosa	Fetal_Heart
Brain_Substantia_Nigra	iPS_DF_6.9_Cell_Line
Rectal_Mucosa.Donor_31	NHEK_Epidermal_Keratinocytes
Monocytes_CD14pp_RO01746	Thymus
Brain_Mid_Frontal_Lobe	iPS_15b_Cell_Line
Brain_Inferior_Temporal_Lobe	HUES64_Cell_Line
Brain_Angular_Gyrus	Fetal_Intestine_Small
Esophagus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Sigmoid_Colon	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Lung	GM12878_Lymphoblastoid
Brain_Cingulate_Gyrus	Fetal_Intestine_Large
Muscle_Satellite_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Right_Ventricle
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	NH_A_Astrocytes
NH_A_Astrocytes	H1_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	ES_I3_Cell_Line
Fetal_Brain_Female	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
4star	HUES48_Cell_Line
Brain_Germinal_Matrix	A549_EtOH_0.02pct_Lung_Carcinoma
Duodenum_Smooth_Muscle	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Heart	iPS_18_Cell_Line
CD56_Primary_Cells	Monocytes_CD14pp_RO01746
Brain_Anterior_Caudate	Skeletal_Muscle_Male
Left_Ventricle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Ovary	4star
Fetal_Muscle_Leg	HUVEC_Umbilical_Vein_Endothelial_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	H1_Derived_Mesenchymal_Stem_Cells
HUES6_Cell_Line	iPS_20b_Cell_Line
CD3_Primary_Cells_Peripheral_UW	NHLF_Lung_Fibroblasts
Placenta_Amnion	Brain_Germinal_Matrix
Spleen	Fetal_Muscle_Leg
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD15_Primary_Cells
Thymus	Fetal_Adrenal_Gland
Fetal_Adrenal_Gland	Lung
Colon_Smooth_Muscle	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Aorta	NHDF_Ad_Adult_Dermal_Fibroblasts
K562_Leukemia	Gastric
Rectal_Smooth_Muscle	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Adult_Liver	Fetal_Brain_Female
CD19_Primary_Cells_Peripheral_UW	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Fetal_Placenta
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	ES_WA7_Cell_Line
NHLF_Lung_Fibroblasts	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Breast_vHMEC	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
ES_WA7_Cell_Line	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HMEC_Mammary_Epithelial	H9_Derived_Neuron_Cultured_Cells
Osteoblasts	Breast_Myoepithelial_Cells
Psoas_Muscle	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
H9_Cell_Line	Muscle_Satellite_Cultured_Cells
Fetal_Brain_Male	H9_Derived_Neuronal_Progenitor_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Stomach
ES_I3_Cell_Line	IMR90_Cell_Line
Small_Intestine	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Kidney	Fetal_Muscle_Trunk
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Breast_vHMEC
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Osteoblasts
Dnd41_TCell_Leukemia	Fetal_Brain_Male
iPS_15b_Cell_Line	Right_Atrium
A549_EtOH_0.02pct_Lung_Carcinoma	Fetal_Lung
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Fetal_Kidney
iPS_18_Cell_Line	Aorta
iPS_20b_Cell_Line	Pancreatic_Islets
HeLa_S3_Cervical_Carcinoma	K562_Leukemia
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	HeLa_S3_Cervical_Carcinoma
HUES48_Cell_Line	Dnd41_TCell_Leukemia
HUES64_Cell_Line	HepG2_Hepatocellular_Carcinoma
Pancreatic_Islets	Pancreas
