(New) Chromatin State	(Old) Chromatin State
Heterochromatin	Quiescent_Low
Strong_transcription	Heterochromatin
Repressed_PolyComb	ZNF_genes_and_repeats
Weak_transcription	Bivalent_Poised_TSS
ZNF_genes_and_repeats	Flanking_Bivalent_TSS_Enh
Genic_enhancers	Weak_Repressed_PolyComb
Enhancers	Repressed_PolyComb
Weak_Repressed_PolyComb	Transcr_at_gene_5_and_3
Active_TSS	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Genic_enhancers
Flanking_Active_TSS	Active_TSS
Bivalent_Poised_TSS	Weak_transcription
Bivalent_Enhancer	Strong_transcription
Flanking_Bivalent_TSS_Enh	Flanking_Active_TSS
Quiescent_Low	Enhancers
