(New) Cell Type	(Old) Cell Type
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4_Memory_Primary_Cells	CD4_Naive_Primary_Cells
CD4_Naive_Primary_Cells	Stomach_Mucosa
NHDF_Ad_Adult_Dermal_Fibroblasts	CD8_Memory_Primary_Cells
CD8_Memory_Primary_Cells	CD8_Naive_Primary_Cells
Colon_Smooth_Muscle	Colon_Smooth_Muscle
K562_Leukemia	CD4_Memory_Primary_Cells
HUES64_Cell_Line	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Dnd41_TCell_Leukemia	Rectal_Smooth_Muscle
CD19_Primary_Cells_Peripheral_UW	HUVEC_Umbilical_Vein_Endothelial_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Fetal_Brain_Male	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Skeletal_Muscle_Female
Small_Intestine	Placenta_Amnion
iPS_20b_Cell_Line	Brain_Mid_Frontal_Lobe
ES_WA7_Cell_Line	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Heart	CD4pp_CD25__Th_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Duodenum_Smooth_Muscle
CD8_Naive_Primary_Cells	Brain_Substantia_Nigra
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Muscle_Satellite_Cultured_Cells
Mobilized_CD34_Primary_Cells_Female	Brain_Hippocampus_Middle
GM12878_Lymphoblastoid	Brain_Angular_Gyrus
CD15_Primary_Cells	Brain_Cingulate_Gyrus
CD4pp_CD25__Th_Primary_Cells	Brain_Inferior_Temporal_Lobe
CD19_Primary_Cells_Cord_BI	Small_Intestine
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Right_Ventricle
Stomach_Mucosa	Rectal_Mucosa.Donor_29
HUES48_Cell_Line	Fetal_Heart
Brain_Angular_Gyrus	Colonic_Mucosa
Osteoblasts	Brain_Anterior_Caudate
A549_EtOH_0.02pct_Lung_Carcinoma	Skeletal_Muscle_Male
CD3_Primary_Cells_Cord_BI	Psoas_Muscle
CD3_Primary_Cells_Peripheral_UW	Left_Ventricle
Skeletal_Muscle_Female	Adipose_Nuclei
Mobilized_CD34_Primary_Cells_Male	Peripheral_Blood_Mononuclear_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Rectal_Mucosa.Donor_31
CD4pp_CD25pp_CD127__Treg_Primary_Cells	NH_A_Astrocytes
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Gastric
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Adult_Liver
Monocytes_CD14pp_RO01746	Sigmoid_Colon
Fetal_Lung	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Pancreatic_Islets
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
Fetal_Kidney	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD14_Primary_Cells	Duodenum_Mucosa
Rectal_Mucosa.Donor_31	Breast_vHMEC
Right_Ventricle	Ovary
iPS_18_Cell_Line	Right_Atrium
Adult_Liver	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD3_Primary_Cells_Cord_BI
Skeletal_Muscle_Male	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Rectal_Smooth_Muscle	Stomach_Smooth_Muscle
CD34_Primary_Cells	Fetal_Brain_Male
CD34_Cultured_Cells	Pancreas
HepG2_Hepatocellular_Carcinoma	Fetal_Lung
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Cingulate_Gyrus	Osteoblasts
HeLa_S3_Cervical_Carcinoma	CD19_Primary_Cells_Cord_BI
Psoas_Muscle	CD19_Primary_Cells_Peripheral_UW
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Kidney
CD56_Primary_Cells	iPS_DF_6.9_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	ES_WA7_Cell_Line
Rectal_Mucosa.Donor_29	Aorta
Neurosphere_Cultured_Cells_Cortex_Derived	Monocytes_CD14pp_RO01746
NHLF_Lung_Fibroblasts	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Breast_Myoepithelial_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Brain_Mid_Frontal_Lobe	HeLa_S3_Cervical_Carcinoma
iPS_15b_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	iPS_15b_Cell_Line
Muscle_Satellite_Cultured_Cells	CD56_Primary_Cells
HUES6_Cell_Line	HepG2_Hepatocellular_Carcinoma
Brain_Substantia_Nigra	Dnd41_TCell_Leukemia
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	K562_Leukemia
HMEC_Mammary_Epithelial	4star
Brain_Inferior_Temporal_Lobe	Spleen
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NHLF_Lung_Fibroblasts
Ovary	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Brain_Female	NHDF_Ad_Adult_Dermal_Fibroblasts
NH_A_Astrocytes	HSMM_Skeletal_Muscle_Myoblasts
H1_Cell_Line	Fetal_Muscle_Trunk
Left_Ventricle	Esophagus
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD34_Cultured_Cells
Duodenum_Smooth_Muscle	iPS_18_Cell_Line
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
H9_Derived_Neuron_Cultured_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Fetal_Muscle_Leg	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
NHEK_Epidermal_Keratinocytes	CD34_Primary_Cells
Brain_Hippocampus_Middle	H1_BMP4_Derived_Trophoblast_Cultured_Cells
4star	Thymus
Duodenum_Mucosa	Lung
ES_I3_Cell_Line	CD15_Primary_Cells
Stomach_Smooth_Muscle	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Intestine_Small	Brain_Germinal_Matrix
Adipose_Nuclei	iPS_DF_19.11_Cell_Line
Breast_vHMEC	Mobilized_CD34_Primary_Cells_Female
iPS_DF_6.9_Cell_Line	ES_I3_Cell_Line
Fetal_Adrenal_Gland	HMEC_Mammary_Epithelial
Fetal_Intestine_Large	H9_Derived_Neuron_Cultured_Cells
Pancreatic_Islets	Fetal_Placenta
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	H1_Cell_Line
Fetal_Muscle_Trunk	H9_Cell_Line
H9_Cell_Line	iPS_20b_Cell_Line
Brain_Germinal_Matrix	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Sigmoid_Colon	Breast_Myoepithelial_Cells
Right_Atrium	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Peripheral_Blood_Mononuclear_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
