(New) Cell Type	(Old) Cell Type
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Monocytes_CD14pp_RO01746
CD4_Naive_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4_Memory_Primary_Cells	CD15_Primary_Cells
CD8_Memory_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Colonic_Mucosa	Fetal_Brain_Female
Placenta_Amnion	Fetal_Adrenal_Gland
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Psoas_Muscle
Rectal_Smooth_Muscle	Duodenum_Mucosa
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	4star
Gastric	iPS_20b_Cell_Line
Thymus	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD8_Naive_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Rectal_Mucosa.Donor_29	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Kidney	Mobilized_CD34_Primary_Cells_Female
Peripheral_Blood_Mononuclear_Primary_Cells	Fetal_Muscle_Leg
Colon_Smooth_Muscle	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Right_Ventricle	NHEK_Epidermal_Keratinocytes
iPS_DF_6.9_Cell_Line	A549_EtOH_0.02pct_Lung_Carcinoma
ES_WA7_Cell_Line	Esophagus
Brain_Mid_Frontal_Lobe	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Angular_Gyrus	Adipose_Nuclei
Small_Intestine	CD4pp_CD25__Th_Primary_Cells
HeLa_S3_Cervical_Carcinoma	HepG2_Hepatocellular_Carcinoma
Stomach_Mucosa	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	Breast_vHMEC
Fetal_Heart	Brain_Anterior_Caudate
Rectal_Mucosa.Donor_31	Pancreatic_Islets
Fetal_Brain_Male	H1_Derived_Mesenchymal_Stem_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Hippocampus_Middle
Ovary	Pancreas
Duodenum_Smooth_Muscle	Brain_Inferior_Temporal_Lobe
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Brain_Germinal_Matrix
CD3_Primary_Cells_Peripheral_UW	Adult_Liver
CD19_Primary_Cells_Cord_BI	CD3_Primary_Cells_Cord_BI
CD3_Primary_Cells_Cord_BI	CD34_Primary_Cells
Skeletal_Muscle_Male	CD34_Cultured_Cells
Brain_Germinal_Matrix	Brain_Substantia_Nigra
Brain_Cingulate_Gyrus	Brain_Angular_Gyrus
Skeletal_Muscle_Female	Duodenum_Smooth_Muscle
Brain_Substantia_Nigra	Brain_Cingulate_Gyrus
H1_Derived_Neuronal_Progenitor_Cultured_Cells	HUES48_Cell_Line
CD15_Primary_Cells	CD19_Primary_Cells_Cord_BI
Brain_Inferior_Temporal_Lobe	Breast_Myoepithelial_Cells
Fetal_Thymus	Fetal_Stomach
Fetal_Brain_Female	Dnd41_TCell_Leukemia
H9_Cell_Line	Fetal_Muscle_Trunk
Dnd41_TCell_Leukemia	HMEC_Mammary_Epithelial
