(New) Chromatin State	(Old) Chromatin State
Quiescent_Low	Heterochromatin
Weak_Repressed_PolyComb	Active_TSS
Weak_transcription	Quiescent_Low
Strong_transcription	Strong_transcription
ZNF_genes_and_repeats	Flanking_Active_TSS
Heterochromatin	Enhancers
Enhancers	Weak_transcription
Genic_enhancers	Genic_enhancers
Repressed_PolyComb	Repressed_PolyComb
Transcr_at_gene_5_and_3	Weak_Repressed_PolyComb
Flanking_Active_TSS	Bivalent_Enhancer
Bivalent_Enhancer	ZNF_genes_and_repeats
Active_TSS	Transcr_at_gene_5_and_3
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
