(New) Cell Type	(Old) Cell Type
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4_Naive_Primary_Cells	CD3_Primary_Cells_Cord_BI
Rectal_Smooth_Muscle	Peripheral_Blood_Mononuclear_Primary_Cells
H9_Cell_Line	Mobilized_CD34_Primary_Cells_Male
Brain_Angular_Gyrus	CD34_Cultured_Cells
Thymus	CD3_Primary_Cells_Peripheral_UW
HUES48_Cell_Line	CD56_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	CD4pp_CD25__Th_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	Monocytes_CD14pp_RO01746
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD19_Primary_Cells_Peripheral_UW
Brain_Mid_Frontal_Lobe	CD19_Primary_Cells_Cord_BI
HeLa_S3_Cervical_Carcinoma	Dnd41_TCell_Leukemia
CD8_Naive_Primary_Cells	Duodenum_Mucosa
CD3_Primary_Cells_Peripheral_UW	Rectal_Mucosa.Donor_29
CD4_Memory_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
iPS_20b_Cell_Line	Fetal_Thymus
HUES64_Cell_Line	H9_Derived_Neuron_Cultured_Cells
Stomach_Mucosa	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Placenta_Amnion	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Adult_Liver
Fetal_Kidney	Duodenum_Smooth_Muscle
CD8_Memory_Primary_Cells	CD14_Primary_Cells
Fetal_Brain_Female	CD34_Primary_Cells
Right_Ventricle	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD56_Primary_Cells	Sigmoid_Colon
Ovary	Fetal_Placenta
ES_I3_Cell_Line	HUES64_Cell_Line
Fetal_Thymus	Esophagus
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Brain_Hippocampus_Middle
NHLF_Lung_Fibroblasts	Psoas_Muscle
Brain_Germinal_Matrix	Gastric
Peripheral_Blood_Mononuclear_Primary_Cells	Right_Ventricle
HUVEC_Umbilical_Vein_Endothelial_Cells	CD15_Primary_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Lung
H9_Derived_Neuron_Cultured_Cells	Brain_Anterior_Caudate
Rectal_Mucosa.Donor_29	Fetal_Intestine_Small
Dnd41_TCell_Leukemia	Thymus
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Adipose_Nuclei
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HUES48_Cell_Line
CD15_Primary_Cells	IMR90_Cell_Line
Stomach_Smooth_Muscle	Spleen
Sigmoid_Colon	Fetal_Lung
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	GM12878_Lymphoblastoid
iPS_15b_Cell_Line	CD4_Naive_Primary_Cells
H1_Derived_Mesenchymal_Stem_Cells	Left_Ventricle
HUES6_Cell_Line	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Colon_Smooth_Muscle	Ovary
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Aorta
Pancreas	Breast_vHMEC
iPS_18_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Fetal_Intestine_Large
CD34_Primary_Cells	Breast_Myoepithelial_Cells
Fetal_Placenta	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Adult_Liver	Pancreas
Rectal_Mucosa.Donor_31	CD4_Memory_Primary_Cells
Duodenum_Smooth_Muscle	CD8_Naive_Primary_Cells
Brain_Cingulate_Gyrus	H1_Derived_Mesenchymal_Stem_Cells
CD34_Cultured_Cells	CD8_Memory_Primary_Cells
4star	Rectal_Mucosa.Donor_31
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	iPS_20b_Cell_Line
CD14_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Lung	Skeletal_Muscle_Female
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Heart	HUES6_Cell_Line
Breast_Myoepithelial_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Brain_Inferior_Temporal_Lobe	Fetal_Adrenal_Gland
Monocytes_CD14pp_RO01746	Brain_Inferior_Temporal_Lobe
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Muscle_Trunk
Breast_vHMEC	Fetal_Muscle_Leg
CD19_Primary_Cells_Cord_BI	Brain_Angular_Gyrus
CD3_Primary_Cells_Cord_BI	Stomach_Smooth_Muscle
Right_Atrium	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Spleen	H1_BMP4_Derived_Trophoblast_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	HSMM_Skeletal_Muscle_Myoblasts
H1_Cell_Line	K562_Leukemia
Fetal_Muscle_Trunk	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Fetal_Stomach
Esophagus	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Fetal_Intestine_Large	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Skeletal_Muscle_Male
HMEC_Mammary_Epithelial	Brain_Cingulate_Gyrus
Neurosphere_Cultured_Cells_Cortex_Derived	Brain_Substantia_Nigra
Duodenum_Mucosa	Colon_Smooth_Muscle
H9_Derived_Neuronal_Progenitor_Cultured_Cells	iPS_18_Cell_Line
IMR90_Cell_Line	Rectal_Smooth_Muscle
Fetal_Stomach	HepG2_Hepatocellular_Carcinoma
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Muscle_Satellite_Cultured_Cells
NHEK_Epidermal_Keratinocytes	Osteoblasts
Fetal_Adrenal_Gland	A549_EtOH_0.02pct_Lung_Carcinoma
Fetal_Intestine_Small	Fetal_Brain_Female
Brain_Substantia_Nigra	NHEK_Epidermal_Keratinocytes
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
NH_A_Astrocytes	HeLa_S3_Cervical_Carcinoma
Gastric	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Small_Intestine
Brain_Anterior_Caudate	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Brain_Male	Brain_Mid_Frontal_Lobe
Skeletal_Muscle_Male	Brain_Germinal_Matrix
Fetal_Muscle_Leg	Colonic_Mucosa
iPS_DF_6.9_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
HSMM_Skeletal_Muscle_Myoblasts	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Lung	Fetal_Kidney
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	NHLF_Lung_Fibroblasts
Pancreatic_Islets	4star
Psoas_Muscle	H1_Cell_Line
Brain_Hippocampus_Middle	NH_A_Astrocytes
Adipose_Nuclei	HMEC_Mammary_Epithelial
Muscle_Satellite_Cultured_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Colonic_Mucosa	H9_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	ES_I3_Cell_Line
A549_EtOH_0.02pct_Lung_Carcinoma	iPS_15b_Cell_Line
Skeletal_Muscle_Female	Placenta_Amnion
Osteoblasts	Pancreatic_Islets
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Fetal_Heart
NHDF_Ad_Adult_Dermal_Fibroblasts	Fetal_Brain_Male
K562_Leukemia	Stomach_Mucosa
Left_Ventricle	H1_Derived_Neuronal_Progenitor_Cultured_Cells
GM12878_Lymphoblastoid	iPS_DF_6.9_Cell_Line
ES_WA7_Cell_Line	iPS_DF_19.11_Cell_Line
iPS_DF_19.11_Cell_Line	ES_WA7_Cell_Line
Aorta	Right_Atrium
Small_Intestine	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
