(New) Cell Type	(Old) Cell Type
CD56_Primary_Cells	CD56_Primary_Cells
HUES6_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
CD3_Primary_Cells_Cord_BI	CD3_Primary_Cells_Peripheral_UW
Fetal_Muscle_Leg	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Breast_vHMEC	CD4pp_CD25__Th_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Small_Intestine
Mobilized_CD34_Primary_Cells_Female	CD8_Naive_Primary_Cells
HMEC_Mammary_Epithelial	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD19_Primary_Cells_Cord_BI	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Breast_Myoepithelial_Cells	CD8_Memory_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD4_Naive_Primary_Cells
CD15_Primary_Cells	Rectal_Mucosa.Donor_29
HepG2_Hepatocellular_Carcinoma	CD4_Memory_Primary_Cells
Fetal_Heart	CD15_Primary_Cells
Fetal_Intestine_Large	Colonic_Mucosa
CD4_Memory_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD34_Cultured_Cells	Sigmoid_Colon
Adult_Liver	Stomach_Mucosa
CD8_Naive_Primary_Cells	Rectal_Mucosa.Donor_31
Muscle_Satellite_Cultured_Cells	Placenta_Amnion
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Right_Ventricle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Rectal_Smooth_Muscle
CD4_Naive_Primary_Cells	Osteoblasts
Dnd41_TCell_Leukemia	CD19_Primary_Cells_Cord_BI
K562_Leukemia	CD3_Primary_Cells_Cord_BI
Brain_Germinal_Matrix	Duodenum_Mucosa
Fetal_Muscle_Trunk	Thymus
Fetal_Adrenal_Gland	NHDF_Ad_Adult_Dermal_Fibroblasts
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Muscle_Satellite_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	Monocytes_CD14pp_RO01746
NHEK_Epidermal_Keratinocytes	Colon_Smooth_Muscle
