(New) Cell Type	(Old) Cell Type
CD8_Memory_Primary_Cells	CD8_Memory_Primary_Cells
Osteoblasts	CD4_Naive_Primary_Cells
Placenta_Amnion	CD4_Memory_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	CD8_Naive_Primary_Cells
Left_Ventricle	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Right_Atrium	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Rectal_Smooth_Muscle	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4_Naive_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD34_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Psoas_Muscle	CD4pp_CD25__Th_Primary_Cells
CD4_Memory_Primary_Cells	CD56_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Adult_Liver	CD19_Primary_Cells_Peripheral_UW
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Gastric	CD3_Primary_Cells_Peripheral_UW
Colon_Smooth_Muscle	Peripheral_Blood_Mononuclear_Primary_Cells
Ovary	Colon_Smooth_Muscle
Brain_Anterior_Caudate	CD19_Primary_Cells_Cord_BI
4star	Stomach_Mucosa
Brain_Substantia_Nigra	Rectal_Smooth_Muscle
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Mucosa.Donor_29
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Duodenum_Mucosa
Brain_Angular_Gyrus	Small_Intestine
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	GM12878_Lymphoblastoid
HSMM_Skeletal_Muscle_Myoblasts	Rectal_Mucosa.Donor_31
Small_Intestine	Brain_Angular_Gyrus
Thymus	CD34_Primary_Cells
Fetal_Brain_Female	Duodenum_Smooth_Muscle
CD19_Primary_Cells_Cord_BI	Brain_Substantia_Nigra
Brain_Cingulate_Gyrus	Thymus
GM12878_Lymphoblastoid	Sigmoid_Colon
NHLF_Lung_Fibroblasts	Esophagus
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Brain_Anterior_Caudate
Duodenum_Smooth_Muscle	CD34_Cultured_Cells
NH_A_Astrocytes	Colonic_Mucosa
H1_Derived_Neuronal_Progenitor_Cultured_Cells	NHLF_Lung_Fibroblasts
Peripheral_Blood_Mononuclear_Primary_Cells	Adult_Liver
iPS_DF_6.9_Cell_Line	Mobilized_CD34_Primary_Cells_Female
Brain_Germinal_Matrix	Fetal_Thymus
Brain_Inferior_Temporal_Lobe	Breast_vHMEC
Fetal_Lung	CD14_Primary_Cells
Rectal_Mucosa.Donor_29	Brain_Mid_Frontal_Lobe
HUVEC_Umbilical_Vein_Endothelial_Cells	Brain_Inferior_Temporal_Lobe
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD15_Primary_Cells
Brain_Mid_Frontal_Lobe	Fetal_Heart
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Rectal_Mucosa.Donor_31	Skeletal_Muscle_Female
Sigmoid_Colon	Left_Ventricle
CD3_Primary_Cells_Cord_BI	Monocytes_CD14pp_RO01746
Stomach_Smooth_Muscle	NHEK_Epidermal_Keratinocytes
NHEK_Epidermal_Keratinocytes	HSMM_Skeletal_Muscle_Myoblasts
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Intestine_Small
Fetal_Brain_Male	Psoas_Muscle
Duodenum_Mucosa	Mobilized_CD34_Primary_Cells_Male
iPS_DF_19.11_Cell_Line	Placenta_Amnion
CD8_Naive_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Stomach_Mucosa	Brain_Cingulate_Gyrus
Pancreas	NH_A_Astrocytes
HeLa_S3_Cervical_Carcinoma	Fetal_Muscle_Leg
H1_Derived_Mesenchymal_Stem_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Aorta	Brain_Hippocampus_Middle
Fetal_Heart	Fetal_Intestine_Large
Muscle_Satellite_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Esophagus	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Right_Ventricle	Osteoblasts
K562_Leukemia	HMEC_Mammary_Epithelial
Lung	K562_Leukemia
IMR90_Cell_Line	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Placenta
NHDF_Ad_Adult_Dermal_Fibroblasts	Muscle_Satellite_Cultured_Cells
H1_Cell_Line	Adipose_Nuclei
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Brain_Hippocampus_Middle	Aorta
Fetal_Intestine_Large	Spleen
Spleen	IMR90_Cell_Line
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Fetal_Lung
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Skeletal_Muscle_Male
Monocytes_CD14pp_RO01746	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	iPS_DF_6.9_Cell_Line
H9_Cell_Line	iPS_DF_19.11_Cell_Line
ES_WA7_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Nuclei	Stomach_Smooth_Muscle
Colonic_Mucosa	Fetal_Adrenal_Gland
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Ovary
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Dnd41_TCell_Leukemia	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Skeletal_Muscle_Female	4star
Fetal_Intestine_Small	Fetal_Muscle_Trunk
CD15_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
HUES6_Cell_Line	Fetal_Stomach
Breast_vHMEC	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Breast_Myoepithelial_Cells
CD34_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
iPS_15b_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
ES_I3_Cell_Line	H9_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	H9_Derived_Neuron_Cultured_Cells
Fetal_Placenta	Brain_Germinal_Matrix
HUES48_Cell_Line	Fetal_Kidney
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Brain_Male
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Skeletal_Muscle_Male	H1_Derived_Mesenchymal_Stem_Cells
iPS_20b_Cell_Line	Fetal_Brain_Female
HepG2_Hepatocellular_Carcinoma	iPS_18_Cell_Line
Fetal_Kidney	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Gastric
Neurosphere_Cultured_Cells_Cortex_Derived	Right_Ventricle
Fetal_Stomach	H1_Cell_Line
Breast_Myoepithelial_Cells	iPS_20b_Cell_Line
CD56_Primary_Cells	HUES64_Cell_Line
H9_Derived_Neuron_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
HMEC_Mammary_Epithelial	Lung
HUES64_Cell_Line	ES_WA7_Cell_Line
Fetal_Muscle_Trunk	ES_I3_Cell_Line
iPS_18_Cell_Line	HUES6_Cell_Line
Fetal_Thymus	HUES48_Cell_Line
Pancreatic_Islets	iPS_15b_Cell_Line
Mobilized_CD34_Primary_Cells_Female	Pancreatic_Islets
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Right_Atrium
CD14_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD3_Primary_Cells_Peripheral_UW	Dnd41_TCell_Leukemia
CD19_Primary_Cells_Peripheral_UW	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD4pp_CD25__Th_Primary_Cells	Pancreas
Fetal_Muscle_Leg	HepG2_Hepatocellular_Carcinoma
Fetal_Adrenal_Gland	HeLa_S3_Cervical_Carcinoma
