(New) Cell Type	(Old) Cell Type
CD8_Memory_Primary_Cells	CD8_Memory_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4_Memory_Primary_Cells
Right_Atrium	CD4_Naive_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Sigmoid_Colon	CD4pp_CD25__Th_Primary_Cells
Fetal_Stomach	CD8_Naive_Primary_Cells
Skeletal_Muscle_Male	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Fetal_Muscle_Trunk	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Esophagus	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Brain_Anterior_Caudate	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Duodenum_Smooth_Muscle	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Fetal_Placenta	CD19_Primary_Cells_Peripheral_UW
Fetal_Intestine_Large	CD56_Primary_Cells
CD4_Naive_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Brain_Hippocampus_Middle	Spleen
Brain_Inferior_Temporal_Lobe	Esophagus
Fetal_Brain_Female	Fetal_Thymus
Fetal_Intestine_Small	CD3_Primary_Cells_Cord_BI
iPS_20b_Cell_Line	Colon_Smooth_Muscle
Stomach_Mucosa	Rectal_Smooth_Muscle
Fetal_Thymus	iPS_DF_19.11_Cell_Line
Brain_Mid_Frontal_Lobe	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Thymus
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
Breast_Myoepithelial_Cells	Rectal_Mucosa.Donor_29
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Thymus	Duodenum_Mucosa
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	H9_Cell_Line
Stomach_Smooth_Muscle	CD34_Primary_Cells
Fetal_Adrenal_Gland	Placenta_Amnion
CD56_Primary_Cells	Duodenum_Smooth_Muscle
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Colonic_Mucosa
Brain_Cingulate_Gyrus	Mobilized_CD34_Primary_Cells_Female
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Psoas_Muscle
Colonic_Mucosa	iPS_15b_Cell_Line
Fetal_Muscle_Leg	Sigmoid_Colon
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Anterior_Caudate
Rectal_Smooth_Muscle	Rectal_Mucosa.Donor_31
Brain_Substantia_Nigra	Stomach_Mucosa
Skeletal_Muscle_Female	H1_BMP4_Derived_Trophoblast_Cultured_Cells
NHLF_Lung_Fibroblasts	iPS_DF_6.9_Cell_Line
CD4_Memory_Primary_Cells	Brain_Substantia_Nigra
Psoas_Muscle	HUES6_Cell_Line
HMEC_Mammary_Epithelial	Mobilized_CD34_Primary_Cells_Male
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Adult_Liver
4star	Brain_Angular_Gyrus
IMR90_Cell_Line	Small_Intestine
A549_EtOH_0.02pct_Lung_Carcinoma	CD34_Cultured_Cells
CD8_Naive_Primary_Cells	4star
CD15_Primary_Cells	Brain_Mid_Frontal_Lobe
Right_Ventricle	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Dnd41_TCell_Leukemia	Brain_Hippocampus_Middle
Spleen	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Ovary
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	H1_Cell_Line
Duodenum_Mucosa	CD15_Primary_Cells
iPS_DF_19.11_Cell_Line	CD19_Primary_Cells_Cord_BI
CD34_Cultured_Cells	GM12878_Lymphoblastoid
K562_Leukemia	ES_I3_Cell_Line
Left_Ventricle	Left_Ventricle
GM12878_Lymphoblastoid	Brain_Inferior_Temporal_Lobe
Lung	Fetal_Heart
CD3_Primary_Cells_Peripheral_UW	Brain_Cingulate_Gyrus
CD19_Primary_Cells_Peripheral_UW	HUES64_Cell_Line
Neurosphere_Cultured_Cells_Cortex_Derived	CD14_Primary_Cells
Rectal_Mucosa.Donor_29	Lung
H1_Cell_Line	ES_WA7_Cell_Line
Brain_Germinal_Matrix	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Pancreatic_Islets	Fetal_Intestine_Small
Adult_Liver	HUES48_Cell_Line
Brain_Angular_Gyrus	Right_Ventricle
Adipose_Nuclei	Adipose_Nuclei
CD14_Primary_Cells	HMEC_Mammary_Epithelial
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Fetal_Intestine_Large
NHEK_Epidermal_Keratinocytes	iPS_18_Cell_Line
HUES6_Cell_Line	iPS_20b_Cell_Line
ES_I3_Cell_Line	Brain_Germinal_Matrix
NHDF_Ad_Adult_Dermal_Fibroblasts	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Mobilized_CD34_Primary_Cells_Female	Skeletal_Muscle_Female
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	NH_A_Astrocytes
Rectal_Mucosa.Donor_31	H1_Derived_Mesenchymal_Stem_Cells
iPS_15b_Cell_Line	Stomach_Smooth_Muscle
HepG2_Hepatocellular_Carcinoma	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Fetal_Placenta
Muscle_Satellite_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Heart	HSMM_Skeletal_Muscle_Myoblasts
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	NHEK_Epidermal_Keratinocytes
Placenta_Amnion	A549_EtOH_0.02pct_Lung_Carcinoma
Colon_Smooth_Muscle	Fetal_Brain_Female
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Monocytes_CD14pp_RO01746	Breast_Myoepithelial_Cells
CD19_Primary_Cells_Cord_BI	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
H9_Derived_Neuron_Cultured_Cells	Right_Atrium
H1_Derived_Mesenchymal_Stem_Cells	H9_Derived_Neuron_Cultured_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Monocytes_CD14pp_RO01746
NH_A_Astrocytes	Fetal_Kidney
CD4pp_CD25__Th_Primary_Cells	Skeletal_Muscle_Male
Ovary	Fetal_Brain_Male
Osteoblasts	NHLF_Lung_Fibroblasts
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Fetal_Lung	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
HeLa_S3_Cervical_Carcinoma	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Brain_Male	Fetal_Muscle_Leg
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
HSMM_Skeletal_Muscle_Myoblasts	NHDF_Ad_Adult_Dermal_Fibroblasts
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Lung
iPS_18_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Cell_Line	Muscle_Satellite_Cultured_Cells
iPS_DF_6.9_Cell_Line	Osteoblasts
CD3_Primary_Cells_Cord_BI	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HUES64_Cell_Line	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HUES48_Cell_Line	Breast_vHMEC
CD34_Primary_Cells	Fetal_Stomach
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Pancreatic_Islets
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	IMR90_Cell_Line
Pancreas	Fetal_Adrenal_Gland
Gastric	Fetal_Muscle_Trunk
Small_Intestine	Aorta
HUVEC_Umbilical_Vein_Endothelial_Cells	Gastric
Fetal_Kidney	K562_Leukemia
Breast_vHMEC	HepG2_Hepatocellular_Carcinoma
Aorta	Pancreas
ES_WA7_Cell_Line	Dnd41_TCell_Leukemia
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	HeLa_S3_Cervical_Carcinoma
