(New) Cell Type	(Old) Cell Type
CD8_Memory_Primary_Cells	CD8_Memory_Primary_Cells
Brain_Substantia_Nigra	CD3_Primary_Cells_Peripheral_UW
Brain_Hippocampus_Middle	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Rectal_Smooth_Muscle	Small_Intestine
Brain_Inferior_Temporal_Lobe	Fetal_Adrenal_Gland
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Duodenum_Mucosa	CD4pp_CD25__Th_Primary_Cells
Fetal_Heart	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Brain_Mid_Frontal_Lobe	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Psoas_Muscle	Peripheral_Blood_Mononuclear_Primary_Cells
CD4_Memory_Primary_Cells	CD56_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD3_Primary_Cells_Cord_BI
Brain_Anterior_Caudate	Muscle_Satellite_Cultured_Cells
NHEK_Epidermal_Keratinocytes	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
NHLF_Lung_Fibroblasts	CD8_Naive_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	CD19_Primary_Cells_Peripheral_UW
Right_Ventricle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Brain_Cingulate_Gyrus	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Duodenum_Mucosa
CD19_Primary_Cells_Peripheral_UW	Osteoblasts
Skeletal_Muscle_Female	CD19_Primary_Cells_Cord_BI
Brain_Angular_Gyrus	IMR90_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Fetal_Thymus
Muscle_Satellite_Cultured_Cells	Thymus
HUVEC_Umbilical_Vein_Endothelial_Cells	HepG2_Hepatocellular_Carcinoma
CD4_Naive_Primary_Cells	Skeletal_Muscle_Male
Fetal_Intestine_Large	Sigmoid_Colon
CD56_Primary_Cells	CD34_Cultured_Cells
Fetal_Intestine_Small	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Duodenum_Smooth_Muscle	Duodenum_Smooth_Muscle
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD15_Primary_Cells
CD15_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	Stomach_Smooth_Muscle
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD34_Primary_Cells
Colonic_Mucosa	Rectal_Mucosa.Donor_29
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4_Naive_Primary_Cells
Osteoblasts	CD4_Memory_Primary_Cells
Thymus	Spleen
Fetal_Brain_Female	Monocytes_CD14pp_RO01746
Stomach_Mucosa	Stomach_Mucosa
CD34_Cultured_Cells	CD14_Primary_Cells
NH_A_Astrocytes	Fetal_Muscle_Trunk
Adipose_Nuclei	Mobilized_CD34_Primary_Cells_Male
Brain_Germinal_Matrix	Placenta_Amnion
Placenta_Amnion	Fetal_Intestine_Large
Neurosphere_Cultured_Cells_Cortex_Derived	Colonic_Mucosa
Stomach_Smooth_Muscle	Skeletal_Muscle_Female
CD34_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
Breast_vHMEC	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Fetal_Muscle_Leg
Aorta	Rectal_Mucosa.Donor_31
Rectal_Mucosa.Donor_31	Fetal_Intestine_Small
Mobilized_CD34_Primary_Cells_Female	Adipose_Nuclei
CD14_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
Peripheral_Blood_Mononuclear_Primary_Cells	Rectal_Smooth_Muscle
CD8_Naive_Primary_Cells	NH_A_Astrocytes
IMR90_Cell_Line	Esophagus
HepG2_Hepatocellular_Carcinoma	Fetal_Stomach
CD19_Primary_Cells_Cord_BI	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	iPS_DF_19.11_Cell_Line
Rectal_Mucosa.Donor_29	Ovary
