(New) Cell Type	(Old) Cell Type
CD8_Naive_Primary_Cells	CD8_Naive_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD3_Primary_Cells_Peripheral_UW
H9_Derived_Neuron_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Colonic_Mucosa	CD4pp_CD25__Th_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
IMR90_Cell_Line	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Aorta	CD4_Naive_Primary_Cells
Esophagus	Peripheral_Blood_Mononuclear_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD8_Memory_Primary_Cells
4star	CD4_Memory_Primary_Cells
HMEC_Mammary_Epithelial	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Sigmoid_Colon	CD19_Primary_Cells_Peripheral_UW
Fetal_Adrenal_Gland	CD56_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NHEK_Epidermal_Keratinocytes	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Thymus
Ovary	CD3_Primary_Cells_Cord_BI
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Placenta_Amnion
Lung	CD14_Primary_Cells
Left_Ventricle	Sigmoid_Colon
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Fetal_Thymus
Placenta_Amnion	HUVEC_Umbilical_Vein_Endothelial_Cells
Right_Ventricle	Colonic_Mucosa
Fetal_Thymus	Fetal_Muscle_Trunk
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	GM12878_Lymphoblastoid
Fetal_Muscle_Trunk	CD34_Cultured_Cells
Thymus	Fetal_Muscle_Leg
Fetal_Muscle_Leg	CD15_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Esophagus
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Monocytes_CD14pp_RO01746
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
CD34_Cultured_Cells	CD19_Primary_Cells_Cord_BI
iPS_DF_19.11_Cell_Line	Stomach_Mucosa
CD3_Primary_Cells_Peripheral_UW	Fetal_Adrenal_Gland
Breast_vHMEC	Left_Ventricle
Duodenum_Mucosa	Rectal_Mucosa.Donor_31
CD14_Primary_Cells	HMEC_Mammary_Epithelial
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Breast_vHMEC
Fetal_Placenta	Small_Intestine
Skeletal_Muscle_Male	Duodenum_Mucosa
Muscle_Satellite_Cultured_Cells	CD34_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	NHLF_Lung_Fibroblasts
Skeletal_Muscle_Female	Fetal_Placenta
Neurosphere_Cultured_Cells_Cortex_Derived	IMR90_Cell_Line
NH_A_Astrocytes	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Brain_Germinal_Matrix	Muscle_Satellite_Cultured_Cells
Spleen	Colon_Smooth_Muscle
H1_Derived_Mesenchymal_Stem_Cells	Psoas_Muscle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Spleen
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Stomach_Mucosa	Right_Atrium
Dnd41_TCell_Leukemia	Adult_Liver
Brain_Hippocampus_Middle	NHEK_Epidermal_Keratinocytes
Adipose_Nuclei	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Stomach	Skeletal_Muscle_Female
CD15_Primary_Cells	Duodenum_Smooth_Muscle
HUVEC_Umbilical_Vein_Endothelial_Cells	NH_A_Astrocytes
Stomach_Smooth_Muscle	Fetal_Intestine_Large
Psoas_Muscle	Fetal_Intestine_Small
Breast_Myoepithelial_Cells	Rectal_Mucosa.Donor_29
CD56_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
CD19_Primary_Cells_Peripheral_UW	Adipose_Nuclei
Osteoblasts	Fetal_Stomach
H1_Derived_Neuronal_Progenitor_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
Rectal_Mucosa.Donor_31	Osteoblasts
Monocytes_CD14pp_RO01746	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Colon_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
CD4_Memory_Primary_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD34_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
Mobilized_CD34_Primary_Cells_Female	Skeletal_Muscle_Male
Brain_Mid_Frontal_Lobe	iPS_DF_19.11_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Lung
Small_Intestine	Fetal_Lung
Duodenum_Smooth_Muscle	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Brain_Substantia_Nigra
Fetal_Intestine_Small	Brain_Hippocampus_Middle
Right_Atrium	Rectal_Smooth_Muscle
Brain_Inferior_Temporal_Lobe	A549_EtOH_0.02pct_Lung_Carcinoma
NHLF_Lung_Fibroblasts	Brain_Germinal_Matrix
Fetal_Intestine_Large	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	4star
Fetal_Brain_Female	Brain_Mid_Frontal_Lobe
Gastric	Brain_Inferior_Temporal_Lobe
