(New) Cell Type	(Old) Cell Type
CD8_Naive_Primary_Cells	CD8_Naive_Primary_Cells
Rectal_Smooth_Muscle	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Brain_Anterior_Caudate	CD4_Naive_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Brain_Mid_Frontal_Lobe	CD8_Memory_Primary_Cells
Gastric	CD4pp_CD25__Th_Primary_Cells
Colon_Smooth_Muscle	CD4_Memory_Primary_Cells
Adult_Liver	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Rectal_Mucosa.Donor_31	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Small_Intestine	CD56_Primary_Cells
Brain_Cingulate_Gyrus	CD3_Primary_Cells_Peripheral_UW
iPS_DF_19.11_Cell_Line	CD19_Primary_Cells_Peripheral_UW
Brain_Substantia_Nigra	Peripheral_Blood_Mononuclear_Primary_Cells
Spleen	CD3_Primary_Cells_Cord_BI
Lung	Small_Intestine
Brain_Inferior_Temporal_Lobe	CD19_Primary_Cells_Cord_BI
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Sigmoid_Colon
Esophagus	Rectal_Mucosa.Donor_29
Rectal_Mucosa.Donor_29	Thymus
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Colon_Smooth_Muscle
Right_Ventricle	Duodenum_Mucosa
NH_A_Astrocytes	Rectal_Mucosa.Donor_31
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Mobilized_CD34_Primary_Cells_Female
NHLF_Lung_Fibroblasts	CD34_Cultured_Cells
Left_Ventricle	Esophagus
H1_Derived_Mesenchymal_Stem_Cells	CD14_Primary_Cells
Placenta_Amnion	CD34_Primary_Cells
Psoas_Muscle	Stomach_Mucosa
Duodenum_Smooth_Muscle	Rectal_Smooth_Muscle
Ovary	Colonic_Mucosa
CD4_Naive_Primary_Cells	Duodenum_Smooth_Muscle
Right_Atrium	Brain_Substantia_Nigra
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	NHLF_Lung_Fibroblasts
GM12878_Lymphoblastoid	GM12878_Lymphoblastoid
CD4_Memory_Primary_Cells	Placenta_Amnion
iPS_DF_6.9_Cell_Line	Aorta
Stomach_Smooth_Muscle	Left_Ventricle
Osteoblasts	Brain_Angular_Gyrus
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Adult_Liver
CD34_Primary_Cells	Psoas_Muscle
Brain_Angular_Gyrus	Fetal_Thymus
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Mobilized_CD34_Primary_Cells_Male
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Breast_vHMEC
CD8_Memory_Primary_Cells	Monocytes_CD14pp_RO01746
Muscle_Satellite_Cultured_Cells	Brain_Mid_Frontal_Lobe
Fetal_Intestine_Large	HSMM_Skeletal_Muscle_Myoblasts
HSMM_Skeletal_Muscle_Myoblasts	HUVEC_Umbilical_Vein_Endothelial_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Brain_Inferior_Temporal_Lobe
Adipose_Nuclei	Fetal_Heart
Brain_Hippocampus_Middle	NH_A_Astrocytes
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Anterior_Caudate
CD19_Primary_Cells_Cord_BI	Fetal_Muscle_Leg
IMR90_Cell_Line	Skeletal_Muscle_Female
Thymus	Ovary
Duodenum_Mucosa	HMEC_Mammary_Epithelial
Colonic_Mucosa	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Sigmoid_Colon	H1_Derived_Neuronal_Progenitor_Cultured_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	CD15_Primary_Cells
Brain_Germinal_Matrix	Spleen
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	NHEK_Epidermal_Keratinocytes
Fetal_Brain_Female	NHDF_Ad_Adult_Dermal_Fibroblasts
NHEK_Epidermal_Keratinocytes	Brain_Cingulate_Gyrus
Pancreas	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H1_Cell_Line	Fetal_Placenta
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Fetal_Intestine_Small
Aorta	Fetal_Intestine_Large
4star	Muscle_Satellite_Cultured_Cells
HMEC_Mammary_Epithelial	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Adrenal_Gland
Monocytes_CD14pp_RO01746	Adipose_Nuclei
Stomach_Mucosa	Osteoblasts
CD15_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
HUVEC_Umbilical_Vein_Endothelial_Cells	Brain_Hippocampus_Middle
CD34_Cultured_Cells	IMR90_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD56_Primary_Cells	Fetal_Muscle_Trunk
Breast_vHMEC	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	iPS_DF_6.9_Cell_Line
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Skeletal_Muscle_Female	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Fetal_Intestine_Small	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD3_Primary_Cells_Cord_BI	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Lung	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Fetal_Placenta	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
K562_Leukemia	Fetal_Lung
Skeletal_Muscle_Male	4star
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	iPS_DF_19.11_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Brain_Germinal_Matrix
Breast_Myoepithelial_Cells	H9_Derived_Neuron_Cultured_Cells
Fetal_Brain_Male	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Heart	Skeletal_Muscle_Male
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Breast_Myoepithelial_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Gastric
HeLa_S3_Cervical_Carcinoma	Fetal_Stomach
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Lung
Mobilized_CD34_Primary_Cells_Male	Stomach_Smooth_Muscle
ES_WA7_Cell_Line	Fetal_Brain_Male
NHDF_Ad_Adult_Dermal_Fibroblasts	H1_Derived_Mesenchymal_Stem_Cells
Fetal_Muscle_Trunk	Right_Ventricle
H9_Derived_Neuron_Cultured_Cells	Fetal_Brain_Female
Fetal_Stomach	HUES6_Cell_Line
H9_Cell_Line	K562_Leukemia
CD19_Primary_Cells_Peripheral_UW	iPS_18_Cell_Line
Fetal_Thymus	HUES64_Cell_Line
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
HUES6_Cell_Line	Right_Atrium
CD14_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	HUES48_Cell_Line
Mobilized_CD34_Primary_Cells_Female	Fetal_Kidney
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	iPS_20b_Cell_Line
CD4pp_CD25__Th_Primary_Cells	Pancreatic_Islets
Dnd41_TCell_Leukemia	H1_Cell_Line
Fetal_Kidney	H9_Cell_Line
iPS_15b_Cell_Line	ES_WA7_Cell_Line
Fetal_Adrenal_Gland	ES_I3_Cell_Line
ES_I3_Cell_Line	Pancreas
Fetal_Muscle_Leg	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
iPS_20b_Cell_Line	iPS_15b_Cell_Line
HUES48_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
iPS_18_Cell_Line	Dnd41_TCell_Leukemia
Pancreatic_Islets	HepG2_Hepatocellular_Carcinoma
HUES64_Cell_Line	HeLa_S3_Cervical_Carcinoma
