(New) Cell Type	(Old) Cell Type
CD8_Naive_Primary_Cells	CD8_Naive_Primary_Cells
Adult_Liver	CD4_Naive_Primary_Cells
Fetal_Adrenal_Gland	CD8_Memory_Primary_Cells
Muscle_Satellite_Cultured_Cells	CD4_Memory_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	CD4pp_CD25__Th_Primary_Cells
CD8_Memory_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Fetal_Intestine_Small	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	CD3_Primary_Cells_Peripheral_UW
CD34_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
K562_Leukemia	Psoas_Muscle
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD3_Primary_Cells_Cord_BI	CD34_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Small_Intestine
CD4_Naive_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
Mobilized_CD34_Primary_Cells_Female	Pancreatic_Islets
Fetal_Muscle_Leg	Brain_Angular_Gyrus
HMEC_Mammary_Epithelial	Mobilized_CD34_Primary_Cells_Male
CD4_Memory_Primary_Cells	CD56_Primary_Cells
GM12878_Lymphoblastoid	Rectal_Smooth_Muscle
NHDF_Ad_Adult_Dermal_Fibroblasts	Duodenum_Mucosa
NHEK_Epidermal_Keratinocytes	Fetal_Kidney
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Smooth_Muscle
Stomach_Mucosa	Colon_Smooth_Muscle
Fetal_Intestine_Large	CD19_Primary_Cells_Cord_BI
