(New) Chromatin State	(Old) Chromatin State
Genic_enhancers	Transcr_at_gene_5_and_3
Transcr_at_gene_5_and_3	Genic_enhancers
Enhancers	Active_TSS
Repressed_PolyComb	Flanking_Active_TSS
ZNF_genes_and_repeats	Strong_transcription
Active_TSS	Enhancers
Heterochromatin	Weak_transcription
Flanking_Active_TSS	Bivalent_Poised_TSS
Strong_transcription	Flanking_Bivalent_TSS_Enh
Bivalent_Poised_TSS	Bivalent_Enhancer
Bivalent_Enhancer	Repressed_PolyComb
Weak_transcription	ZNF_genes_and_repeats
Flanking_Bivalent_TSS_Enh	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
