(New) Cell Type	(Old) Cell Type
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Lung	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Osteoblasts
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Dnd41_TCell_Leukemia	Muscle_Satellite_Cultured_Cells
Osteoblasts	NH_A_Astrocytes
CD3_Primary_Cells_Cord_BI	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHEK_Epidermal_Keratinocytes	NHDF_Ad_Adult_Dermal_Fibroblasts
HSMM_Skeletal_Muscle_Myoblasts	Duodenum_Smooth_Muscle
GM12878_Lymphoblastoid	NHLF_Lung_Fibroblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Rectal_Smooth_Muscle
H9_Derived_Neuronal_Progenitor_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD8_Memory_Primary_Cells	HSMM_Skeletal_Muscle_Myoblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Colon_Smooth_Muscle
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Stomach_Smooth_Muscle
Mobilized_CD34_Primary_Cells_Male	Adipose_Nuclei
A549_EtOH_0.02pct_Lung_Carcinoma	HMEC_Mammary_Epithelial
HeLa_S3_Cervical_Carcinoma	Breast_Myoepithelial_Cells
CD4_Naive_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Small_Intestine
Muscle_Satellite_Cultured_Cells	Pancreatic_Islets
H9_Derived_Neuron_Cultured_Cells	Aorta
K562_Leukemia	IMR90_Cell_Line
iPS_18_Cell_Line	Brain_Anterior_Caudate
HUVEC_Umbilical_Vein_Endothelial_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HeLa_S3_Cervical_Carcinoma
NHLF_Lung_Fibroblasts	Rectal_Mucosa.Donor_29
Adult_Liver	Brain_Mid_Frontal_Lobe
CD8_Naive_Primary_Cells	Colonic_Mucosa
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Placenta_Amnion
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Lung
HMEC_Mammary_Epithelial	Duodenum_Mucosa
iPS_15b_Cell_Line	Fetal_Kidney
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Brain_Hippocampus_Middle
NH_A_Astrocytes	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Brain_Cingulate_Gyrus
HUES48_Cell_Line	Breast_vHMEC
CD4_Memory_Primary_Cells	Skeletal_Muscle_Female
HUES6_Cell_Line	Psoas_Muscle
HUES64_Cell_Line	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Colon_Smooth_Muscle	Brain_Angular_Gyrus
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	NHEK_Epidermal_Keratinocytes
Stomach_Mucosa	Brain_Inferior_Temporal_Lobe
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Rectal_Mucosa.Donor_31
Right_Atrium	Fetal_Brain_Male
Fetal_Adrenal_Gland	Brain_Germinal_Matrix
Fetal_Stomach	Fetal_Brain_Female
IMR90_Cell_Line	Brain_Substantia_Nigra
Monocytes_CD14pp_RO01746	A549_EtOH_0.02pct_Lung_Carcinoma
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Skeletal_Muscle_Male
CD19_Primary_Cells_Cord_BI	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Neurosphere_Cultured_Cells_Cortex_Derived	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Intestine_Small	Stomach_Mucosa
HepG2_Hepatocellular_Carcinoma	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Adipose_Nuclei	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Mobilized_CD34_Primary_Cells_Female	Sigmoid_Colon
CD34_Primary_Cells	HUES64_Cell_Line
ES_I3_Cell_Line	Ovary
Breast_vHMEC	GM12878_Lymphoblastoid
Fetal_Brain_Male	HepG2_Hepatocellular_Carcinoma
Fetal_Muscle_Trunk	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Breast_Myoepithelial_Cells	iPS_15b_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	ES_I3_Cell_Line
CD34_Cultured_Cells	Mobilized_CD34_Primary_Cells_Male
Fetal_Muscle_Leg	Right_Ventricle
Fetal_Heart	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD15_Primary_Cells	iPS_20b_Cell_Line
Skeletal_Muscle_Male	Left_Ventricle
Skeletal_Muscle_Female	Adult_Liver
Brain_Hippocampus_Middle	Mobilized_CD34_Primary_Cells_Female
Peripheral_Blood_Mononuclear_Primary_Cells	Fetal_Placenta
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Brain_Germinal_Matrix	HUES6_Cell_Line
CD4pp_CD25__Th_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
Brain_Substantia_Nigra	Fetal_Adrenal_Gland
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	iPS_18_Cell_Line
iPS_20b_Cell_Line	HUES48_Cell_Line
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD8_Memory_Primary_Cells
Rectal_Smooth_Muscle	Monocytes_CD14pp_RO01746
Pancreatic_Islets	H9_Derived_Neuronal_Progenitor_Cultured_Cells
H1_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Rectal_Mucosa.Donor_31	CD4_Memory_Primary_Cells
Brain_Inferior_Temporal_Lobe	Esophagus
CD56_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Brain_Cingulate_Gyrus	Fetal_Intestine_Large
Duodenum_Mucosa	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Intestine_Large	Lung
Rectal_Mucosa.Donor_29	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Brain_Mid_Frontal_Lobe	CD34_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	H1_Cell_Line
Brain_Anterior_Caudate	Gastric
Brain_Angular_Gyrus	CD4_Naive_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Duodenum_Smooth_Muscle	K562_Leukemia
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Pancreas
4star	Fetal_Heart
Fetal_Thymus	Fetal_Muscle_Leg
Stomach_Smooth_Muscle	Dnd41_TCell_Leukemia
Fetal_Brain_Female	CD3_Primary_Cells_Cord_BI
CD14_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
iPS_DF_19.11_Cell_Line	CD8_Naive_Primary_Cells
