(New) Cell Type	(Old) Cell Type
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Germinal_Matrix	Colonic_Mucosa
Brain_Inferior_Temporal_Lobe	CD8_Memory_Primary_Cells
iPS_15b_Cell_Line	CD8_Naive_Primary_Cells
Rectal_Mucosa.Donor_29	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Duodenum_Smooth_Muscle	CD4_Naive_Primary_Cells
Brain_Cingulate_Gyrus	Rectal_Smooth_Muscle
Rectal_Mucosa.Donor_31	HUVEC_Umbilical_Vein_Endothelial_Cells
Colon_Smooth_Muscle	Placenta_Amnion
ES_I3_Cell_Line	Small_Intestine
Brain_Substantia_Nigra	Fetal_Kidney
Stomach_Smooth_Muscle	NH_A_Astrocytes
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HeLa_S3_Cervical_Carcinoma
Fetal_Brain_Female	Colon_Smooth_Muscle
Fetal_Heart	Fetal_Brain_Male
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	NHLF_Lung_Fibroblasts
Brain_Anterior_Caudate	Brain_Germinal_Matrix
Fetal_Placenta	Rectal_Mucosa.Donor_31
CD34_Primary_Cells	Brain_Mid_Frontal_Lobe
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Angular_Gyrus
Adult_Liver	Brain_Substantia_Nigra
CD19_Primary_Cells_Cord_BI	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
NHLF_Lung_Fibroblasts	HMEC_Mammary_Epithelial
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Duodenum_Smooth_Muscle
Mobilized_CD34_Primary_Cells_Female	Fetal_Brain_Female
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Brain_Cingulate_Gyrus
HSMM_Skeletal_Muscle_Myoblasts	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Brain_Angular_Gyrus	Muscle_Satellite_Cultured_Cells
NH_A_Astrocytes	NHDF_Ad_Adult_Dermal_Fibroblasts
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Skeletal_Muscle_Male
Peripheral_Blood_Mononuclear_Primary_Cells	Brain_Inferior_Temporal_Lobe
Mobilized_CD34_Primary_Cells_Male	Esophagus
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Osteoblasts
Dnd41_TCell_Leukemia	CD34_Primary_Cells
Lung	Stomach_Smooth_Muscle
Brain_Hippocampus_Middle	Brain_Hippocampus_Middle
H9_Cell_Line	Skeletal_Muscle_Female
HUES48_Cell_Line	Brain_Anterior_Caudate
H1_Cell_Line	NHEK_Epidermal_Keratinocytes
iPS_20b_Cell_Line	Aorta
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
