(New) Cell Type	(Old) Cell Type
Colon_Smooth_Muscle	Colon_Smooth_Muscle
NHLF_Lung_Fibroblasts	Rectal_Smooth_Muscle
HeLa_S3_Cervical_Carcinoma	Stomach_Smooth_Muscle
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Duodenum_Smooth_Muscle
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Stomach
HUVEC_Umbilical_Vein_Endothelial_Cells	Skeletal_Muscle_Male
NH_A_Astrocytes	Skeletal_Muscle_Female
GM12878_Lymphoblastoid	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_15b_Cell_Line	Adipose_Nuclei
Osteoblasts	NHLF_Lung_Fibroblasts
ES_I3_Cell_Line	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	NHDF_Ad_Adult_Dermal_Fibroblasts
Breast_vHMEC	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_18_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
HUES48_Cell_Line	Brain_Mid_Frontal_Lobe
Dnd41_TCell_Leukemia	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Substantia_Nigra	Fetal_Lung
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Anterior_Caudate
NHEK_Epidermal_Keratinocytes	Osteoblasts
Fetal_Lung	Brain_Hippocampus_Middle
CD8_Memory_Primary_Cells	Muscle_Satellite_Cultured_Cells
Brain_Hippocampus_Middle	Colonic_Mucosa
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	HSMM_Skeletal_Muscle_Myoblasts
K562_Leukemia	Ovary
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Right_Atrium
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Rectal_Mucosa.Donor_29
CD4_Naive_Primary_Cells	Aorta
Fetal_Heart	Brain_Angular_Gyrus
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Brain_Cingulate_Gyrus
iPS_20b_Cell_Line	Fetal_Kidney
Muscle_Satellite_Cultured_Cells	Small_Intestine
Fetal_Brain_Male	H9_Derived_Neuronal_Progenitor_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	Brain_Inferior_Temporal_Lobe
NHDF_Ad_Adult_Dermal_Fibroblasts	Breast_Myoepithelial_Cells
