(New) Cell Type	(Old) Cell Type
Colon_Smooth_Muscle	Colon_Smooth_Muscle
Brain_Hippocampus_Middle	Rectal_Smooth_Muscle
Skeletal_Muscle_Female	Sigmoid_Colon
Colonic_Mucosa	Aorta
iPS_15b_Cell_Line	Brain_Angular_Gyrus
Left_Ventricle	Stomach_Mucosa
CD34_Cultured_Cells	Small_Intestine
H1_Derived_Mesenchymal_Stem_Cells	Lung
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Pancreatic_Islets
Mobilized_CD34_Primary_Cells_Female	Stomach_Smooth_Muscle
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Left_Ventricle
Sigmoid_Colon	Placenta_Amnion
Right_Atrium	Duodenum_Smooth_Muscle
Pancreas	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Rectal_Mucosa.Donor_29	Ovary
Duodenum_Mucosa	Brain_Cingulate_Gyrus
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Adipose_Nuclei
Mobilized_CD34_Primary_Cells_Male	Fetal_Intestine_Large
Fetal_Muscle_Leg	Brain_Mid_Frontal_Lobe
Brain_Anterior_Caudate	H1_Derived_Neuronal_Progenitor_Cultured_Cells
H9_Cell_Line	Neurosphere_Cultured_Cells_Cortex_Derived
Lung	Brain_Substantia_Nigra
Fetal_Brain_Female	Fetal_Kidney
Stomach_Smooth_Muscle	Fetal_Brain_Male
Esophagus	Brain_Anterior_Caudate
Duodenum_Smooth_Muscle	Fetal_Placenta
4star	Psoas_Muscle
Adipose_Nuclei	Pancreas
IMR90_Cell_Line	Brain_Hippocampus_Middle
Rectal_Smooth_Muscle	Right_Ventricle
H1_Cell_Line	Colonic_Mucosa
Gastric	Fetal_Adrenal_Gland
Rectal_Mucosa.Donor_31	iPS_DF_6.9_Cell_Line
Brain_Cingulate_Gyrus	Brain_Inferior_Temporal_Lobe
Fetal_Muscle_Trunk	Fetal_Muscle_Trunk
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Gastric
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Rectal_Mucosa.Donor_31
Aorta	CD4_Memory_Primary_Cells
Fetal_Lung	Mobilized_CD34_Primary_Cells_Female
Brain_Mid_Frontal_Lobe	4star
Ovary	Fetal_Lung
HepG2_Hepatocellular_Carcinoma	CD34_Primary_Cells
Skeletal_Muscle_Male	Fetal_Muscle_Leg
Psoas_Muscle	CD8_Naive_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Adult_Liver	Fetal_Stomach
Right_Ventricle	H1_Cell_Line
HSMM_Skeletal_Muscle_Myoblasts	Skeletal_Muscle_Female
Brain_Germinal_Matrix	Rectal_Mucosa.Donor_29
Peripheral_Blood_Mononuclear_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Thymus	Esophagus
CD3_Primary_Cells_Peripheral_UW	NHLF_Lung_Fibroblasts
CD3_Primary_Cells_Cord_BI	H9_Cell_Line
H9_Derived_Neuron_Cultured_Cells	iPS_15b_Cell_Line
HeLa_S3_Cervical_Carcinoma	NH_A_Astrocytes
Spleen	CD14_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Breast_vHMEC
CD8_Memory_Primary_Cells	CD8_Memory_Primary_Cells
Fetal_Intestine_Large	Breast_Myoepithelial_Cells
Brain_Substantia_Nigra	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
NHLF_Lung_Fibroblasts	Brain_Germinal_Matrix
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	ES_I3_Cell_Line
Fetal_Placenta	IMR90_Cell_Line
Brain_Angular_Gyrus	Duodenum_Mucosa
Stomach_Mucosa	Adult_Liver
Fetal_Adrenal_Gland	Fetal_Brain_Female
Brain_Inferior_Temporal_Lobe	Peripheral_Blood_Mononuclear_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	NHDF_Ad_Adult_Dermal_Fibroblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Osteoblasts
iPS_DF_19.11_Cell_Line	Fetal_Heart
Fetal_Brain_Male	CD4pp_CD25__Th_Primary_Cells
CD34_Primary_Cells	HMEC_Mammary_Epithelial
HMEC_Mammary_Epithelial	H1_BMP4_Derived_Trophoblast_Cultured_Cells
