(New) Cell Type	(Old) Cell Type
Colon_Smooth_Muscle	Colon_Smooth_Muscle
Skeletal_Muscle_Male	Stomach_Smooth_Muscle
Breast_vHMEC	Fetal_Muscle_Leg
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Fetal_Stomach
Placenta_Amnion	Skeletal_Muscle_Male
HepG2_Hepatocellular_Carcinoma	Fetal_Muscle_Trunk
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Skeletal_Muscle_Female
ES_WA7_Cell_Line	Adipose_Nuclei
Stomach_Mucosa	CD3_Primary_Cells_Peripheral_UW
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Adrenal_Gland
Fetal_Brain_Male	Duodenum_Smooth_Muscle
Adipose_Nuclei	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Muscle_Leg	Fetal_Lung
Stomach_Smooth_Muscle	Breast_Myoepithelial_Cells
Duodenum_Smooth_Muscle	Fetal_Kidney
Fetal_Kidney	Rectal_Mucosa.Donor_29
NH_A_Astrocytes	Fetal_Placenta
Colonic_Mucosa	Rectal_Smooth_Muscle
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	iPS_DF_19.11_Cell_Line
Mobilized_CD34_Primary_Cells_Female	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Mucosa
CD15_Primary_Cells	Colonic_Mucosa
Fetal_Placenta	Stomach_Mucosa
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Stomach	Rectal_Mucosa.Donor_31
Brain_Germinal_Matrix	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Thymus	Fetal_Intestine_Large
Fetal_Lung	Osteoblasts
Neurosphere_Cultured_Cells_Cortex_Derived	Brain_Hippocampus_Middle
CD14_Primary_Cells	Monocytes_CD14pp_RO01746
